order,costs
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'k')",2762380.5
"('chn', (('ci', 'mk'), 'k'))",2874345.89
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('ci', 'chn')",893409.2
"('mk', ('ci', 'chn'))",1143653.27
"('k', ('mk', ('ci', 'chn')))",3021787.65
"('ci', 'chn')",893409.2
"('mk', ('ci', 'chn'))",1143653.27
"('k', ('mk', ('ci', 'chn')))",3021787.65
"('ci', 'chn')",893409.2
"('mk', ('ci', 'chn'))",1143653.27
"('k', ('mk', ('ci', 'chn')))",3021787.65
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('ci', 'chn')",893409.2
"('mk', ('ci', 'chn'))",1143653.27
"('k', ('mk', ('ci', 'chn')))",3021787.65
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('ci', 'chn')",893409.2
"('mk', ('ci', 'chn'))",1143653.27
"('k', ('mk', ('ci', 'chn')))",3021787.65
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
"('chn', 'ci')",952487.59
"('mk', ('chn', 'ci'))",1202731.66
"('k', ('mk', ('chn', 'ci')))",3080866.04
