order,costs
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"('t', 'mk')",259950.64
"(('t', 'mk'), 'ci')",2412191.02
"('chn', (('t', 'mk'), 'ci'))",15057161.0
"('t', 'mk')",259950.64
"('ci', ('t', 'mk'))",2158971.6
"('chn', ('ci', ('t', 'mk')))",14803941.31
"((('t', 'mk'), 'ci'), 'chn')",1698522.09
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('t', 'ci')",2076221.58
"('chn', ('t', 'ci'))",8917746.45
"(('chn', ('t', 'ci')), 'mk')",9228431.57
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('t', 'ci')",2076221.58
"('chn', ('t', 'ci'))",8917746.45
"('mk', ('chn', ('t', 'ci')))",9113124.24
"('t', 'ci')",2076221.58
"('chn', ('t', 'ci'))",8917746.45
"('mk', 't')",250918.2
"('mk', ('chn', ('t', 'ci')))",9113124.24
"('chn', 'ci')",952487.59
"(('mk', 't'), ('chn', 'ci'))",1245947.39
"('t', 'ci')",2076221.58
"('chn', ('t', 'ci'))",8917746.45
"(('chn', ('t', 'ci')), 'mk')",9228431.57
"('mk', 't')",250918.2
"('chn', 'ci')",952487.59
"(('chn', 'ci'), ('mk', 't'))",1386529.8
"('t', 'ci')",2076221.58
"('chn', ('t', 'ci'))",8917746.45
"('mk', ('chn', ('t', 'ci')))",9113124.24
"((('t', 'mk'), 'ci'), 'chn')",1698522.09
"('mk', 't')",250918.2
"('ci', 'chn')",893409.2
"(('ci', 'chn'), ('mk', 't'))",1262628.36
"(('mk', 't'), 'ci')",2412191.02
"((('mk', 't'), 'ci'), 'chn')",1613220.66
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 't')",5420867.34
"((('mk', 'ci'), 't'), 'chn')",3848972.21
"('t', 'ci')",2076221.58
"(('t', 'ci'), 'mk')",2790660.83
"((('t', 'ci'), 'mk'), 'chn')",2209949.49
