order,costs
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"((('t', 'mc'), 'mi'), 'cn')",579450.88
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('mi', 't')",363030.75
"(('mi', 't'), 'mc')",373853.17
"('cn', (('mi', 't'), 'mc'))",392171.12
"('t', 'mi')",437352.29
"(('t', 'mi'), 'mc')",469123.47
"('cn', (('t', 'mi'), 'mc'))",487441.41
"('mi', 't')",363030.75
"(('mi', 't'), 'mc')",373853.17
"('cn', (('mi', 't'), 'mc'))",392171.12
"('mi', 't')",363030.75
"(('mi', 't'), 'mc')",373853.17
"('cn', (('mi', 't'), 'mc'))",392171.12
"('mi', 't')",363030.75
"(('mi', 't'), 'mc')",373853.17
"('cn', (('mi', 't'), 'mc'))",392171.12
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"((('t', 'mc'), 'mi'), 'cn')",579450.88
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"((('t', 'mc'), 'mi'), 'cn')",579450.88
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"((('t', 'mc'), 'mi'), 'cn')",579450.88
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"('t', 'mc')",158187.08
"(('t', 'mc'), 'mi')",569747.77
"('cn', (('t', 'mc'), 'mi'))",588065.71
"((('t', 'mi'), 'mc'), 'cn')",478826.58
"((('mi', 't'), 'mc'), 'cn')",376660.72
"((('t', 'mi'), 'mc'), 'cn')",478826.58
"((('t', 'mi'), 'mc'), 'cn')",478826.58
"((('t', 'mi'), 'mc'), 'cn')",478826.58
"('mc', 'cn')",56107.5
"(('mi', 't'), ('mc', 'cn'))",402671.71
"('mc', 'cn')",56107.5
"('t', ('mc', 'cn'))",119644.79
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mi', 't'), ('mc', 'cn'))",402671.71
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"('mi', ('mc', 'cn'))",341369.07
"('t', ('mi', ('mc', 'cn')))",387667.01
"('mc', 'cn')",56107.5
"('mi', ('mc', 'cn'))",341369.07
"(('mi', ('mc', 'cn')), 't')",356046.36
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"('t', ('mc', 'cn'))",119644.79
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"('t', ('mc', 'cn'))",119644.79
"('mc', 'mi')",451851.44
"(('mc', 'mi'), 't')",570566.74
"((('mc', 'mi'), 't'), 'cn')",582806.9
"('mc', 'cn')",56107.5
"('t', ('mc', 'cn'))",119644.79
"('mc', 'cn')",56107.5
"('mi', ('t', ('mc', 'cn')))",401766.73
"(('mc', 'cn'), ('mi', 't'))",398798.04
"('mc', 'cn')",56107.5
"('t', ('mc', 'cn'))",119644.79
"('mi', ('t', ('mc', 'cn')))",401766.73
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('mi', 't'))",485271.47
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('mi', 't'))",398798.04
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"('cn', ('t', 'mc'))",284251.68
"(('cn', ('t', 'mc')), 'mi')",625492.37
"(('t', 'mc'), 'cn')",128874.08
"('mi', (('t', 'mc'), 'cn'))",410996.02
"('mi', ('t', 'mc'))",413318.36
"('cn', ('mi', ('t', 'mc')))",431636.31
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"('mc', 'mi')",451851.44
"(('mc', 'mi'), 'cn')",460599.14
"((('mc', 'mi'), 'cn'), 't')",508160.62
"('cn', ('t', 'mc'))",284251.68
"(('cn', ('t', 'mc')), 'mi')",625492.37
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"('cn', ('t', 'mc'))",284251.68
"(('cn', ('t', 'mc')), 'mi')",625492.37
"('mc', ('t', 'mi'))",510144.39
"('cn', ('mc', ('t', 'mi')))",528462.34
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"('mi', ('t', 'mc'))",413318.36
"('cn', ('mi', ('t', 'mc')))",431636.31
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"('mi', ('t', 'mc'))",413318.36
"('cn', ('mi', ('t', 'mc')))",431636.31
"('cn', ('t', 'mc'))",284251.68
"(('cn', ('t', 'mc')), 'mi')",625492.37
"('mc', ('t', 'mi'))",510144.39
"('cn', ('mc', ('t', 'mi')))",528462.34
"('mc', 'cn')",56107.5
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"(('t', 'mc'), 'cn')",128874.08
"('mi', (('t', 'mc'), 'cn'))",410996.02
"(('mc', 'cn'), ('t', 'mi'))",508064.01
"(('t', 'mc'), 'cn')",128874.08
"('mi', (('t', 'mc'), 'cn'))",410996.02
"('mi', 'mc')",370079.11
"(('mi', 'mc'), 'cn')",349893.89
"('t', (('mi', 'mc'), 'cn'))",396191.83
"('mi', 'mc')",370079.11
"('cn', ('mi', 'mc'))",440313.94
