order,costs
"('lt', 'ml')",229.23
"('t', ('lt', 'ml'))",8278.07
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"((('t', 'ml'), 'mi'), 'lt')",24683.35
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'ml')",9601.64
"(('t', 'ml'), 'mi')",25426.61
"('lt', (('t', 'ml'), 'mi'))",25527.79
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"('lt', (('t', 'mi'), 'ml'))",328889.75
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"((('t', 'mi'), 'ml'), 'lt')",328884.4
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"('lt', (('t', 'mi'), 'ml'))",328889.75
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"('lt', (('t', 'mi'), 'ml'))",328889.75
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"('lt', (('t', 'mi'), 'ml'))",328889.75
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"((('t', 'mi'), 'ml'), 'lt')",328884.4
"('t', 'mi')",437352.29
"(('t', 'mi'), 'ml')",328881.29
"('lt', (('t', 'mi'), 'ml'))",328889.75
"('ml', 't')",9601.64
"('mi', ('ml', 't'))",26568.49
"(('mi', ('ml', 't')), 'lt')",26036.99
"('t', 'mi')",437352.29
"('ml', 'lt')",561.48
"(('t', 'mi'), ('ml', 'lt'))",328664.28
"('ml', 't')",9601.64
"('lt', ('ml', 't'))",9739.81
"(('lt', ('ml', 't')), 'mi')",11847.21
"('t', 'mi')",437352.29
"('ml', 'lt')",561.48
"(('t', 'mi'), ('ml', 'lt'))",328664.28
"('ml', 't')",9601.64
"('mi', ('ml', 't'))",26568.49
"(('mi', ('ml', 't')), 'lt')",26036.99
"('ml', 't')",9601.64
"('lt', ('ml', 't'))",9739.81
"(('lt', ('ml', 't')), 'mi')",11847.21
"('ml', 't')",9601.64
"('mi', ('ml', 't'))",26568.49
"(('mi', ('ml', 't')), 'lt')",26036.99
"('ml', 't')",9601.64
"('mi', ('ml', 't'))",26568.49
"(('mi', ('ml', 't')), 'lt')",26036.99
"('t', 'mi')",437352.29
"('ml', 'lt')",561.48
"(('t', 'mi'), ('ml', 'lt'))",328664.28
