order,costs
"('mc', 't')",101582.83
"('ct', ('mc', 't'))",102563.85
"(('ct', ('mc', 't')), 'cn')",114491.79
"('mc', 't')",101582.83
"('cn', ('mc', 't'))",120008.31
"('ct', ('cn', ('mc', 't')))",120533.34
"('t', 'mc')",91116.25
"('cn', ('t', 'mc'))",109541.72
"(('cn', ('t', 'mc')), 'ct')",109645.83
"('t', 'mc')",91116.25
"('cn', ('t', 'mc'))",109541.72
"('ct', ('cn', ('t', 'mc')))",110066.76
"('t', 'mc')",91116.25
"('cn', ('t', 'mc'))",109541.72
"('ct', ('cn', ('t', 'mc')))",110066.76
"('t', 'mc')",91116.25
"('cn', ('t', 'mc'))",109541.72
"('ct', ('cn', ('t', 'mc')))",110066.76
"('t', 'mc')",91116.25
"(('t', 'mc'), 'cn')",95188.97
"((('t', 'mc'), 'cn'), 'ct')",95232.99
"('t', 'mc')",91116.25
"(('t', 'mc'), 'cn')",95188.97
"((('t', 'mc'), 'cn'), 'ct')",95232.99
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"(('t', 'mc'), 'cn')",95188.97
"((('t', 'mc'), 'cn'), 'ct')",95232.99
"('t', 'mc')",91116.25
"(('t', 'mc'), 'cn')",95188.97
"((('t', 'mc'), 'cn'), 'ct')",95232.99
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"(('ct', ('t', 'mc')), 'cn')",104025.21
"('t', 'mc')",91116.25
"('ct', ('t', 'mc'))",92097.27
"('cn', ('ct', ('t', 'mc')))",110890.24
"(('cn', ('mc', 't')), 'ct')",120112.41
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('ct', 'mc')",55512.71
"('cn', ('ct', 'mc'))",87184.18
"(('cn', ('ct', 'mc')), 't')",185862.26
"('ct', 'mc')",55512.71
"('cn', ('ct', 'mc'))",87184.18
"(('cn', ('ct', 'mc')), 't')",185862.26
"('ct', 'mc')",55512.71
"('cn', ('ct', 'mc'))",87184.18
"(('cn', ('ct', 'mc')), 't')",185862.26
"('ct', 'mc')",55512.71
"('cn', ('ct', 'mc'))",87184.18
"(('cn', ('ct', 'mc')), 't')",185862.26
"('ct', 'mc')",55512.71
"('cn', ('ct', 'mc'))",87184.18
"(('cn', ('ct', 'mc')), 't')",185862.26
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"('cn', 'mc')",79490.32
"(('cn', 'mc'), 'ct')",79882.8
"((('cn', 'mc'), 'ct'), 't')",178560.88
"(('mc', 't'), 'ct')",101664.2
"((('mc', 't'), 'ct'), 'cn')",105736.92
"(('mc', 't'), 'cn')",105655.55
"((('mc', 't'), 'cn'), 'ct')",105699.57
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('mc', 't'), 'ct')",101664.2
"((('mc', 't'), 'ct'), 'cn')",105736.92
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"('mc', 'cn')",49210.49
"('t', ('mc', 'cn'))",94594.59
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
"((('t', 'mc'), 'ct'), 'cn')",95270.34
"(('t', 'mc'), 'ct')",91197.61
