order,costs
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('k', 'mk')",7406.22
"('cn', 'mc')",79490.32
"(('k', 'mk'), ('cn', 'mc'))",90352.52
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('k', 'mk'))",49569.5
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('k', 'mk'))",49569.5
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('k', 'mk'))",49569.5
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('k', 'mk'))",49569.5
"(('cn', 'mc'), 'mk')",263564.02
"('k', (('cn', 'mc'), 'mk'))",299544.95
"('mc', 'cn')",49210.49
"(('k', 'mk'), ('mc', 'cn'))",60072.69
"('mc', 'cn')",49210.49
"(('k', 'mk'), ('mc', 'cn'))",60072.69
"('mc', 'cn')",49210.49
"(('k', 'mk'), ('mc', 'cn'))",60072.69
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"('mc', 'cn')",49210.49
"(('k', 'mk'), ('mc', 'cn'))",60072.69
"('mc', 'cn')",49210.49
"(('k', 'mk'), ('mc', 'cn'))",60072.69
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('cn', 'mc'), ('k', 'mk'))",87350.89
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"(('k', 'mk'), 'mc')",7483.66
"(('cn', 'mc'), 'mk')",263564.02
"('cn', (('k', 'mk'), 'mc'))",14917.23
"((('cn', 'mc'), 'mk'), 'k')",199468.75
"(('cn', 'mc'), 'mk')",263564.02
"((('cn', 'mc'), 'mk'), 'k')",199468.75
"((('cn', 'mc'), 'mk'), 'k')",199468.75
"(('k', 'mk'), 'mc')",7483.66
"('cn', (('k', 'mk'), 'mc'))",14917.23
"('mk', 'k')",52312.01
"(('mk', 'k'), ('mc', 'cn'))",93648.8
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"('cn', ('mk', 'mc'))",446908.52
"('k', ('cn', ('mk', 'mc')))",482889.45
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"('cn', ('k', ('mk', 'mc')))",259455.92
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"('cn', ('k', ('mk', 'mc')))",259455.92
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'cn')",96131.94
"('mc', ('k', 'mk'))",43895.4
"(('mc', ('k', 'mk')), 'cn')",43902.04
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'cn')",96131.94
"('mk', 'k')",52312.01
"('mc', ('mk', 'k'))",87645.58
"(('mc', ('mk', 'k')), 'cn')",87652.22
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('k', ('mk', 'mc'))",250650.6
"('cn', ('k', ('mk', 'mc')))",259455.92
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('mk', 'k')",52312.01
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('mk', 'k'))",93385.35
"('mk', 'mc')",207794.41
"('k', ('mk', 'mc'))",250650.6
"(('k', ('mk', 'mc')), 'cn')",250671.17
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'cn')",165117.03
"((('mk', 'mc'), 'cn'), 'k')",102540.87
"('cn', ('mk', 'mc'))",446908.52
"(('cn', ('mk', 'mc')), 'k')",451670.19
"(('mc', 'cn'), ('mk', 'k'))",93385.35
"('mc', 'mk')",267401.27
