order,costs
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"(('ct', 'mc'), 'mk')",399767.02
"('k', (('ct', 'mc'), 'mk'))",449891.22
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"(('ct', 'mc'), 'mk')",399767.02
"((('ct', 'mc'), 'mk'), 'k')",406043.77
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('ct', 'mc'), ('k', 'mk'))",63767.19
"('ct', 'mc')",55512.71
"(('ct', 'mc'), 'mk')",399767.02
"('k', (('ct', 'mc'), 'mk'))",449891.22
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('ct', 'mc')",55512.71
"('k', 'mk')",7406.22
"(('k', 'mk'), ('ct', 'mc'))",67790.89
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'ct')",274108.27
"('k', (('mc', 'mk'), 'ct'))",324232.46
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mc', 'ct')",49976.44
"('mk', ('mc', 'ct'))",209951.99
"('k', ('mk', ('mc', 'ct')))",260076.19
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mk', 'k')",52312.01
"('mc', 'ct')",49976.44
"(('mk', 'k'), 'mc')",52334.34
"('mk', ('mc', 'ct'))",209951.99
"('ct', (('mk', 'k'), 'mc'))",52337.69
"('k', ('mk', ('mc', 'ct')))",260076.19
"('mc', 'ct')",49976.44
"('mk', ('mc', 'ct'))",209951.99
"(('mk', ('mc', 'ct')), 'k')",96431.39
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'k')",160016.15
"('ct', (('mc', 'mk'), 'k'))",160019.5
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mk', 'k'), ('mc', 'ct'))",88444.87
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'ct')",274108.27
"('k', (('mc', 'mk'), 'ct'))",324232.46
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"((('mc', 'mk'), 'k'), 'ct')",160016.9
"('mc', 'ct')",49976.44
"('mk', ('mc', 'ct'))",209951.99
"('k', ('mk', ('mc', 'ct')))",260076.19
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"(('mc', 'mk'), 'ct')",274108.27
"('k', (('mc', 'mk'), 'ct'))",324232.46
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"('ct', (('mk', 'k'), 'mc'))",52337.69
"('mc', 'ct')",49976.44
"(('mc', 'ct'), 'mk')",268685.11
"('k', (('mc', 'ct'), 'mk'))",318809.31
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mc', 'ct')",49976.44
"('mk', ('mc', 'ct'))",209951.99
"('k', ('mk', ('mc', 'ct')))",260076.19
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"(('k', 'mk'), 'mc')",7483.66
"('ct', (('k', 'mk'), 'mc'))",7487.02
"('mc', 'mk')",267401.27
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mc')",52334.34
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"('mc', 'ct')",49976.44
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'ct')",96126.06
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'ct')",96126.06
"('mc', 'ct')",49976.44
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"(('k', 'mk'), 'mc')",7483.66
"('ct', (('k', 'mk'), 'mc'))",7487.02
"('mk', ('mc', 'ct'))",209951.99
"('k', ('mk', ('mc', 'ct')))",260076.19
"(('mc', 'mk'), 'ct')",274108.27
"('k', (('mc', 'mk'), 'ct'))",324232.46
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"('mc', ('mk', 'k'))",87645.58
"(('mc', ('mk', 'k')), 'ct')",87646.33
"(('k', 'mk'), ('mc', 'ct'))",62254.62
"('ct', (('mk', 'k'), 'mc'))",52337.69
"((('mk', 'k'), 'mc'), 'ct')",52335.09
"(('k', 'mk'), ('mc', 'ct'))",62254.62
"('mk', 'k')",52312.01
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"(('mc', 'mk'), 'ct')",274108.27
"('k', (('mc', 'mk'), 'ct'))",324232.46
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"('mc', 'ct')",49976.44
"(('mc', 'ct'), ('mk', 'k'))",87951.67
"('k', ('mc', 'mk'))",310257.46
"('ct', ('k', ('mc', 'mk')))",310260.81
"(('mk', 'k'), 'mc')",52334.34
"('ct', (('mk', 'k'), 'mc'))",52337.69
"('ct', ('mc', 'mk'))",363251.22
"(('ct', ('mc', 'mk')), 'k')",369527.97
"((('mc', 'mk'), 'ct'), 'k')",162811.36
"(('k', 'mk'), 'mc')",7483.66
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'ct')",214501.41
"((('mk', 'mc'), 'ct'), 'k')",98920.52
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'ct')",96126.06
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'ct')",214501.41
"((('mk', 'mc'), 'ct'), 'k')",98920.52
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'ct')",96126.06
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'ct')",214501.41
"((('mk', 'mc'), 'ct'), 'k')",98920.52
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'ct')",214501.41
"((('mk', 'mc'), 'ct'), 'k')",98920.52
"(('mk', 'mc'), 'ct')",214501.41
"((('mk', 'mc'), 'ct'), 'k')",98920.52
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'k')",96125.31
"((('mk', 'mc'), 'k'), 'ct')",96126.06
"('mk', 'mc')",207794.41
"(('mk', 'mc'), 'ct')",214501.41
