order,costs
"('mk', 'mc')",207794.41
"('t', ('mk', 'mc'))",245627.4
"('cn', ('t', ('mk', 'mc')))",275096.42
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'cn')",229007.87
"((('mc', 'mk'), 'cn'), 't')",267263.72
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'cn')",229007.87
"((('mc', 'mk'), 'cn'), 't')",267263.72
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'cn')",229007.87
"((('mc', 'mk'), 'cn'), 't')",267263.72
"('mc', 'cn')",49210.49
"('mk', ('mc', 'cn'))",160222.08
"(('mk', ('mc', 'cn')), 't')",198477.93
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 'cn')",229007.87
"((('mc', 'mk'), 'cn'), 't')",267263.72
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'mk')",267401.27
"(('mc', 'mk'), 't')",283871.03
"('cn', (('mc', 'mk'), 't'))",425204.72
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"('mc', 'cn')",49210.49
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('t', ('mc', 'cn'))",96161.85
"('mk', ('t', ('mc', 'cn')))",149097.4
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"('mc', 'cn')",49210.49
"('mk', 't')",235929.91
"(('mc', 'cn'), ('mk', 't'))",238127.92
"(('mk', 'mc'), 'cn')",165117.03
"('t', (('mk', 'mc'), 'cn'))",214747.82
"('cn', ('mk', 'mc'))",446908.52
"(('cn', ('mk', 'mc')), 't')",583418.81
"('t', ('mc', 'mk'))",309518.34
"(('t', ('mc', 'mk')), 'cn')",310788.43
