order,costs
"('k', 'mk')",7406.22
"(('k', 'mk'), 't')",7472.1
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"(('mi', ('t', 'mk')), 'k')",573514.31
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mi')",571222.51
"('mk', ('t', 'mi'))",702417.69
"(('mk', ('t', 'mi')), 'k')",753088.33
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"(('mi', ('t', 'mk')), 'k')",573514.31
"('t', 'mk')",252638.98
"(('t', 'mk'), 'k')",228156.13
"((('t', 'mk'), 'k'), 'mi')",228219.91
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"(('mi', ('t', 'mk')), 'k')",573514.31
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('t', 'mk')",252638.98
"('mi', ('t', 'mk'))",572675.75
"('k', ('mi', ('t', 'mk')))",653160.99
"('k', ('t', 'mk'))",338864.92
"(('k', ('t', 'mk')), 'mi')",339031.05
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 'k')",52312.01
"(('t', 'mi'), ('mk', 'k'))",670462.93
"('mk', 'k')",52312.01
"(('mk', 'k'), ('t', 'mi'))",671147.98
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"((('mi', 't'), 'mk'), 'k')",537206.69
"('mi', 't')",360058.88
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 't')",360058.88
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 't')",360058.88
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"((('mi', 't'), 'mk'), 'k')",537206.69
"('mi', 't')",360058.88
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"('k', (('mi', 't'), 'mk'))",616853.37
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"('k', (('mi', 't'), 'mk'))",616853.37
"('mi', 't')",360058.88
"(('mi', 't'), ('k', 'mk'))",387113.59
"('mi', 'mk')",852795.28
"('k', ('mi', 'mk'))",2881167.22
"(('k', ('mi', 'mk')), 't')",2881419.5
"('mi', 't')",360058.88
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 't')",360058.88
"(('mi', 't'), ('k', 'mk'))",387113.59
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"('k', (('mi', 't'), 'mk'))",616853.37
"('mi', 'mk')",852795.28
"('k', ('mi', 'mk'))",2881167.22
"(('k', ('mi', 'mk')), 't')",2881419.5
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"('k', (('mi', 't'), 'mk'))",616853.37
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"('t', (('mi', 'mk'), 'k'))",659688.84
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"((('mi', 'mk'), 'k'), 't')",604722.67
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"((('mi', 'mk'), 'k'), 't')",604722.67
"('mk', 't')",235929.91
"(('mk', 't'), 'mi')",719794.11
"((('mk', 't'), 'mi'), 'k')",770464.75
"('mk', 'k')",52312.01
"(('mk', 'k'), ('mi', 't'))",437097.42
"('mi', 't')",360058.88
"(('mi', 't'), 'mk')",536368.14
"('k', (('mi', 't'), 'mk'))",616853.37
"(('mk', 'k'), 't')",52331.24
"('mi', (('mk', 'k'), 't'))",356474.18
"('mi', 'mk')",852795.28
"('k', ('mi', 'mk'))",2881167.22
"(('k', ('mi', 'mk')), 't')",2881419.5
"('mi', 'mk')",852795.28
"('k', ('mi', 'mk'))",2881167.22
"(('k', ('mi', 'mk')), 't')",2881419.5
"('mi', 'mk')",852795.28
"('k', ('mi', 'mk'))",2881167.22
"(('k', ('mi', 'mk')), 't')",2881419.5
"(('k', 'mk'), ('mi', 't'))",430120.19
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 't')",1073361.24
"((('mi', 'mk'), 't'), 'k')",838418.79
"('mk', 'mi')",831824.66
"('k', ('mk', 'mi'))",2860218.12
"('t', ('k', ('mk', 'mi')))",2957129.7
"(('t', 'mk'), 'mi')",719794.11
"((('t', 'mk'), 'mi'), 'k')",770464.75
"(('t', 'mi'), 'mk')",700650.08
"((('t', 'mi'), 'mk'), 'k')",751320.72
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 't')",52595.55
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
