order,costs
"('cc', 'mi')",279681.83
"('t', 'kt')",72314.04
"(('cc', 'mi'), ('t', 'kt'))",360981.07
"('t', 'mi')",384615.35
"(('t', 'mi'), 'kt')",384617.31
"('cc', (('t', 'mi'), 'kt'))",387213.3
"('mi', 'cc')",274475.11
"('t', ('mi', 'cc'))",385894.12
"(('t', ('mi', 'cc')), 'kt')",385895.27
"('mi', 'cc')",274475.11
"('kt', 't')",49358.29
"(('mi', 'cc'), ('kt', 't'))",332786.37
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"('kt', (('t', 'cc'), 'mi'))",167139.42
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"('kt', (('t', 'cc'), 'mi'))",167139.42
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"('kt', (('t', 'cc'), 'mi'))",167139.42
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
"((('t', 'cc'), 'mi'), 'kt')",167138.07
"('t', 'cc')",82650.9
"(('t', 'cc'), 'mi')",167138.19
