order,costs
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mk')",280415.2
"('mc', (('cc', 'mi'), 'mk'))",397527.53
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi')",498610.65
"('mc', (('cc', 'mk'), 'mi'))",609564.09
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi')",498610.65
"('mc', (('cc', 'mk'), 'mi'))",609564.09
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi')",498610.65
"('mc', (('cc', 'mk'), 'mi'))",609564.09
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi')",498610.65
"('mc', (('cc', 'mk'), 'mi'))",609564.09
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mk')",280415.2
"('mc', (('cc', 'mi'), 'mk'))",397527.53
"('cc', 'mk')",210061.16
"('mc', ('cc', 'mk'))",820940.14
"('mi', ('mc', ('cc', 'mk')))",896443.31
"('cc', 'mk')",210061.16
"('mc', ('cc', 'mk'))",820940.14
"('mi', ('mc', ('cc', 'mk')))",896443.31
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mc')",280037.76
"('mk', (('cc', 'mi'), 'mc'))",404532.09
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mc')",280037.76
"('mk', (('cc', 'mi'), 'mc'))",404532.09
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mk')",280415.2
"('mc', (('cc', 'mi'), 'mk'))",397527.53
"('cc', 'mi')",279681.83
"(('cc', 'mi'), 'mc')",280037.76
"('mk', (('cc', 'mi'), 'mc'))",404532.09
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'mk')",359730.47
"('mi', (('mc', 'cc'), 'mk'))",648721.2
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'mi')",392135.52
"('mk', (('mc', 'cc'), 'mi'))",516318.93
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'cc')",277732.0
"((('mi', 'mk'), 'cc'), 'mc')",285028.79
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'cc')",1152771.66
"((('mk', 'mc'), 'cc'), 'mi')",1060418.09
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mc', 'mi')",403637.76
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'mk')",407249.46
"('cc', (('mc', 'mi'), 'mk'))",414702.43
"('mc', 'mi')",403637.76
"('mk', 'cc')",202242.54
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"('mc', 'mi')",403637.76
"(('cc', 'mk'), ('mc', 'mi'))",629772.32
"('mc', 'mi')",403637.76
"('mk', 'cc')",202242.54
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'mk')",407249.46
"('cc', (('mc', 'mi'), 'mk'))",414702.43
"('mc', 'mi')",403637.76
"(('cc', 'mk'), ('mc', 'mi'))",629772.32
"('mc', 'mi')",403637.76
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"(('mc', ('cc', 'mk')), 'mi')",954461.42
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('mc', 'mi')",403637.76
"('mk', 'cc')",202242.54
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"('mc', 'mi')",403637.76
"('mk', 'cc')",202242.54
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"(('mc', ('cc', 'mk')), 'mi')",954461.42
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'mk')",407249.46
"('cc', (('mc', 'mi'), 'mk'))",414702.43
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'mk')",407249.46
"('cc', (('mc', 'mi'), 'mk'))",414702.43
"('mc', 'mi')",403637.76
"(('mk', 'cc'), ('mc', 'mi'))",640737.56
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'cc')",404589.54
"((('mc', 'mi'), 'cc'), 'mk')",407256.27
"('mc', 'mi')",403637.76
"(('mc', 'mi'), 'mk')",407249.46
"('cc', (('mc', 'mi'), 'mk'))",414702.43
"('mi', 'mc')",276551.38
"(('cc', 'mk'), ('mi', 'mc'))",502860.11
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mc')",776827.83
"((('mk', 'cc'), 'mc'), 'mi')",930321.04
"('cc', 'mc')",130023.92
"('mi', 'mk')",275583.04
"(('cc', 'mc'), ('mi', 'mk'))",422187.09
"('mi', 'cc')",274475.11
"(('mi', 'cc'), 'mk')",275208.47
"((('mi', 'cc'), 'mk'), 'mc')",279226.86
"((('cc', 'mk'), 'mi'), 'mc')",505908.03
"('mi', 'cc')",274475.11
"(('mi', 'cc'), 'mk')",275208.47
"('mc', (('mi', 'cc'), 'mk'))",321744.02
"('mi', (('mk', 'cc'), 'mc'))",1024691.73
"('mc', ('mk', 'cc'))",831903.47
"('mi', ('mc', ('mk', 'cc')))",1265939.92
"('mc', ('cc', 'mi'))",410105.32
"('mk', ('mc', ('cc', 'mi')))",534264.17
"(('mc', 'mi'), ('cc', 'mk'))",644606.84
"('mk', ('cc', 'mi'))",403742.39
"(('mk', ('cc', 'mi')), 'mc')",411039.77
"('mk', 'cc')",202242.54
"('mi', 'mc')",276551.38
"(('mk', 'cc'), ('mi', 'mc'))",513825.35
"('mk', ('cc', 'mi'))",403742.39
"(('mk', ('cc', 'mi')), 'mc')",411039.77
"('mk', ('cc', 'mi'))",403742.39
"(('mk', ('cc', 'mi')), 'mc')",411039.77
"('mc', ('cc', 'mi'))",410105.32
"('mk', ('mc', ('cc', 'mi')))",534264.17
"('mc', ('cc', 'mi'))",410105.32
"('mk', ('mc', ('cc', 'mi')))",534264.17
"('mc', 'mi')",403637.76
"('mk', ('mc', 'mi'))",528262.93
"(('mk', ('mc', 'mi')), 'cc')",533443.89
"('mk', ('cc', 'mi'))",403742.39
"(('mk', ('cc', 'mi')), 'mc')",411039.77
"(('mc', 'mi'), ('cc', 'mk'))",644606.84
"('mc', 'mk')",601578.58
"(('mc', 'mk'), ('cc', 'mi'))",941560.1
"('mc', 'cc')",110962.03
"('mi', 'mk')",275583.04
"(('mc', 'cc'), ('mi', 'mk'))",339229.96
"('mc', 'cc')",110962.03
"('mi', ('mc', 'cc'))",343020.59
"('mk', ('mi', ('mc', 'cc')))",467596.65
"('mc', 'cc')",110962.03
"('mk', ('mc', 'cc'))",330081.67
"(('mk', ('mc', 'cc')), 'mi')",723533.35
"('mk', ('cc', 'mi'))",403742.39
"(('mk', ('cc', 'mi')), 'mc')",411039.77
"('mi', 'cc')",274475.11
"(('mi', 'cc'), 'mc')",274741.61
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",818939.97
"((('mk', 'mc'), 'mi'), 'cc')",824571.64
"('mk', 'mi')",397303.4
"(('mk', 'mi'), 'mc')",402748.19
