order,costs
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('it1', 'mi')",273197.61
"('mk', ('it1', 'mi'))",371192.25
"('k', ('mk', ('it1', 'mi')))",376595.78
"('it1', 'mi')",273197.61
"('k', 'mk')",244505.03
"(('it1', 'mi'), ('k', 'mk'))",644946.47
"('mk', 'k')",131637.82
"(('it1', 'mi'), ('mk', 'k'))",532079.26
"('mk', 'k')",131637.82
"(('it1', 'mi'), ('mk', 'k'))",532079.26
"('mk', 'k')",131637.82
"(('it1', 'mi'), ('mk', 'k'))",532079.26
"('mk', 'k')",131637.82
"(('it1', 'mi'), ('mk', 'k'))",532079.26
"('mi', 'it1')",273156.27
"('mk', 'k')",131637.82
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"(('k', 'mk'), ('mi', 'it1'))",545936.64
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"('k', (('mi', 'mk'), 'it1'))",280082.79
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"('mi', 'it1')",273156.27
"('mk', 'k')",131637.82
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"('k', (('mi', 'mk'), 'it1'))",280082.79
"('mi', 'it1')",273156.27
"('mk', ('mi', 'it1'))",323562.63
"('k', ('mk', ('mi', 'it1')))",328966.16
"('mi', 'it1')",273156.27
"('mk', 'k')",131637.82
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"('k', (('mi', 'mk'), 'it1'))",280082.79
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"('k', (('mi', 'mk'), 'it1'))",280082.79
"('mi', ('mk', 'k'))",399749.16
"('it1', ('mi', ('mk', 'k')))",399867.19
"('mi', 'it1')",273156.27
"('mk', 'k')",131637.82
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"('k', (('mi', 'mk'), 'it1'))",280082.79
"('mi', 'mk')",275583.04
"('k', ('mi', 'mk'))",281730.75
"('it1', ('k', ('mi', 'mk')))",281848.77
"('mi', 'it1')",273156.27
"('mk', 'k')",131637.82
"(('mi', 'it1'), ('mk', 'k'))",398730.9
"(('mk', 'k'), ('mi', 'it1'))",352781.66
"(('mk', ('mi', 'it1')), 'k')",323577.55
"(('mk', ('mi', 'it1')), 'k')",323577.55
"('mk', 'k')",131637.82
"(('mk', 'k'), ('mi', 'it1'))",352781.66
"(('mi', 'it1'), 'mk')",273173.02
"(('mk', ('it1', 'mi')), 'k')",371228.24
"(('mk', ('mi', 'it1')), 'k')",323577.55
"('mk', 'k')",131637.82
"(('mk', 'k'), ('mi', 'it1'))",352781.66
"('mk', 'k')",131637.82
"(('mk', 'k'), 'mi')",516980.6
"((('mk', 'k'), 'mi'), 'it1')",517008.22
"(('mi', 'it1'), 'mk')",273173.02
"('mk', 'k')",131637.82
"(('mk', 'k'), 'mi')",516980.6
"((('mk', 'k'), 'mi'), 'it1')",517008.22
"('mi', 'mk')",275583.04
"(('mi', 'mk'), 'it1')",274679.26
"((('mi', 'mk'), 'it1'), 'k')",274694.18
"('mk', ('mi', 'it1'))",323562.63
