order,costs
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'mc')",45948.2
"('ct', (('cc', 'cct1'), 'mc'))",65469.99
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('ct', (('mc', 'cc'), 'cct1'))",100163.26
"('ct', 'mc')",99430.68
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('cc', 'mc')",130023.92
"('ct', ('cc', 'mc'))",202519.34
"('cct1', ('ct', ('cc', 'mc')))",211442.47
"('cc', 'mc')",130023.92
"('ct', ('cc', 'mc'))",202519.34
"('cct1', ('ct', ('cc', 'mc')))",211442.47
"('cc', 'mc')",130023.92
"('ct', ('cc', 'mc'))",202519.34
"('cct1', ('ct', ('cc', 'mc')))",211442.47
"('cct1', 'cc')",3776.49
"('mc', 'ct')",59021.98
"(('mc', 'ct'), ('cct1', 'cc'))",63436.91
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'cc')",185861.42
"('cct1', (('ct', 'mc'), 'cc'))",194784.54
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('ct', (('mc', 'cc'), 'cct1'))",100163.26
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('ct', (('mc', 'cc'), 'cct1'))",100163.26
"('ct', 'mc')",99430.68
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'ct')",114821.92
"('cct1', (('mc', 'cc'), 'ct'))",123745.05
"('ct', 'mc')",99430.68
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), ('ct', 'mc'))",199515.22
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'ct')",114821.92
"('cct1', (('mc', 'cc'), 'ct'))",123745.05
"('cc', 'mc')",130023.92
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mc'), 'cct1'), 'ct')",134849.58
"('cc', 'mc')",130023.92
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mc'), 'cct1'), 'ct')",134849.58
"('cc', 'mc')",130023.92
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mc'), 'cct1'), 'ct')",134849.58
"('cc', 'mc')",130023.92
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mc'), 'cct1'), 'ct')",134849.58
"('cc', 'mc')",130023.92
