order,costs
"('mc', 'mi')",388169.95
"('cc', ('mc', 'mi'))",394661.13
"(('cc', ('mc', 'mi')), 'cct1')",394664.63
"('mc', 'cc')",110962.03
"('mi', ('mc', 'cc'))",327542.65
"('cct1', ('mi', ('mc', 'cc')))",327558.97
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('mi', (('mc', 'cc'), 'cct1'))",320457.22
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('mi', (('mc', 'cc'), 'cct1'))",320457.22
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mc')",130023.92
"('mi', ('cc', 'mc'))",410632.24
"(('mi', ('cc', 'mc')), 'cct1')",410627.93
"('cc', 'mi')",264218.1
"(('cc', 'mi'), 'cct1')",264220.41
"('mc', (('cc', 'mi'), 'cct1'))",394628.82
"('cc', 'mi')",264218.1
"(('cc', 'mi'), 'cct1')",264220.41
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mi'), 'cct1'), 'mc')",264297.41
"('mi', (('cc', 'mc'), 'cct1'))",398033.02
"(('cc', 'mc'), 'mi')",403544.54
"((('cc', 'mc'), 'mi'), 'cct1')",403548.05
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"(('mc', ('cc', 'mi')), 'cct1')",394641.53
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"(('mc', ('cc', 'mi')), 'cct1')",394641.53
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"(('mc', ('cc', 'mi')), 'cct1')",394641.53
"('cct1', ('mi', ('cc', 'mc')))",410648.56
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cct1', 'cc')",3776.49
"('mi', ('cct1', 'cc'))",261904.41
"('mc', ('mi', ('cct1', 'cc')))",329245.53
"('cct1', 'cc')",3776.49
"('mi', ('cct1', 'cc'))",261904.41
"('mc', ('mi', ('cct1', 'cc')))",329245.53
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cct1', 'cc')",3776.49
"('mi', 'mc')",260550.69
"(('cct1', 'cc'), ('mi', 'mc'))",267132.6
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cc', 'mi')",264218.1
"('mc', ('cc', 'mi'))",394638.03
"('cct1', ('mc', ('cc', 'mi')))",394644.73
"('cct1', 'cc')",3776.49
"('mi', 'mc')",260550.69
"(('cct1', 'cc'), ('mi', 'mc'))",267132.6
"('cct1', 'cc')",3776.49
"('mi', 'mc')",260550.69
"(('cct1', 'cc'), ('mi', 'mc'))",267132.6
"('cct1', 'cc')",3776.49
