order,costs
"('cc', 'mc')",130023.92
"(('cc', 'mc'), 't')",263024.64
"((('cc', 'mc'), 't'), 'cct1')",265681.9
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('mc', 't')",232978.71
"(('mc', 't'), 'cc')",178180.62
"((('mc', 't'), 'cc'), 'cct1')",171200.94
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('t', 'cc')",89921.53
"(('t', 'cc'), 'mc')",114339.89
"((('t', 'cc'), 'mc'), 'cct1')",107360.31
"('cct1', (('cc', 'mc'), 't'))",269167.2
"(('t', 'cc'), 'cct1')",83158.05
"((('t', 'cc'), 'cct1'), 'mc')",89262.64
"(('t', 'cc'), 'cct1')",83158.05
"('mc', (('t', 'cc'), 'cct1'))",117167.31
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('cct1', 'cc')",3776.49
"('t', 'mc')",260678.74
"(('t', 'mc'), ('cct1', 'cc'))",148034.52
"('cct1', 'cc')",3776.49
"('t', 'mc')",260678.74
"(('t', 'mc'), ('cct1', 'cc'))",148034.52
"('cct1', 'cc')",3776.49
"('t', 'mc')",260678.74
"(('t', 'mc'), ('cct1', 'cc'))",148034.52
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"('cct1', ('t', ('mc', 'cc')))",155599.08
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"('cct1', ('t', ('mc', 'cc')))",155599.08
"('cc', 't')",119968.17
"('mc', ('cc', 't'))",220645.59
"(('mc', ('cc', 't')), 'cct1')",189769.27
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"('cct1', ('t', ('mc', 'cc')))",155599.08
"('cct1', 'cc')",3776.49
"('t', 'mc')",260678.74
"(('cct1', 'cc'), ('t', 'mc'))",276384.15
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"('cct1', ('t', ('mc', 'cc')))",155599.08
"('cct1', (('mc', 't'), 'cc'))",179381.15
"('cct1', (('mc', 't'), 'cc'))",179381.15
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"(('t', ('mc', 'cc')), 'cct1')",147418.86
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"(('t', ('mc', 'cc')), 'cct1')",147418.86
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"('cct1', ('t', ('mc', 'cc')))",155599.08
"('cct1', (('mc', 't'), 'cc'))",179381.15
"('t', ('cc', 'mc'))",238764.58
"(('t', ('cc', 'mc')), 'cct1')",231785.0
"('cct1', 'cc')",3776.49
"(('mc', 't'), ('cct1', 'cc'))",139619.63
"('cct1', ('t', 'cc'))",91084.9
"('mc', ('cct1', ('t', 'cc')))",146314.91
"('cct1', ('t', 'cc'))",91084.9
"('mc', ('cct1', ('t', 'cc')))",146314.91
"('mc', 'cc')",110962.03
"('cct1', ('mc', 'cc'))",119885.15
"(('cct1', ('mc', 'cc')), 't')",211957.71
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), ('mc', 't'))",278274.54
"('cct1', ('t', 'cc'))",91084.9
"('mc', ('cct1', ('t', 'cc')))",146314.91
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), ('mc', 't'))",278274.54
"(('cc', 'mc'), 'cct1')",133883.79
"((('cc', 'mc'), 'cct1'), 't')",225955.31
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cc', 'cct1')",2818.24
"(('t', 'mc'), ('cc', 'cct1'))",147076.27
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cct1', ('t', 'cc'))",91084.9
"(('cct1', ('t', 'cc')), 'mc')",105557.98
"('cct1', ('t', 'cc'))",91084.9
"(('cct1', ('t', 'cc')), 'mc')",105557.98
"('cct1', ('mc', 'cc'))",119885.15
"(('cct1', ('mc', 'cc')), 't')",211957.71
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), ('mc', 't'))",278274.54
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('cc', 'cct1')",2818.24
"(('mc', 't'), ('cc', 'cct1'))",138661.39
"('t', 'mc')",260678.74
"('cc', 'cct1')",2818.24
"(('t', 'mc'), ('cc', 'cct1'))",147076.27
"('cct1', ('t', 'cc'))",91084.9
"(('cct1', ('t', 'cc')), 'mc')",105557.98
"('cct1', ('t', 'cc'))",91084.9
"('mc', ('cct1', ('t', 'cc')))",146314.91
"('cct1', ('t', 'cc'))",91084.9
"('mc', ('cct1', ('t', 'cc')))",146314.91
"('t', 'mc')",260678.74
"('cc', 'cct1')",2818.24
"(('t', 'mc'), ('cc', 'cct1'))",147076.27
"('mc', ('t', 'cc'))",124641.85
"('cct1', ('mc', ('t', 'cc')))",125842.39
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 'cct1')",80641.6
"('t', (('mc', 'cc'), 'cct1'))",118326.65
"('cct1', 'cc')",3776.49
"('t', ('cct1', 'cc'))",59607.71
"(('t', ('cct1', 'cc')), 'mc')",65712.3
"('cct1', 'cc')",3776.49
"(('mc', 't'), ('cct1', 'cc'))",139619.63
"(('cc', 'mc'), 'cct1')",133883.79
"('t', (('cc', 'mc'), 'cct1'))",217442.72
"('cc', 'cct1')",2818.24
"('t', ('cc', 'cct1'))",58649.46
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"(('t', ('mc', 'cc')), 'cct1')",147418.86
"('mc', 'cc')",110962.03
"('t', ('mc', 'cc'))",154398.54
"(('t', ('mc', 'cc')), 'cct1')",147418.86
"('cc', 't')",119968.17
"(('cc', 't'), 'mc')",177859.22
"('cct1', (('cc', 't'), 'mc'))",179059.74
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"('mc', 'cc')",110962.03
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"(('mc', 'cc'), 't')",196489.98
"((('mc', 'cc'), 't'), 'cct1')",160748.69
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"('t', ('mc', ('cct1', 'cc')))",95243.54
"('cct1', (('cc', 'mc'), 't'))",269167.2
"(('cc', 't'), 'mc')",177859.22
"((('cc', 't'), 'mc'), 'cct1')",179299.64
"('cct1', 'cc')",3776.49
"('mc', ('cct1', 'cc'))",57558.49
"(('mc', ('cct1', 'cc')), 't')",90360.61
"('cct1', (('cc', 'mc'), 't'))",269167.2
"(('cc', 't'), 'mc')",177859.22
"((('cc', 't'), 'mc'), 'cct1')",179299.64
"('cct1', ('cc', 't'))",121131.54
"('mc', ('cct1', ('cc', 't')))",168577.32
"(('t', 'cc'), 'cct1')",83158.05
"((('t', 'cc'), 'cct1'), 'mc')",89262.64
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cc')",186595.5
"((('t', 'mc'), 'cc'), 'cct1')",179615.83
"(('t', 'cc'), 'cct1')",83158.05
"((('t', 'cc'), 'cct1'), 'mc')",89262.64
"(('t', 'mc'), 'cc')",186595.5
