order,costs
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'kt')",75039.44
"('mk', ('t', 'kt'))",269151.22
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'kt')",75039.44
"('mk', ('t', 'kt'))",269151.22
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"('t', 'mk')",267416.67
"(('t', 'mk'), 'k')",351846.98
"((('t', 'mk'), 'k'), 'kt')",364971.63
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"(('t', 'mk'), 'kt')",280541.31
"((('t', 'mk'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"('mk', 'k')",131637.82
"(('t', 'kt'), ('mk', 'k'))",424424.35
"('mk', 'k')",131637.82
"(('t', 'kt'), ('mk', 'k'))",424424.35
"(('t', 'kt'), 'mk')",293437.32
"('k', (('t', 'kt'), 'mk'))",745837.89
"('mk', 'k')",131637.82
"('t', ('mk', 'k'))",398403.69
"(('t', ('mk', 'k')), 'kt')",411528.34
"('mk', 't')",267416.67
"(('mk', 't'), 'kt')",280541.31
"((('mk', 't'), 'kt'), 'k')",331606.97
"('mk', 'k')",131637.82
"(('t', 'kt'), ('mk', 'k'))",424424.35
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"('mk', 't')",267416.67
"(('mk', 't'), 'kt')",280541.31
"((('mk', 't'), 'kt'), 'k')",331606.97
"(('t', 'kt'), 'mk')",293437.32
"((('t', 'kt'), 'mk'), 'k')",344503.01
"('mk', 't')",267416.67
"(('mk', 't'), 'k')",351846.98
"('kt', (('mk', 't'), 'k'))",789764.09
"('mk', 'k')",131637.82
"('t', ('mk', 'k'))",398403.69
