order,costs
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('ci', 'mc')",729377.9
"('chn', ('ci', 'mc'))",1073870.82
"(('chn', ('ci', 'mc')), 'mk')",2242605.15
"('mc', 'ci')",772790.16
"('chn', ('mc', 'ci'))",1335860.66
"(('chn', ('mc', 'ci')), 'mk')",2504594.98
"('ci', 'mk')",1140334.46
"('chn', ('ci', 'mk'))",1368401.56
"(('chn', ('ci', 'mk')), 'mc')",1627055.11
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'chn')",1006388.36
"((('ci', 'mk'), 'chn'), 'mc')",1265041.95
"('ci', 'mk')",1140334.46
"('chn', ('ci', 'mk'))",1368401.56
"(('chn', ('ci', 'mk')), 'mc')",1627055.11
"('mc', 'ci')",772790.16
"('chn', ('mc', 'ci'))",1335860.66
"(('chn', ('mc', 'ci')), 'mk')",2504594.98
"(('ci', 'mc'), 'chn')",690927.57
"('mk', (('ci', 'mc'), 'chn'))",986583.64
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'mc')",676558.12
"((('ci', 'chn'), 'mc'), 'mk')",1395107.59
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'mc')",676558.12
"((('ci', 'chn'), 'mc'), 'mk')",1395107.59
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'mk')",873136.68
"((('ci', 'chn'), 'mk'), 'mc')",1131790.23
