order,costs
"('mc', 't')",147319.85
"(('mc', 't'), 'ci')",402096.92
"('mc', 't')",147319.85
"(('mc', 't'), 'ci')",402096.92
"('mc', 't')",147319.85
"(('mc', 't'), 'ci')",402096.92
"('mc', 't')",147319.85
"(('mc', 't'), 'ci')",402096.92
"('mc', 't')",147319.85
"(('mc', 't'), 'ci')",402096.92
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('mc', 'ci')",772790.16
"('t', ('mc', 'ci'))",667869.04
"('chn', ('t', ('mc', 'ci')))",819203.49
"('chn', (('mc', 't'), 'ci'))",553431.37
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"('chn', (('mc', 't'), 'ci'))",553431.37
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"(('mc', 'ci'), 't')",678589.64
"('chn', (('mc', 'ci'), 't'))",894956.74
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"(('t', ('mc', 'ci')), 'chn')",676918.27
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"('chn', (('mc', 't'), 'ci'))",553431.37
"((('t', 'ci'), 'mc'), 'chn')",611092.26
"((('t', 'ci'), 'mc'), 'chn')",611092.26
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'chn')",611092.26
"((('t', 'ci'), 'mc'), 'chn')",611092.26
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"('chn', (('t', 'ci'), 'mc'))",753377.49
"((('t', 'ci'), 'mc'), 'chn')",611092.26
"('t', 'mc')",157530.06
"('chn', 'ci')",812577.11
"(('chn', 'ci'), ('t', 'mc'))",1011364.78
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 't')",667732.89
"('chn', (('ci', 'mc'), 't'))",884099.99
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'chn')",690927.57
"((('ci', 'mc'), 'chn'), 't')",684811.21
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 't')",670395.27
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 't')",670395.27
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 't')",670395.27
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'chn')",690927.57
"((('ci', 'mc'), 'chn'), 't')",684811.21
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'chn')",690927.57
"((('ci', 'mc'), 'chn'), 't')",684811.21
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",576959.8
"('mc', ('t', ('ci', 'chn')))",611399.15
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"(('mc', ('chn', 'ci')), 't')",1130744.29
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'chn')",690927.57
"((('ci', 'mc'), 'chn'), 't')",684811.21
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 't')",670395.27
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'chn')",690927.57
"((('ci', 'mc'), 'chn'), 't')",684811.21
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 't')",670395.27
"(('t', ('mc', 'ci')), 'chn')",676918.27
"('ci', 'mc')",729377.9
"('t', ('ci', 'mc'))",657012.29
"(('t', ('ci', 'mc')), 'chn')",666061.52
"('chn', 'ci')",812577.11
"('t', 'mc')",157530.06
"(('chn', 'ci'), ('t', 'mc'))",1011364.78
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",576959.8
"('mc', ('t', ('ci', 'chn')))",611399.15
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mc', 't'))",643175.09
"('ci', 'chn')",546665.42
"('t', 'mc')",157530.06
"(('ci', 'chn'), ('t', 'mc'))",644329.29
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",576959.8
"('mc', ('t', ('ci', 'chn')))",611399.15
"('t', 'ci')",562817.61
