order,costs
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('mi', 'ci')",764111.11
"(('mi', 'ci'), 'chn')",773739.17
"('chn', ('mi', 'ci'))",909351.66
"(('chn', ('mi', 'ci')), 'mk')",1025790.06
"(('mi', 'ci'), 'mk')",1003959.93
"('chn', (('mi', 'ci'), 'mk'))",1890765.17
"('mi', 'mk')",587283.18
"('ci', ('mi', 'mk'))",1320871.63
"('chn', ('ci', ('mi', 'mk')))",2207676.87
"(('mi', 'ci'), 'mk')",1003959.93
"('chn', (('mi', 'ci'), 'mk'))",1890765.17
"(('mi', 'ci'), 'mk')",1003959.93
"('chn', (('mi', 'ci'), 'mk'))",1890765.17
"(('mi', 'ci'), 'mk')",1003959.93
"('chn', (('mi', 'ci'), 'mk'))",1890765.17
"(('mi', 'ci'), 'mk')",1003959.93
"('chn', (('mi', 'ci'), 'mk'))",1890765.17
"('mi', 'mk')",587283.18
"('ci', ('mi', 'mk'))",1320871.63
"('chn', ('ci', ('mi', 'mk')))",2207676.87
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'chn')",825893.44
"('mi', (('mk', 'ci'), 'chn'))",1104779.89
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'chn')",825893.44
"('mi', (('mk', 'ci'), 'chn'))",1104779.89
"('mi', 'mk')",587283.18
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mi', 'mk'))",1272472.21
"('mi', 'mk')",587283.18
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mi', 'mk'))",1272472.21
"('mi', 'mk')",587283.18
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mi', 'mk'))",1272472.21
"('mi', 'mk')",587283.18
"('ci', 'chn')",546665.42
"(('ci', 'chn'), ('mi', 'mk'))",1272472.21
"('ci', 'mi')",948152.54
"('chn', ('ci', 'mi'))",1093393.08
"(('chn', ('ci', 'mi')), 'mk')",1211759.31
