order,costs
"('n', 'ci')",391302.79
"(('n', 'ci'), 'mk')",393470.84
"('n', 'ci')",391302.79
"(('n', 'ci'), 'mk')",393470.84
"('n', 'ci')",391302.79
"(('n', 'ci'), 'mk')",393470.84
"('n', 'ci')",391302.79
"(('n', 'ci'), 'mk')",393470.84
"('n', 'ci')",391302.79
"(('n', 'ci'), 'mk')",393470.84
"('ci', 'mk')",1140334.46
"('mc', ('ci', 'mk'))",1739968.6
"(('mc', ('ci', 'mk')), 'n')",1078362.16
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'n')",864613.85
"((('ci', 'mk'), 'n'), 'mc')",867936.55
"('ci', 'mk')",1140334.46
"('mc', ('ci', 'mk'))",1739968.6
"('n', ('mc', ('ci', 'mk')))",2069436.72
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'n')",864613.85
"((('ci', 'mk'), 'n'), 'mc')",867936.55
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'n')",864613.85
"((('ci', 'mk'), 'n'), 'mc')",867936.55
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'n')",864613.85
"((('ci', 'mk'), 'n'), 'mc')",867936.55
"('mc', (('ci', 'mk'), 'n'))",902095.57
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('ci', 'n')",563886.98
"('mk', 'mc')",510815.94
"(('ci', 'n'), ('mk', 'mc'))",1057822.48
"('n', ('ci', 'mk'))",1037489.35
"(('n', ('ci', 'mk')), 'mc')",1040812.04
"('n', ('ci', 'mk'))",1037489.35
"(('n', ('ci', 'mk')), 'mc')",1040812.04
"('n', ('ci', 'mk'))",1037489.35
"('mc', ('n', ('ci', 'mk')))",1074970.97
"('n', ('ci', 'mk'))",1037489.35
"(('n', ('ci', 'mk')), 'mc')",1040812.04
"('n', ('ci', 'mk'))",1037489.35
"(('n', ('ci', 'mk')), 'mc')",1040812.04
"('n', ('ci', 'mk'))",1037489.35
"('mc', ('n', ('ci', 'mk')))",1074970.97
"('mk', 'mc')",510815.94
"(('n', 'ci'), ('mk', 'mc'))",885238.29
"('mk', 'mc')",510815.94
"(('n', 'ci'), ('mk', 'mc'))",885238.29
"('mk', 'mc')",510815.94
