order,costs
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",502800.97
"((('ci', 'rt'), 't'), 'mc')",506069.87
"('ci', 'mc')",729377.9
"('rt', ('ci', 'mc'))",755502.95
"('t', ('rt', ('ci', 'mc')))",844118.46
"('ci', 't')",557793.32
"(('ci', 't'), 'rt')",545639.16
"((('ci', 't'), 'rt'), 'mc')",548908.06
"('ci', 't')",557793.32
"(('ci', 't'), 'rt')",545639.16
"('mc', (('ci', 't'), 'rt'))",581080.32
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 't')",667732.89
"((('ci', 'mc'), 't'), 'rt')",638366.78
"('ci', 't')",557793.32
"(('ci', 't'), 'rt')",545639.16
"('mc', (('ci', 't'), 'rt'))",581080.32
"('ci', 't')",557793.32
"('mc', ('ci', 't'))",630885.7
"(('mc', ('ci', 't')), 'rt')",601519.6
"('ci', 't')",557793.32
"('mc', ('ci', 't'))",630885.7
"(('mc', ('ci', 't')), 'rt')",601519.6
"('ci', 't')",557793.32
"(('ci', 't'), 'rt')",545639.16
"((('ci', 't'), 'rt'), 'mc')",548908.06
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 't')",667732.89
"((('ci', 'mc'), 't'), 'rt')",638366.78
"('ci', 't')",557793.32
"('mc', ('ci', 't'))",630885.7
"(('mc', ('ci', 't')), 'rt')",601519.6
"('ci', 't')",557793.32
"(('ci', 't'), 'rt')",545639.16
"((('ci', 't'), 'rt'), 'mc')",548908.06
"('ci', 't')",557793.32
"('mc', ('ci', 't'))",630885.7
"(('mc', ('ci', 't')), 'rt')",601519.6
"('t', 'mc')",157530.06
"('rt', 'ci')",109114.13
"(('t', 'mc'), ('rt', 'ci'))",229158.61
"('t', 'ci')",562817.61
"('rt', ('t', 'ci'))",564503.51
"(('rt', ('t', 'ci')), 'mc')",572262.71
"('t', 'mc')",157530.06
"('rt', 'ci')",109114.13
"(('t', 'mc'), ('rt', 'ci'))",229158.61
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'rt')",589500.34
"('t', 'mc')",157530.06
"('rt', 'ci')",109114.13
"(('t', 'mc'), ('rt', 'ci'))",229158.61
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'rt')",589500.34
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'rt')",589500.34
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'rt')",589500.34
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
"((('t', 'ci'), 'mc'), 'rt')",589500.34
"('t', 'mc')",157530.06
"('rt', 'ci')",109114.13
"(('t', 'mc'), ('rt', 'ci'))",229158.61
"('t', 'ci')",562817.61
"(('t', 'ci'), 'mc')",602043.03
