order,costs
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"('mi', (('ci', 'mk'), 'n'))",1382728.74
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('mi', 'ci')",809801.59
"(('mi', 'ci'), 'n')",850234.81
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'n')",1237593.42
"((('ci', 'mk'), 'n'), 'mi')",1714578.59
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"('n', ('mk', ('ci', 'mi')))",1537774.82
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('ci', 'n')",664365.57
"('mi', ('ci', 'n'))",907354.16
"(('mi', ('ci', 'n')), 'mk')",991758.09
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('ci', 'n')",664365.57
"('mi', ('ci', 'n'))",907354.16
"(('mi', ('ci', 'n')), 'mk')",991758.09
"('ci', 'n')",664365.57
"('mi', ('ci', 'n'))",907354.16
"(('mi', ('ci', 'n')), 'mk')",991758.09
"('ci', 'n')",664365.57
"('mi', ('ci', 'n'))",907354.16
"(('mi', ('ci', 'n')), 'mk')",991758.09
"('ci', 'n')",664365.57
"('mi', ('ci', 'n'))",907354.16
"(('mi', ('ci', 'n')), 'mk')",991758.09
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('ci', 'n'), ('mi', 'mk'))",1425211.38
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mk', 'ci')",1023150.06
"('mi', ('mk', 'ci'))",1363545.57
"('n', ('mi', ('mk', 'ci')))",2739204.81
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"(('mi', 'ci'), 'mk')",1004990.83
"('n', (('mi', 'ci'), 'mk'))",1372409.35
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mk', 'ci')",1023150.06
"('mi', ('mk', 'ci'))",1363545.57
"('n', ('mi', ('mk', 'ci')))",2739204.81
"('mk', 'ci')",1023150.06
"('mi', ('mk', 'ci'))",1363545.57
"('n', ('mi', ('mk', 'ci')))",2739204.81
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"(('mi', 'ci'), 'mk')",1004990.83
"('n', (('mi', 'ci'), 'mk'))",1372409.35
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mk', 'ci')",1023150.06
"('mi', ('mk', 'ci'))",1363545.57
"('n', ('mi', ('mk', 'ci')))",2739204.81
"(('mi', 'ci'), 'mk')",1004990.83
"('n', (('mi', 'ci'), 'mk'))",1372409.35
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('ci', 'n')",664365.57
"(('ci', 'n'), 'mk')",1033668.73
"('mi', (('ci', 'n'), 'mk'))",1178803.87
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', ('ci', 'mk'))",1306635.87
"(('mi', ('ci', 'mk')), 'n')",1371120.62
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('mi', 'mk')",609135.38
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"(('mi', 'ci'), 'mk')",1004990.83
"('n', (('mi', 'ci'), 'mk'))",1372409.35
"(('mi', 'ci'), 'mk')",1004990.83
"('n', (('mi', 'ci'), 'mk'))",1372409.35
"('ci', ('mi', 'mk'))",1500280.33
"('n', ('ci', ('mi', 'mk')))",1867698.85
"('ci', 'n')",664365.57
"('mk', ('ci', 'n'))",917053.08
"(('mk', ('ci', 'n')), 'mi')",1253058.46
"('mi', ('ci', 'mk'))",1306635.87
"(('mi', ('ci', 'mk')), 'n')",1371120.62
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"(('mk', ('ci', 'mi')), 'n')",1234841.23
"(('mk', ('ci', 'mi')), 'n')",1234841.23
"('mk', ('ci', 'n'))",917053.08
"(('mk', ('ci', 'n')), 'mi')",1253058.46
"('mk', ('ci', 'n'))",917053.08
"(('mk', ('ci', 'n')), 'mi')",1253058.46
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"(('mk', ('ci', 'mi')), 'n')",1234841.23
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"(('mk', ('ci', 'mi')), 'n')",1234841.23
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"('n', ('mk', ('ci', 'mi')))",1537774.82
"('ci', 'mi')",1032603.05
"('n', ('ci', 'mi'))",1237810.33
"(('n', ('ci', 'mi')), 'mk')",1382163.48
"('ci', 'mi')",1032603.05
"('mk', ('ci', 'mi'))",1170356.52
"(('mk', ('ci', 'mi')), 'n')",1234841.23
"('ci', 'mi')",1032603.05
"('n', ('ci', 'mi'))",1237810.33
"(('n', ('ci', 'mi')), 'mk')",1382163.48
"('ci', 'mi')",1032603.05
"('n', ('ci', 'mi'))",1237810.33
"(('n', ('ci', 'mi')), 'mk')",1382163.48
"('n', ('ci', 'mk'))",2513427.2
"(('n', ('ci', 'mk')), 'mi')",3331897.21
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), 'n')",1073036.27
"('mk', (('ci', 'mi'), 'n'))",1149925.14
"('ci', 'n')",664365.57
"('mi', 'mk')",609135.38
"(('mi', 'mk'), ('ci', 'n'))",1299128.12
"('mi', ('ci', 'mk'))",1306635.87
"(('mi', ('ci', 'mk')), 'n')",1371120.62
"('mi', ('ci', 'mk'))",1306635.87
"(('mi', ('ci', 'mk')), 'n')",1371120.62
"('mk', ('ci', 'n'))",917053.08
"(('mk', ('ci', 'n')), 'mi')",1253058.46
"('mk', 'mi')",502112.58
"('n', 'ci')",1002228.03
"(('n', 'ci'), ('mk', 'mi'))",1656229.98
"('mk', 'mi')",502112.58
"(('mk', 'mi'), 'ci')",1401179.6
"('n', (('mk', 'mi'), 'ci'))",2776838.84
"('mk', 'ci')",1023150.06
"('n', ('mk', 'ci'))",2156853.84
"(('n', ('mk', 'ci')), 'mi')",2968382.61
"('mk', 'mi')",502112.58
"('n', 'ci')",1002228.03
"(('n', 'ci'), ('mk', 'mi'))",1656229.98
"('mk', 'mi')",502112.58
"(('mk', 'mi'), 'ci')",1401179.6
"('n', (('mk', 'mi'), 'ci'))",2776838.84
"('mi', 'mk')",609135.38
"(('mi', 'mk'), 'ci')",1490339.03
"('n', (('mi', 'mk'), 'ci'))",2865998.27
"(('mk', 'ci'), 'n')",982344.68
"((('mk', 'ci'), 'n'), 'mi')",1459329.85
"('n', ('mk', 'ci'))",2156853.84
"(('n', ('mk', 'ci')), 'mi')",2968382.61
"('mk', 'mi')",502112.58
"(('mk', 'mi'), 'ci')",1401179.6
"('n', (('mk', 'mi'), 'ci'))",2776838.84
"(('mi', 'mk'), 'ci')",1490339.03
"('n', (('mi', 'mk'), 'ci'))",2865998.27
"('n', 'ci')",1002228.03
"(('n', 'ci'), ('mi', 'mk'))",1763073.84
"('mk', 'ci')",1023150.06
"('n', ('mk', 'ci'))",2156853.84
"(('n', ('mk', 'ci')), 'mi')",2968382.61
"('mi', 'mk')",609135.38
"('ci', 'n')",664365.57
"(('mi', 'mk'), ('ci', 'n'))",1299128.12
"('n', ('mk', 'ci'))",2156853.84
"(('n', ('mk', 'ci')), 'mi')",2968382.61
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), 'n')",982344.68
"((('mk', 'ci'), 'n'), 'mi')",1459329.85
"('n', ('mi', 'ci'))",1015008.88
"(('n', ('mi', 'ci')), 'mk')",1156393.7
"('mk', 'mi')",502112.58
"('n', 'ci')",1002228.03
"(('n', 'ci'), ('mk', 'mi'))",1656229.98
"('n', 'ci')",1002228.03
"(('n', 'ci'), 'mi')",1428405.88
"((('n', 'ci'), 'mi'), 'mk')",1555897.3
"(('mk', 'mi'), 'ci')",1401179.6
"('n', (('mk', 'mi'), 'ci'))",2776838.84
"(('mk', 'ci'), 'mi')",1354603.48
"('n', (('mk', 'ci'), 'mi'))",1722021.78
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), 'mi')",1354603.48
"((('mk', 'ci'), 'mi'), 'n')",1560041.44
"(('mk', 'ci'), 'n')",982344.68
"((('mk', 'ci'), 'n'), 'mi')",1459329.85
"('ci', 'n')",664365.57
