order,costs
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"((('mk', 'cc'), 'k'), 'mi_idx')",112286.96
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"('mi_idx', (('mk', 'cc'), 'k'))",127945.34
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"((('mk', 'cc'), 'k'), 'mi_idx')",112286.96
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"((('mk', 'cc'), 'k'), 'mi_idx')",112286.96
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"('mi_idx', (('mk', 'cc'), 'k'))",127945.34
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",112217.04
"('mi_idx', (('mk', 'cc'), 'k'))",127945.34
"('mi_idx', ('mk', 'cc'))",321479.97
"('k', ('mi_idx', ('mk', 'cc')))",425502.07
"('mi_idx', 'mk')",187397.63
"(('mi_idx', 'mk'), 'cc')",238239.63
"('k', (('mi_idx', 'mk'), 'cc'))",342261.73
"('mi_idx', 'cc')",29353.64
"('mk', ('mi_idx', 'cc'))",143289.65
"(('mk', ('mi_idx', 'cc')), 'k')",84695.78
"('mi_idx', 'cc')",29353.64
"('mk', 'k')",52332.31
"(('mi_idx', 'cc'), ('mk', 'k'))",74920.48
"('mi_idx', 'cc')",29353.64
"(('mi_idx', 'cc'), 'mk')",171292.72
"((('mi_idx', 'cc'), 'mk'), 'k')",88528.93
"('mi_idx', 'cc')",29353.64
"('mk', 'k')",52332.31
"(('mk', 'k'), ('mi_idx', 'cc'))",75073.0
"('mi_idx', 'cc')",29353.64
"('mk', 'k')",52332.31
"(('mk', 'k'), ('mi_idx', 'cc'))",75073.0
"('mi_idx', 'cc')",29353.64
"(('mi_idx', 'cc'), 'mk')",171292.72
"((('mi_idx', 'cc'), 'mk'), 'k')",88528.93
"('mi_idx', 'mk')",187397.63
"(('mi_idx', 'mk'), 'cc')",238239.63
"('k', (('mi_idx', 'mk'), 'cc'))",342261.73
"('mi_idx', 'mk')",187397.63
"(('mi_idx', 'mk'), 'cc')",238239.63
