order,costs
"('t', 'kt')",72314.04
"('mk', ('t', 'kt'))",160964.11
"(('mk', ('t', 'kt')), 'k')",129244.62
"('t', 'mk')",259950.64
"('k', ('t', 'mk'))",375852.1
"(('k', ('t', 'mk')), 'kt')",375853.97
"('k', 'mk')",13633.72
"('t', 'kt')",72314.04
"(('k', 'mk'), ('t', 'kt'))",94929.23
"('k', 'mk')",13633.72
"('t', 'kt')",72314.04
"(('t', 'kt'), ('k', 'mk'))",67345.56
"('mk', 'k')",52332.31
"(('mk', 'k'), 't')",52385.24
"((('mk', 'k'), 't'), 'kt')",52370.96
"('t', 'kt')",72314.04
"('k', 'mk')",13633.72
"(('k', 'mk'), ('t', 'kt'))",94929.23
"('t', 'kt')",72314.04
"('k', 'mk')",13633.72
"(('k', 'mk'), ('t', 'kt'))",94929.23
"('mk', 't')",250918.2
"('k', ('mk', 't'))",366819.67
"('kt', ('k', ('mk', 't')))",366823.04
"('t', 'kt')",72314.04
"('k', 'mk')",13633.72
"(('t', 'kt'), ('k', 'mk'))",67345.56
"('t', 'kt')",72314.04
"('k', 'mk')",13633.72
"(('k', 'mk'), ('t', 'kt'))",94929.23
"('kt', 't')",49358.29
"(('k', 'mk'), ('kt', 't'))",71973.48
"('t', ('mk', 'k'))",105165.96
"('kt', ('t', ('mk', 'k')))",105169.33
"('kt', 't')",49358.29
"('mk', ('kt', 't'))",164729.21
"(('mk', ('kt', 't')), 'k')",133009.72
"('kt', 't')",49358.29
"('mk', ('kt', 't'))",164729.21
"('k', ('mk', ('kt', 't')))",185249.93
"(('t', 'kt'), 'mk')",221628.52
"((('t', 'kt'), 'mk'), 'k')",189909.03
"('kt', ('t', 'mk'))",290687.86
"(('kt', ('t', 'mk')), 'k')",294630.68
"(('t', 'mk'), 'k')",231917.36
"((('t', 'mk'), 'k'), 'kt')",231903.08
"(('k', ('mk', 't')), 'kt')",366821.54
"(('k', ('mk', 't')), 'kt')",366821.54
"(('k', ('mk', 't')), 'kt')",366821.54
"(('k', ('mk', 't')), 'kt')",366821.54
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"(('t', 'kt'), ('mk', 'k'))",104496.69
"(('t', 'kt'), ('mk', 'k'))",104496.69
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"(('t', 'kt'), ('mk', 'k'))",104496.69
"('kt', ('mk', 't'))",281655.43
"('k', ('kt', ('mk', 't')))",302176.15
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"('k', ('kt', ('mk', 't')))",302176.15
"(('t', 'kt'), ('mk', 'k'))",104496.69
"(('t', 'kt'), ('mk', 'k'))",104496.69
"('t', ('mk', 'k'))",105165.96
"('kt', ('t', ('mk', 'k')))",105169.33
"(('t', 'kt'), 'mk')",221628.52
"((('t', 'kt'), 'mk'), 'k')",189909.03
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"(('t', 'kt'), ('mk', 'k'))",104496.69
"(('t', 'kt'), 'mk')",221628.52
"('k', (('t', 'kt'), 'mk'))",242149.24
"('kt', 't')",49358.29
"(('mk', 'k'), ('kt', 't'))",110638.09
"('kt', 't')",49358.29
"(('mk', 'k'), ('kt', 't'))",110638.09
"('kt', 't')",49358.29
"(('mk', 'k'), ('kt', 't'))",110638.09
"('kt', ('mk', 't'))",281655.43
"(('kt', ('mk', 't')), 'k')",285598.24
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"(('t', 'kt'), ('mk', 'k'))",104496.69
"(('t', 'kt'), 'mk')",221628.52
"((('t', 'kt'), 'mk'), 'k')",189909.03
"(('t', 'kt'), ('mk', 'k'))",104496.69
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
"('kt', 't')",49358.29
"(('kt', 't'), 'mk')",394084.28
"((('kt', 't'), 'mk'), 'k')",398027.1
