order,costs
"('mi_idx', 't')",85696.64
"('ci', 'mk')",4183950.12
"(('mi_idx', 't'), ('ci', 'mk'))",4919187.62
"('ci', 'mk')",4183950.12
"('mi_idx', 't')",85696.64
"(('mi_idx', 't'), ('ci', 'mk'))",4919187.62
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 't')",5283936.05
"((('ci', 'mk'), 't'), 'mi_idx')",3338441.19
"('ci', 'mk')",4183950.12
"('mi_idx', 't')",85696.64
"(('ci', 'mk'), ('mi_idx', 't'))",3628766.21
"('t', 'mi_idx')",69421.59
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), ('t', 'mi_idx'))",3024224.97
"('mk', 'mi_idx')",122104.24
"('ci', ('mk', 'mi_idx'))",2242671.22
"(('ci', ('mk', 'mi_idx')), 't')",2472019.93
"('mk', 'mi_idx')",122104.24
"('ci', ('mk', 'mi_idx'))",2242671.22
"(('ci', ('mk', 'mi_idx')), 't')",2472019.93
"('mk', 'mi_idx')",122104.24
"('ci', ('mk', 'mi_idx'))",2242671.22
"(('ci', ('mk', 'mi_idx')), 't')",2472019.93
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('mk', 't')",235929.91
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), ('mk', 't'))",970603.16
"('ci', 't')",1458224.27
"(('ci', 't'), ('mk', 'mi_idx'))",1577147.76
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 't')",5204636.4
"('mi_idx', (('mk', 'ci'), 't'))",4854269.37
"('mk', 'ci')",3553063.88
"('t', ('mk', 'ci'))",5584210.44
"('mi_idx', ('t', ('mk', 'ci')))",5756976.64
"('mi_idx', 'mk')",156124.42
"('ci', ('mi_idx', 'mk'))",2240085.62
"(('ci', ('mi_idx', 'mk')), 't')",2243207.11
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"(('ci', 'mk'), 'mi_idx')",4700020.45
"((('ci', 'mk'), 'mi_idx'), 't')",3785508.63
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('mk', 'ci')",3553063.88
"(('mi_idx', 't'), ('mk', 'ci'))",3552043.69
"('ci', 't')",1458224.27
"(('ci', 't'), ('mk', 'mi_idx'))",1577147.76
"('t', 'ci')",1997278.6
"(('mk', 'mi_idx'), ('t', 'ci'))",1672433.33
"('t', 'ci')",1997278.6
"('mk', ('t', 'ci'))",2562484.05
"('mi_idx', ('mk', ('t', 'ci')))",2337890.92
"('mk', 't')",235929.91
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), ('mk', 't'))",970603.16
"('t', 'ci')",1997278.6
"('mi_idx', 'mk')",156124.42
"(('t', 'ci'), ('mi_idx', 'mk'))",1415869.57
"('t', 'ci')",1997278.6
"(('mk', 'mi_idx'), ('t', 'ci'))",1672433.33
"('mk', 't')",235929.91
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), ('mk', 't'))",970603.16
"(('mk', 'ci'), 't')",5204636.4
"((('mk', 'ci'), 't'), 'mi_idx')",2932757.35
"(('mk', 'mi_idx'), 'ci')",1008496.95
"((('mk', 'mi_idx'), 'ci'), 't')",1273309.0
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"(('mk', 'mi_idx'), 'ci')",1008496.95
"('t', (('mk', 'mi_idx'), 'ci'))",1336617.84
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"(('mk', 'mi_idx'), 'ci')",1008496.95
"('t', (('mk', 'mi_idx'), 'ci'))",1336617.84
"(('mk', 'mi_idx'), 'ci')",1008496.95
"('t', (('mk', 'mi_idx'), 'ci'))",1336617.84
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"(('mk', 'mi_idx'), 'ci')",1008496.95
"('t', (('mk', 'mi_idx'), 'ci'))",1336617.84
"(('mk', 'mi_idx'), 'ci')",1008496.95
"('t', (('mk', 'mi_idx'), 'ci'))",1336617.84
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('ci', 't')",1458224.27
"(('ci', 't'), 'mi_idx')",846283.65
"('mk', (('ci', 't'), 'mi_idx'))",1002194.75
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('t', ('ci', 'mk'))",5663510.09
"(('t', ('ci', 'mk')), 'mi_idx')",5396785.84
"(('t', 'ci'), 'mi_idx')",1024393.59
"((('t', 'ci'), 'mi_idx'), 'mk')",1210391.47
"(('t', 'mi_idx'), 'ci')",119489.36
"((('t', 'mi_idx'), 'ci'), 'mk')",306549.0
"('mi_idx', ('mk', 't'))",206803.79
"(('mi_idx', ('mk', 't')), 'ci')",581422.9
"(('t', 'ci'), 'mi_idx')",1024393.59
"((('t', 'ci'), 'mi_idx'), 'mk')",1210391.47
"('mi_idx', ('mk', 't'))",206803.79
"(('mi_idx', ('mk', 't')), 'ci')",581422.9
"(('t', 'ci'), 'mi_idx')",1024393.59
"((('t', 'ci'), 'mi_idx'), 'mk')",1210391.47
"(('mk', 'mi_idx'), 't')",162010.45
"((('mk', 'mi_idx'), 't'), 'ci')",536629.56
"('mi_idx', 'ci')",694770.2
"(('mi_idx', 'ci'), 't')",680025.68
"('mk', (('mi_idx', 'ci'), 't'))",875980.3
"('mi_idx', ('ci', 'mk'))",5167639.59
"('t', ('mi_idx', ('ci', 'mk')))",5344474.32
"('ci', 't')",1458224.27
"('mi_idx', ('ci', 't'))",1188964.09
"('mk', ('mi_idx', ('ci', 't')))",1378464.31
"('mi_idx', ('ci', 'mk'))",5167639.59
"(('mi_idx', ('ci', 'mk')), 't')",5326085.04
"('mi_idx', ('ci', 'mk'))",5167639.59
"('t', ('mi_idx', ('ci', 'mk')))",5344474.32
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), 'mk')",1739810.96
"((('ci', 'mi_idx'), 'mk'), 't')",1470500.21
"('mk', 't')",235929.91
"(('mk', 't'), 'mi_idx')",156735.36
"((('mk', 't'), 'mi_idx'), 'ci')",221281.01
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('mi_idx', ('ci', 'mk'))",5167639.59
"(('mi_idx', ('ci', 'mk')), 't')",5326085.04
"('ci', 't')",1458224.27
"(('ci', 't'), 'mk')",2587610.99
"('mi_idx', (('ci', 't'), 'mk'))",2735788.74
"('mi_idx', ('ci', 'mk'))",5167639.59
"('t', ('mi_idx', ('ci', 'mk')))",5344474.32
"('mi_idx', ('ci', 'mk'))",5167639.59
"(('mi_idx', ('ci', 'mk')), 't')",5326085.04
"(('ci', 't'), 'mk')",2587610.99
"((('ci', 't'), 'mk'), 'mi_idx')",2101584.5
"('mi_idx', 'mk')",156124.42
"(('t', 'ci'), ('mi_idx', 'mk'))",1415869.57
"('mi_idx', 'ci')",694770.2
"('mk', 't')",235929.91
"(('mi_idx', 'ci'), ('mk', 't'))",1018313.39
"('ci', 'mi_idx')",656096.07
"(('ci', 'mi_idx'), 't')",641351.55
"((('ci', 'mi_idx'), 't'), 'mk')",962398.42
"('mi_idx', ('ci', 'mk'))",5167639.59
"('t', ('mi_idx', ('ci', 'mk')))",5344474.32
"('mk', ('ci', 'mi_idx'))",939565.32
"('t', ('mk', ('ci', 'mi_idx')))",1531879.62
"('mi_idx', 'ci')",694770.2
"('mk', 't')",235929.91
"(('mi_idx', 'ci'), ('mk', 't'))",1018313.39
"('mi_idx', 'ci')",694770.2
"('mk', 't')",235929.91
"(('mk', 't'), ('mi_idx', 'ci'))",767482.36
"(('mk', 'mi_idx'), ('t', 'ci'))",1672433.33
"('mi_idx', 'mk')",156124.42
"(('mi_idx', 'mk'), ('ci', 't'))",1947976.36
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'mi_idx')",3332876.32
"('t', (('mk', 'ci'), 'mi_idx'))",2908975.66
"('mi_idx', 'mk')",156124.42
"(('ci', 't'), ('mi_idx', 'mk'))",1611167.84
"('mk', ('mi_idx', 't'))",155994.34
"(('mk', ('mi_idx', 't')), 'ci')",530613.44
"('ci', 't')",1458224.27
"(('ci', 't'), 'mk')",2587610.99
"('mi_idx', (('ci', 't'), 'mk'))",2735788.74
"('ci', 't')",1458224.27
"(('ci', 't'), 'mk')",2587610.99
"((('ci', 't'), 'mk'), 'mi_idx')",2101584.5
"('t', 'ci')",1997278.6
"(('t', 'ci'), ('mk', 'mi_idx'))",1418455.59
"('mi_idx', 'ci')",694770.2
"('mk', ('mi_idx', 'ci'))",974123.78
"(('mk', ('mi_idx', 'ci')), 't')",1203472.51
"('ci', 't')",1458224.27
"('mi_idx', 'mk')",156124.42
"(('mi_idx', 'mk'), ('ci', 't'))",1947976.36
"('mi_idx', 'mk')",156124.42
"(('mi_idx', 'mk'), 'ci')",1042517.12
"((('mi_idx', 'mk'), 'ci'), 't')",1288443.4
"('mi_idx', 'mk')",156124.42
"(('mi_idx', 'mk'), 'ci')",1042517.12
"('t', (('mi_idx', 'mk'), 'ci'))",1334031.92
"('t', ('ci', 'mk'))",5663510.09
"(('t', ('ci', 'mk')), 'mi_idx')",5396785.84
"('ci', 't')",1458224.27
"(('ci', 't'), ('mk', 'mi_idx'))",1577147.76
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 'mi_idx')",3332876.32
"('t', (('mk', 'ci'), 'mi_idx'))",2908975.66
"('mi_idx', 'ci')",694770.2
"('mk', ('mi_idx', 'ci'))",974123.78
"('t', ('mk', ('mi_idx', 'ci')))",1249061.03
"('mi_idx', 'mk')",156124.42
"(('mi_idx', 'mk'), 'ci')",1042517.12
"('t', (('mi_idx', 'mk'), 'ci'))",1334031.92
"(('mi_idx', 't'), 'mk')",102998.43
"((('mi_idx', 't'), 'mk'), 'ci')",167544.07
"('mi_idx', 'ci')",694770.2
"('mk', ('mi_idx', 'ci'))",974123.78
"(('mk', ('mi_idx', 'ci')), 't')",1203472.51
"('mi_idx', 'ci')",694770.2
"('mk', ('mi_idx', 'ci'))",974123.78
"('t', ('mk', ('mi_idx', 'ci')))",1249061.03
"('ci', 'mi_idx')",656096.07
"('t', 'mk')",252638.98
