order,costs
"('cc', 'mc')",88898.04
"(('cc', 'mc'), 'cct1')",90786.98
"('cn', (('cc', 'mc'), 'cct1'))",128708.65
"('mc', 'cc')",79831.07
"('cct1', ('mc', 'cc'))",98003.05
"(('cct1', ('mc', 'cc')), 'cn')",106302.8
"('cct1', 'cc')",5988.01
"(('cct1', 'cc'), 'mc')",90895.8
"('cn', (('cct1', 'cc'), 'mc'))",128817.47
"('mc', 'cn')",56107.5
"('cc', ('mc', 'cn'))",75108.3
"(('cc', ('mc', 'cn')), 'cct1')",75552.16
"('cct1', ('cc', 'mc'))",107070.03
"(('cct1', ('cc', 'mc')), 'cn')",115369.77
"('cc', 'mc')",88898.04
"('cct1', ('cc', 'mc'))",107070.03
"(('cct1', ('cc', 'mc')), 'cn')",115369.77
"('cn', 'mc')",126215.17
"(('cct1', 'cc'), ('cn', 'mc'))",148058.32
"('cn', ('mc', 'cc'))",141193.79
"(('cn', ('mc', 'cc')), 'cct1')",141637.66
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"('cn', ('cct1', ('cc', 'mc')))",144991.7
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"('cc', 'cct1')",2818.25
"('mc', ('cc', 'cct1'))",54539.8
"('cn', ('mc', ('cc', 'cct1')))",92461.47
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"('cc', ('cn', 'mc'))",145215.97
"('cct1', ('cc', ('cn', 'mc')))",151078.83
"('cc', 'cct1')",2818.25
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"('cc', ('cn', 'mc'))",145215.97
"('cct1', ('cc', ('cn', 'mc')))",151078.83
"('cn', ('mc', 'cc'))",141193.79
"('cct1', ('cn', ('mc', 'cc')))",147056.66
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cct1', 'cc'))",134579.68
"(('cc', 'mc'), 'cn')",97656.11
"('cct1', (('cc', 'mc'), 'cn'))",102422.25
"('cn', ('cc', 'mc'))",150260.77
"(('cn', ('cc', 'mc')), 'cct1')",150704.63
"((('cct1', 'cc'), 'mc'), 'cn')",99195.55
"('cc', ('cn', 'mc'))",145215.97
"('cct1', ('cc', ('cn', 'mc')))",151078.83
"(('cc', 'cct1'), ('cn', 'mc'))",144888.56
"('cn', 'mc')",126215.17
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"('cn', 'mc')",126215.17
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('cn', 'mc'))",144888.56
"('cn', 'mc')",126215.17
"('cc', 'cct1')",2818.25
"(('cn', 'mc'), ('cc', 'cct1'))",131409.92
"(('mc', 'cn'), 'cc')",56592.52
"((('mc', 'cn'), 'cc'), 'cct1')",52682.99
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cn')",59155.23
"(('mc', 'cc'), 'cct1')",66464.7
"((('mc', 'cc'), 'cct1'), 'cn')",59155.23
"('cn', 'mc')",126215.17
"('cc', 'cct1')",2818.25
"(('cc', 'cct1'), ('cn', 'mc'))",144888.56
"('cn', 'mc')",126215.17
