order,costs
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 'k')",51966.45
"('t', ('mk', 'k'))",101301.95
"('mi', ('t', ('mk', 'k')))",358191.9
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 't')",106833.06
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('t', 'mi')",190069.04
"(('t', 'mi'), 'mk')",192729.79
"('k', (('t', 'mi'), 'mk'))",195463.49
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 't')",106833.06
"(('mk', 't'), 'mi')",180750.41
"('k', (('mk', 't'), 'mi'))",183484.13
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"('k', ('t', ('mk', 'mi')))",534311.97
"('mk', 't')",106833.06
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('t', 'mi')",190069.04
"(('t', 'mi'), 'mk')",192729.79
"('mk', 't')",106833.06
"('k', (('t', 'mi'), 'mk'))",195463.49
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('mk', 't')",106833.06
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('mk', 't')",106833.06
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('mk', 'mi')",455169.52
"(('mk', 'mi'), 't')",518422.89
"('k', (('mk', 'mi'), 't'))",521779.52
"(('mk', 'mi'), 'k')",465777.02
"((('mk', 'mi'), 'k'), 't')",465787.76
"('mi', ('mk', 't'))",361468.54
"('k', ('mi', ('mk', 't')))",364825.16
"('mi', 't')",307552.62
"(('mi', 't'), ('mk', 'k'))",360626.87
"('mi', ('mk', 't'))",361468.54
"('k', ('mi', ('mk', 't')))",364825.16
"(('mk', 'mi'), 'k')",465777.02
"((('mk', 'mi'), 'k'), 't')",465787.76
"(('mk', 'mi'), 'k')",465777.02
"((('mk', 'mi'), 'k'), 't')",465787.76
"('mi', ('mk', 't'))",361468.54
"('k', ('mi', ('mk', 't')))",364825.16
"('t', 'mi')",190069.04
"('mk', ('t', 'mi'))",240656.96
"('k', ('mk', ('t', 'mi')))",243390.67
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('t', 'mi')",190069.04
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('t', 'mi')",190069.04
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('t', 'mi')",190069.04
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('mk', 't')",106833.06
"('mi', ('mk', 't'))",361468.54
"('k', ('mi', ('mk', 't')))",364825.16
"('k', ('mk', 'mi'))",495579.02
"(('k', ('mk', 'mi')), 't')",495590.25
"('t', 'mi')",190069.04
"('mk', ('t', 'mi'))",240656.96
"('k', ('mk', ('t', 'mi')))",243390.67
"('t', 'mi')",190069.04
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('k', ('mk', 'mi'))",495579.02
"(('k', ('mk', 'mi')), 't')",495590.25
"('k', ('mk', 'mi'))",495579.02
"(('k', ('mk', 'mi')), 't')",495590.25
"(('t', 'mi'), 'mk')",192729.79
"('k', (('t', 'mi'), 'mk'))",195463.49
"('t', 'mk')",137151.07
"(('t', 'mk'), 'mi')",211068.42
"((('t', 'mk'), 'mi'), 'k')",211394.8
"('mi', ('mk', 't'))",361468.54
"('k', ('mi', ('mk', 't')))",364825.16
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'mi'))",243148.64
"('k', ('mk', 't'))",110524.76
"(('k', ('mk', 't')), 'mi')",110527.19
"('k', ('mk', 't'))",110524.76
"(('k', ('mk', 't')), 'mi')",110527.19
"('mk', 't')",106833.06
"('k', ('mk', 't'))",110524.76
"(('k', ('mk', 't')), 'mi')",110527.19
"('k', ('mk', 't'))",110524.76
"(('k', ('mk', 't')), 'mi')",110527.19
"(('mk', 't'), 'k')",101553.77
"('mi', (('mk', 't'), 'k'))",358443.72
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"('mi', 't')",307552.62
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mi', 't'))",312468.33
"(('mk', 'mi'), 't')",518422.89
"('k', (('mk', 'mi'), 't'))",521779.52
"('mi', 't')",307552.62
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mi', 't'))",360632.22
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"('mi', 't')",307552.62
"('mk', 'k')",51966.45
"(('mk', 'k'), ('mi', 't'))",360632.22
"('mk', 'k')",51966.45
"(('mk', 'k'), 'mi')",51999.36
"('t', (('mk', 'k'), 'mi'))",101335.9
"('k', 'mk')",3802.56
"('mi', ('k', 'mk'))",261695.2
"('t', ('mi', ('k', 'mk')))",311031.84
"('k', 'mk')",3802.56
"(('k', 'mk'), 'mi')",3885.15
"('t', (('k', 'mk'), 'mi'))",54224.16
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mk', 'mi')",455169.52
"(('mk', 'mi'), 'k')",465777.02
"('t', (('mk', 'mi'), 'k'))",520714.76
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"('mi', 't')",307552.62
"((('mi', 't'), 'mk'), 'k')",310539.41
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"('t', 'mk')",137151.07
"(('t', 'mk'), 'mi')",211068.42
"((('t', 'mk'), 'mi'), 'k')",211394.8
"('t', 'mi')",190069.04
"('k', 'mk')",3802.56
"(('t', 'mi'), ('k', 'mk'))",194979.41
"('mk', 'mi')",455169.52
"('t', ('mk', 'mi'))",531578.25
"(('t', ('mk', 'mi')), 'k')",533293.75
"('mi', 'mk')",574865.55
"('k', ('mi', 'mk'))",615275.05
"('t', ('k', ('mi', 'mk')))",670212.8
"('mi', 'mk')",574865.55
"(('mi', 'mk'), 'k')",383611.87
"('t', (('mi', 'mk'), 'k'))",432948.51
"('mi', 't')",307552.62
"(('mi', 't'), 'mk')",310213.37
"((('mi', 't'), 'mk'), 'k')",310539.41
"(('mk', 'k'), 't')",51969.98
"((('mk', 'k'), 't'), 'mi')",51972.41
"('mk', 'k')",51966.45
"(('mk', 'k'), 't')",51969.98
"((('mk', 'k'), 't'), 'mi')",51972.41
"('t', 'mi')",190069.04
"(('t', 'mi'), 'mk')",192729.79
"((('t', 'mi'), 'mk'), 'k')",193055.84
"('mk', 'mi')",455169.52
