order,costs
"('k', 'mk')",3802.56
"(('k', 'mk'), 'cc')",3818.75
"('k', 'mk')",3802.56
"(('k', 'mk'), 'cc')",3818.75
"('k', 'mk')",3802.56
"(('k', 'mk'), 'cc')",3818.75
"('k', 'mk')",3802.56
"(('k', 'mk'), 'cc')",3818.75
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mi', 'mk')",968159.7
"('k', ('mi', 'mk'))",1254895.0
"('cc', ('k', ('mi', 'mk')))",1257999.43
"('mi', 'mk')",968159.7
"('k', ('mi', 'mk'))",1254895.0
"('cc', ('k', ('mi', 'mk')))",1257999.43
"('mi', 'mk')",968159.7
"('k', ('mi', 'mk'))",1254895.0
"('cc', ('k', ('mi', 'mk')))",1257999.43
"('mi', 'mk')",968159.7
"('k', ('mi', 'mk'))",1254895.0
"('cc', ('k', ('mi', 'mk')))",1257999.43
"('mi', 'mk')",968159.7
"('k', ('mi', 'mk'))",1254895.0
"('cc', ('k', ('mi', 'mk')))",1257999.43
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mi', 'cc')",345113.08
"(('mi', 'cc'), 'mk')",776936.47
"('k', (('mi', 'cc'), 'mk'))",989382.88
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('mi', (('mk', 'cc'), 'k'))",369994.61
"('mk', 'cc')",202242.54
"('mi', ('mk', 'cc'))",1192486.66
"('k', ('mi', ('mk', 'cc')))",1575846.02
"('mi', 'cc')",345113.08
"('mk', 'k')",51966.45
"(('mi', 'cc'), ('mk', 'k'))",329294.46
"('mi', 'cc')",345113.08
"('mi', 'cc')",345113.08
"('mk', 'k')",51966.45
"(('mi', 'cc'), 'mk')",776936.47
"(('mi', 'cc'), ('mk', 'k'))",329294.46
"('k', (('mi', 'cc'), 'mk'))",989382.88
"('mi', 'cc')",345113.08
"('mk', 'k')",51966.45
"(('mi', 'cc'), ('mk', 'k'))",329294.46
"('mi', 'cc')",345113.08
"(('mi', 'cc'), 'mk')",776936.47
"('k', (('mi', 'cc'), 'mk'))",989382.88
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi')",1205345.47
"((('mk', 'cc'), 'mi'), 'k')",903755.19
"(('mk', 'cc'), 'mi')",1205345.47
"((('mk', 'cc'), 'mi'), 'k')",903755.19
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi')",1205345.47
"((('mk', 'cc'), 'mi'), 'k')",903755.19
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'mi')",1205345.47
"((('mk', 'cc'), 'mi'), 'k')",903755.19
"('mk', 'cc')",202242.54
