order,costs
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"('mc', ('cct2', ('cct1', 'cc')))",41939.29
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"(('cct2', ('cct1', 'cc')), 'mc')",36522.91
"('cc', 'mc')",58438.02
"('cct1', ('cc', 'mc'))",58902.06
"('cct2', ('cct1', ('cc', 'mc')))",59342.96
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct1', ('cc', 'mc'))",58902.06
"('cct2', ('cct1', ('cc', 'mc')))",59342.96
"('cct1', 'cc')",3776.49
"('cct2', ('cct1', 'cc'))",4556.64
"(('cct2', ('cct1', 'cc')), 'mc')",36522.91
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"('cct1', ('cct2', ('cc', 'mc')))",59641.83
"('cc', 'mc')",58438.02
"('cc', 'cct2')",2818.26
"('cct2', ('cc', 'mc'))",59293.54
"('cct1', ('cc', 'cct2'))",4085.74
"('cct1', ('cct2', ('cc', 'mc')))",59641.83
"(('cct1', ('cc', 'cct2')), 'mc')",36053.28
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"('cct1', ('cct2', ('cc', 'mc')))",59641.83
"('cc', 'cct2')",2818.26
"('cct1', ('cc', 'cct2'))",4085.74
"(('cct1', ('cc', 'cct2')), 'mc')",36053.28
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"('cct1', ('cct2', ('cc', 'mc')))",59641.83
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'mc')",58438.02
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"('cct1', ('mc', ('cc', 'cct2')))",43669.23
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"('cct2', ('cct1', ('mc', 'cc')))",47153.73
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"('cct2', ('cct1', ('mc', 'cc')))",47153.73
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('mc', 'cc')",46248.79
"(('mc', 'cc'), 'cct1')",43555.39
"((('mc', 'cc'), 'cct1'), 'cct2')",43345.82
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"(('cct2', ('mc', 'cc')), 'cct1')",47255.55
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"('cct1', ('cct2', ('mc', 'cc')))",47452.6
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'cct2')",3960.15
"('mc', (('cct1', 'cc'), 'cct2'))",41342.81
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'cct2')",3960.15
"((('cct1', 'cc'), 'cct2'), 'mc')",35927.69
"('mc', 'cc')",46248.79
"('cct1', ('mc', 'cc'))",46712.83
"(('cct1', ('mc', 'cc')), 'cct2')",46763.98
"('mc', 'cc')",46248.79
"(('mc', 'cc'), 'cct1')",43555.39
"('cct2', (('mc', 'cc'), 'cct1'))",43996.29
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'cct2')",3960.15
"((('cct1', 'cc'), 'cct2'), 'mc')",35927.69
"(('cct1', 'cc'), 'cct2')",3960.15
"('mc', (('cct1', 'cc'), 'cct2'))",41342.81
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"('mc', (('cct2', 'cc'), 'cct1'))",44457.68
"('cc', 'mc')",58438.02
"(('cc', 'mc'), 'cct1')",58639.33
"('cct2', (('cc', 'mc'), 'cct1'))",59080.23
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"((('cct2', 'cc'), 'cct1'), 'mc')",39041.31
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"((('cct2', 'cc'), 'cct1'), 'mc')",39041.31
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"('mc', (('cct2', 'cc'), 'cct1'))",44457.68
"('mc', 'cc')",46248.79
"('cct2', ('mc', 'cc'))",47104.31
"(('cct2', ('mc', 'cc')), 'cct1')",47255.55
"('cct2', 'cc')",6526.24
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mc')",39761.26
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"((('cct2', 'cc'), 'cct1'), 'mc')",39041.31
"('cct1', ('cct2', ('cc', 'mc')))",59641.83
"(('cct2', ('cct1', 'cc')), 'mc')",36522.91
"(('cc', 'mc'), 'cct2')",58639.35
"((('cc', 'mc'), 'cct2'), 'cct1')",58790.6
"('cc', 'mc')",58438.02
"('cct1', ('cc', 'mc'))",58902.06
"(('cct1', ('cc', 'mc')), 'cct2')",58953.21
"('cc', 'cct1')",2818.24
"(('cc', 'cct1'), 'cct2')",3001.9
"('cct2', ('cct1', 'cc'))",4556.64
"(('cct2', ('cct1', 'cc')), 'mc')",36522.91
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), 'cct1')",7075.03
"((('cct2', 'cc'), 'cct1'), 'mc')",39041.31
"(('cct1', 'cc'), 'mc')",46399.87
"((('cct1', 'cc'), 'mc'), 'cct2')",46765.54
"(('mc', 'cc'), 'cct1')",43555.39
"((('mc', 'cc'), 'cct1'), 'cct2')",43345.82
"('cct2', ('mc', 'cc'))",47104.31
"(('cct2', ('mc', 'cc')), 'cct1')",47255.55
"('cct2', ('cct1', 'cc'))",4556.64
"(('cct2', ('cct1', 'cc')), 'mc')",36522.91
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'mc')",46399.87
"((('cct1', 'cc'), 'mc'), 'cct2')",46765.54
"(('cc', 'mc'), 'cct2')",58639.35
"((('cc', 'mc'), 'cct2'), 'cct1')",58790.6
"(('cct1', 'cc'), 'mc')",46399.87
"((('cct1', 'cc'), 'mc'), 'cct2')",46765.54
"(('cct1', 'cc'), 'mc')",46399.87
"((('cct1', 'cc'), 'mc'), 'cct2')",46765.54
"('cct1', ('mc', 'cc'))",46712.83
"('cct2', ('cct1', ('mc', 'cc')))",47153.73
"('mc', ('cct1', 'cc'))",41505.82
"(('mc', ('cct1', 'cc')), 'cct2')",41296.26
"(('cct2', 'cc'), 'mc')",62555.3
"((('cct2', 'cc'), 'mc'), 'cct1')",62706.55
"('mc', ('cct1', 'cc'))",41505.82
"(('mc', ('cct1', 'cc')), 'cct2')",41296.26
"('cc', 'cct2')",2818.26
"('mc', ('cc', 'cct2'))",43320.95
"(('mc', ('cc', 'cct2')), 'cct1')",41301.19
"('cct2', ('cc', 'mc'))",59293.54
"(('cct2', ('cc', 'mc')), 'cct1')",59444.78
"('mc', 'cc')",46248.79
"(('mc', 'cc'), 'cct2')",45407.31
"((('mc', 'cc'), 'cct2'), 'cct1')",43387.55
"(('cc', 'cct2'), 'mc')",58847.32
"((('cc', 'cct2'), 'mc'), 'cct1')",58998.56
"(('cct2', 'cc'), 'mc')",62555.3
