order,costs
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"((('mk', 'cc'), 'cct2'), 'cct1')",240099.65
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"((('mk', 'cc'), 'cct2'), 'cct1')",240099.65
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"((('mk', 'cc'), 'cct2'), 'cct1')",240099.65
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"((('mk', 'cc'), 'cct2'), 'cct1')",240099.65
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"((('mk', 'cc'), 'cct2'), 'cct1')",240099.65
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'cct2')",235020.72
"('cct1', (('mk', 'cc'), 'cct2'))",291860.66
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct2', 'cc')",6526.24
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('cct1', ('mk', ('cct2', 'cc')))",196787.53
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('mk', 'cc')",202242.54
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('mk', 'cc')",202242.54
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('mk', 'cc'))",278028.77
"('cct2', ('cct1', ('mk', 'cc')))",389992.81
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mk')",72246.23
"(('cct2', 'cc'), 'cct1')",7075.03
"('mk', (('cct2', 'cc'), 'cct1'))",105443.17
"('cct1', ('cct2', 'cc'))",7793.72
"('mk', ('cct1', ('cct2', 'cc')))",106162.32
"(('cct2', 'cc'), 'cct1')",7075.03
"('mk', (('cct2', 'cc'), 'cct1'))",105443.17
"(('cct2', 'cc'), 'cct1')",7075.03
"('mk', (('cct2', 'cc'), 'cct1'))",105443.17
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mk')",72246.23
"('cct1', ('cct2', 'cc'))",7793.72
"(('cct1', ('cct2', 'cc')), 'mk')",72246.23
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'cct2')",3960.15
"((('cct1', 'cc'), 'cct2'), 'mk')",68412.66
"(('cct1', ('mk', 'cc')), 'cct2')",286224.26
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), 'mk')",89713.16
"((('cct1', 'cc'), 'mk'), 'cct2')",97908.65
"('cct2', ('mk', 'cc'))",614565.3
"('cct1', ('cct2', ('mk', 'cc')))",671404.96
"('cct2', ('mk', 'cc'))",614565.3
"('cct1', ('cct2', ('mk', 'cc')))",671404.96
"('cct2', ('mk', 'cc'))",614565.3
"('cct1', ('cct2', ('mk', 'cc')))",671404.96
