order,costs
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'cct2')",61182.54
"((('mi_idx', 'cc'), 'cct2'), 'mk')",225679.01
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'cct2')",61182.54
"((('mi_idx', 'cc'), 'cct2'), 'mk')",225679.01
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'cct2')",61182.54
"((('mi_idx', 'cc'), 'cct2'), 'mk')",225679.01
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi_idx')",548539.94
"((('cc', 'mk'), 'mi_idx'), 'cct2')",649517.45
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'cct2')",61182.54
"((('mi_idx', 'cc'), 'cct2'), 'mk')",225679.01
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'mk')",227119.54
"('cct2', (('mi_idx', 'cc'), 'mk'))",597008.37
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'mk')",227119.54
"('cct2', (('mi_idx', 'cc'), 'mk'))",597008.37
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'mi_idx')",548539.94
"((('cc', 'mk'), 'mi_idx'), 'cct2')",649517.45
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('cct2', 'cc')",6526.24
"('mi_idx', ('cct2', 'cc'))",41164.85
"(('mi_idx', ('cct2', 'cc')), 'mk')",225981.57
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'mk')",227119.54
"('cct2', (('mi_idx', 'cc'), 'mk'))",597008.37
"('cct2', 'cc')",6526.24
"('mi_idx', 'mk')",368233.43
"('cct2', 'cc')",6526.24
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mi_idx', 'cc')",58931.59
"(('mi_idx', 'cc'), 'mk')",227119.54
"('cct2', (('mi_idx', 'cc'), 'mk'))",597008.37
"('cct2', 'cc')",6526.24
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('cct2', 'cc')",6526.24
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('cct2', 'cc')",6526.24
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('cct2', 'cc')",6526.24
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('mi_idx', ('cc', 'mk'))",536734.42
"('cct2', ('mi_idx', ('cc', 'mk')))",906623.25
"('mi_idx', 'mk')",368233.43
"(('cct2', 'cc'), ('mi_idx', 'mk'))",596228.23
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', ('mi_idx', 'cc'))",247688.28
"('cct2', ('mk', ('mi_idx', 'cc')))",1443480.34
"('mk', ('mi_idx', 'cc'))",247688.28
"('cct2', ('mk', ('mi_idx', 'cc')))",1443480.34
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mi_idx', ('cc', 'mk'))",536734.42
"('cct2', ('mi_idx', ('cc', 'mk')))",906623.25
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('cc', 'mk')",210061.16
"('mi_idx', ('cc', 'mk'))",536734.42
"('cct2', ('mi_idx', ('cc', 'mk')))",906623.25
"('cc', 'mk')",210061.16
"('cct2', ('cc', 'mk'))",622383.92
"(('cct2', ('cc', 'mk')), 'mi_idx')",939021.1
"('cct2', 'cc')",6526.24
"('mk', 'mi_idx')",349748.28
"(('cct2', 'cc'), ('mk', 'mi_idx'))",1383474.35
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', 'mi_idx')",349748.28
"(('cct2', 'cc'), ('mk', 'mi_idx'))",1383474.35
"('cc', 'mk')",210061.16
"('mi_idx', ('cc', 'mk'))",536734.42
"('cct2', ('mi_idx', ('cc', 'mk')))",906623.25
"('cct2', 'cc')",6526.24
"('mk', ('cct2', 'cc'))",139947.6
"('mi_idx', ('mk', ('cct2', 'cc')))",466415.22
"('mk', 'mi_idx')",349748.28
"(('mk', 'mi_idx'), 'cc')",697324.83
"('cct2', (('mk', 'mi_idx'), 'cc'))",2295877.53
"(('mi_idx', 'mk'), ('cct2', 'cc'))",568371.58
