order,costs
"('mk', 'k')",51966.45
"('ci', 'cc')",485880.5
"(('ci', 'cc'), ('mk', 'k'))",526549.74
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"('ci', 'cc')",485880.5
"(('ci', 'cc'), ('mk', 'k'))",526549.74
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"('mk', 'k')",51966.45
"('ci', 'cc')",485880.5
"(('ci', 'cc'), ('mk', 'k'))",526549.74
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"('mk', 'k')",51966.45
"('cc', ('k', ('mk', 'ci')))",881207.51
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('ci', (('mk', 'k'), 'cc'))",514302.5
"('mk', 'ci')",832151.08
"(('mk', 'ci'), 'cc')",664548.4
"('k', (('mk', 'ci'), 'cc'))",672709.5
"('mk', 'ci')",832151.08
"(('mk', 'ci'), 'cc')",664548.4
"('k', (('mk', 'ci'), 'cc'))",672709.5
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('cc', ('mk', 'k'))",54560.77
"('ci', ('cc', ('mk', 'k')))",603326.3
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('mk', 'ci')",832151.08
"('cc', ('mk', 'ci'))",860513.61
"('k', ('cc', ('mk', 'ci')))",921867.87
"('ci', 'cc')",485880.5
"(('mk', 'k'), ('ci', 'cc'))",526930.91
"('ci', 'cc')",485880.5
"(('mk', 'k'), ('ci', 'cc'))",526930.91
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"((('mk', 'cc'), 'k'), 'ci')",111866.93
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"(('mk', 'ci'), 'k')",584539.97
"((('mk', 'ci'), 'k'), 'cc')",584542.95
"('mk', 'ci')",832151.08
"(('mk', 'ci'), 'k')",584539.97
"((('mk', 'ci'), 'k'), 'cc')",584542.95
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"(('cc', 'ci'), ('mk', 'k'))",633666.51
"('cc', 'ci')",581307.44
"(('mk', 'k'), ('cc', 'ci'))",636831.39
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",280712.85
"(('k', ('mk', 'cc')), 'ci')",280778.58
"('k', ('mk', 'ci'))",878613.73
"('cc', ('k', ('mk', 'ci')))",881207.51
"('mk', 'cc')",202242.54
"('ci', ('mk', 'cc'))",945083.14
"(('ci', ('mk', 'cc')), 'k')",904439.94
"('mk', 'ci')",832151.08
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"('cc', 'mk')",210061.16
"('k', ('cc', 'mk'))",288531.47
"('ci', ('k', ('cc', 'mk')))",751864.69
"('cc', 'ci')",581307.44
"(('cc', 'ci'), ('mk', 'k'))",633666.51
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"('k', (('mk', 'cc'), 'ci'))",1023586.77
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"((('mk', 'cc'), 'k'), 'ci')",111866.93
"('ci', 'mk')",1102212.41
"('k', ('ci', 'mk'))",1148675.06
"(('k', ('ci', 'mk')), 'cc')",1148687.55
"('k', 'mk')",3802.56
"(('k', 'mk'), 'cc')",3818.75
"('ci', (('k', 'mk'), 'cc'))",467151.96
"('k', 'mk')",3802.56
"('ci', ('k', 'mk'))",467137.89
"('cc', ('ci', ('k', 'mk')))",469731.68
"('ci', 'mk')",1102212.41
"(('ci', 'mk'), 'k')",758510.61
"((('ci', 'mk'), 'k'), 'cc')",758513.59
"('mk', ('ci', 'cc'))",573290.4
"(('mk', ('ci', 'cc')), 'k')",532647.2
"('ci', 'mk')",1102212.41
"('k', ('ci', 'mk'))",1148675.06
"(('k', ('ci', 'mk')), 'cc')",1148687.55
"('k', 'mk')",3802.56
"('ci', ('k', 'mk'))",467137.89
"(('ci', ('k', 'mk')), 'cc')",467140.87
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"((('mk', 'cc'), 'k'), 'ci')",111866.93
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3851.14
"('mk', ('cc', 'ci'))",724735.68
"('k', ('mk', ('cc', 'ci')))",786089.95
"('ci', 'mk')",1102212.41
"(('ci', 'mk'), 'k')",758510.61
"('cc', (('ci', 'mk'), 'k'))",761104.39
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3851.14
"('cc', (('k', 'mk'), 'ci'))",6444.93
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"(('mk', 'ci'), 'k')",584539.97
"((('mk', 'ci'), 'k'), 'cc')",584542.95
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"('mk', ('cc', 'ci'))",724735.68
"(('mk', ('cc', 'ci')), 'k')",739741.73
"(('cc', 'ci'), 'mk')",770729.77
"((('cc', 'ci'), 'mk'), 'k')",774564.9
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"((('mk', 'cc'), 'k'), 'ci')",111866.93
"(('mk', 'cc'), 'ci')",962232.5
"('k', (('mk', 'cc'), 'ci'))",1023586.77
"('ci', 'mk')",1102212.41
"(('ci', 'mk'), 'k')",758510.61
"('cc', (('ci', 'mk'), 'k'))",761104.39
"('k', 'mk')",3802.56
"('ci', 'cc')",485880.5
"(('ci', 'cc'), ('k', 'mk'))",479389.5
"('k', 'mk')",3802.56
"('ci', 'cc')",485880.5
"(('k', 'mk'), ('ci', 'cc'))",493240.56
"('k', ('ci', 'mk'))",1148675.06
"(('k', ('ci', 'mk')), 'cc')",1148687.55
"((('mk', 'k'), 'cc'), 'ci')",52000.46
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"((('mk', 'k'), 'cc'), 'ci')",52000.46
"('cc', ('mk', 'k'))",54560.77
"(('cc', ('mk', 'k')), 'ci')",54625.07
"('ci', 'cc')",485880.5
"(('mk', 'k'), ('ci', 'cc'))",526930.91
"('ci', 'cc')",485880.5
"(('mk', 'k'), ('ci', 'cc'))",526930.91
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3851.14
"(('k', 'mk'), ('ci', 'cc'))",493240.56
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"(('cc', ('mk', 'k')), 'ci')",54625.07
"(('mk', 'ci'), 'cc')",664548.4
"((('mk', 'ci'), 'cc'), 'k')",623905.19
"('k', ('mk', 'ci'))",878613.73
"(('k', ('mk', 'ci')), 'cc')",878626.21
"('cc', ('mk', 'k'))",54560.77
"(('cc', ('mk', 'k')), 'ci')",54625.07
"('mk', 'ci')",832151.08
"(('mk', 'ci'), 'cc')",664548.4
"((('mk', 'ci'), 'cc'), 'k')",623905.19
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",280712.85
"(('k', ('mk', 'cc')), 'ci')",280778.58
"('mk', 'ci')",832151.08
"(('mk', 'ci'), 'cc')",664548.4
"((('mk', 'ci'), 'cc'), 'k')",623905.19
"(('mk', 'ci'), 'cc')",664548.4
"((('mk', 'ci'), 'cc'), 'k')",623905.19
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"('cc', ('mk', 'k'))",54560.77
"(('cc', ('mk', 'k')), 'ci')",54625.07
"((('mk', 'k'), 'cc'), 'ci')",52000.46
"(('k', 'mk'), 'cc')",3818.75
"('ci', (('k', 'mk'), 'cc'))",467151.96
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3851.14
"(('mk', 'ci'), 'cc')",664548.4
"((('mk', 'ci'), 'cc'), 'k')",623905.19
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3851.14
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
"((('cc', 'mk'), 'ci'), 'k')",966274.65
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
"((('cc', 'mk'), 'ci'), 'k')",966274.65
"('ci', 'cc')",485880.5
"(('ci', 'cc'), 'mk')",598157.13
"((('ci', 'cc'), 'mk'), 'k')",557513.83
"('ci', 'cc')",485880.5
"(('ci', 'cc'), 'mk')",598157.13
"((('ci', 'cc'), 'mk'), 'k')",557513.83
"(('ci', 'cc'), 'mk')",598157.13
"((('ci', 'cc'), 'mk'), 'k')",557513.83
"(('ci', 'cc'), 'mk')",598157.13
"((('ci', 'cc'), 'mk'), 'k')",557513.83
"((('mk', 'k'), 'cc'), 'ci')",52000.46
"('mk', 'k')",51966.45
"('ci', ('mk', 'k'))",514298.07
"('cc', ('ci', ('mk', 'k')))",516891.86
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'ci')",962232.5
"((('mk', 'cc'), 'ci'), 'k')",675056.26
"(('mk', 'ci'), 'cc')",664548.4
"('k', (('mk', 'ci'), 'cc'))",672709.5
"(('mk', 'k'), ('ci', 'cc'))",526930.91
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
"((('cc', 'mk'), 'ci'), 'k')",966274.65
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
"((('cc', 'mk'), 'ci'), 'k')",966274.65
"(('cc', ('mk', 'ci')), 'k')",875519.66
"('ci', 'mk')",1102212.41
"('cc', ('ci', 'mk'))",1246328.2
"(('cc', ('ci', 'mk')), 'k')",1250163.33
"(('ci', 'cc'), 'mk')",598157.13
"((('ci', 'cc'), 'mk'), 'k')",557513.83
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
"((('cc', 'mk'), 'ci'), 'k')",966274.65
"('cc', 'mk')",210061.16
"(('cc', 'mk'), 'ci')",951268.61
