order,costs
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"(('ci', ('cc', 'cct2')), 'an')",478913.75
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"('cc', 'ci')",581307.44
"('cct2', ('cc', 'ci'))",582615.7
"('an', ('cct2', ('cc', 'ci')))",645457.11
"('cc', 'ci')",581307.44
"('cct2', ('cc', 'ci'))",582615.7
"('cc', 'ci')",581307.44
"('an', ('cct2', ('cc', 'ci')))",645457.11
"('cct2', ('cc', 'ci'))",582615.7
"('an', ('cct2', ('cc', 'ci')))",645457.11
"('cc', 'ci')",581307.44
"('cct2', ('cc', 'ci'))",582615.7
"('cc', 'ci')",581307.44
"('an', ('cct2', ('cc', 'ci')))",645457.11
"('cct2', ('cc', 'ci'))",582615.7
"('an', ('cct2', ('cc', 'ci')))",645457.11
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",469295.92
"('an', ('ci', ('cc', 'cct2')))",532137.22
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"('an', 'ci')",745866.05
"('cc', ('an', 'ci'))",861796.73
"(('cc', ('an', 'ci')), 'cct2')",863159.88
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"('an', 'ci')",745866.05
"(('an', 'ci'), 'cc')",834363.82
"((('an', 'ci'), 'cc'), 'cct2')",835726.96
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"('an', 'ci')",745866.05
"(('an', 'ci'), ('cc', 'cct2'))",757289.46
"(('cc', 'ci'), 'an')",633386.57
"((('cc', 'ci'), 'an'), 'cct2')",634749.73
"(('cc', 'ci'), 'an')",633386.57
"((('cc', 'ci'), 'an'), 'cct2')",634749.73
"('cc', 'cct2')",2818.24
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'ci'), 'an')",633386.57
"((('cc', 'ci'), 'an'), 'cct2')",634749.73
"(('cc', 'cct2'), 'ci')",332330.01
"('an', (('cc', 'cct2'), 'ci'))",395171.42
"(('cc', 'ci'), 'an')",633386.57
"((('cc', 'ci'), 'an'), 'cct2')",634749.73
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
"('cct2', ('an', ('ci', 'cc')))",565702.52
"('ci', 'cc')",485880.5
"('cct2', ('ci', 'cc'))",487188.77
"(('cct2', ('ci', 'cc')), 'an')",501430.46
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
"('cct2', ('an', ('ci', 'cc')))",565702.52
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
"('cct2', ('an', ('ci', 'cc')))",565702.52
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
"('cct2', ('an', ('ci', 'cc')))",565702.52
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
"('cct2', ('an', ('ci', 'cc')))",565702.52
"('ci', 'cc')",485880.5
"('cct2', ('ci', 'cc'))",487188.77
"(('cct2', ('ci', 'cc')), 'an')",501430.46
"('ci', 'cc')",485880.5
"('cct2', ('ci', 'cc'))",487188.77
"(('cct2', ('ci', 'cc')), 'an')",501430.46
"('ci', 'cc')",485880.5
"('an', ('ci', 'cc'))",562552.15
