order,costs
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cc', 'mi')",366784.5
"('it', ('cc', 'mi'))",371086.73
"('cct1', ('it', ('cc', 'mi')))",371125.83
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"('cct1', 'cc')",3776.49
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', 'it')",243188.59
"(('cct1', 'cc'), ('mi', 'it'))",248417.31
"('cct1', 'cc')",3776.49
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('cct1', 'cc')",3776.49
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('cct1', 'cc')",3776.49
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"(('cc', 'mi'), 'it')",367723.75
"((('cc', 'mi'), 'it'), 'cct1')",367741.27
"(('cc', 'mi'), 'it')",367723.75
"((('cc', 'mi'), 'it'), 'cct1')",367741.27
"(('cc', 'mi'), 'it')",367723.75
"((('cc', 'mi'), 'it'), 'cct1')",367741.27
"(('cc', 'mi'), 'it')",367723.75
"((('cc', 'mi'), 'it'), 'cct1')",367741.27
"(('cc', 'mi'), 'it')",367723.75
"((('cc', 'mi'), 'it'), 'cct1')",367741.27
"('mi', ('cct1', 'cc'))",256129.76
"('it', ('mi', ('cct1', 'cc')))",257207.12
"('it', 'mi')",294651.64
"(('cct1', 'cc'), ('it', 'mi'))",299880.35
"('it', 'mi')",294651.64
"(('cct1', 'cc'), ('it', 'mi'))",299880.35
