order,costs
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'ci')",859779.89
"('k', ('mk', 'ci'))",907760.86
"(('k', ('mk', 'ci')), 'an')",907775.51
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"('k', ('mk', 'ci'))",907760.86
"(('k', ('mk', 'ci')), 'an')",907775.51
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('k', 'mk')",3802.56
"('mk', 'ci')",859779.89
"('ci', 'an')",757947.5
"(('mk', 'ci'), 'an')",1667210.52
"(('ci', 'an'), ('k', 'mk'))",556610.36
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('k', 'mk')",3802.56
"('ci', 'an')",757947.5
"(('ci', 'an'), ('k', 'mk'))",556610.36
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"('ci', ('k', 'mk'))",486060.56
"(('ci', ('k', 'mk')), 'an')",486070.33
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('mk', 'k')",51966.45
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('ci', ('k', 'mk'))",486060.56
"('k', 'mk')",3802.56
"(('ci', ('k', 'mk')), 'an')",486070.33
"(('k', 'mk'), 'ci')",3852.59
"('ci', ('k', 'mk'))",486060.56
"(('ci', ('k', 'mk')), 'an')",486070.33
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"(('an', 'ci'), ('mk', 'k'))",832503.38
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'ci')",859779.89
"('k', ('mk', 'ci'))",907760.86
"('an', ('k', ('mk', 'ci')))",931571.32
"('mk', 'ci')",859779.89
"('an', ('mk', 'ci'))",1702266.16
"(('an', ('mk', 'ci')), 'k')",1727868.6
"('mk', 'k')",51966.45
"('ci', 'an')",757947.5
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('k', ('mk', 'ci'))",907760.86
"('an', ('k', ('mk', 'ci')))",931571.32
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'k')",784619.01
"('an', (('ci', 'mk'), 'k'))",801203.0
"('ci', 'an')",757947.5
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('ci', ('mk', 'k'))",533220.74
"(('ci', ('mk', 'k')), 'an')",533230.51
"('ci', 'mk')",1140334.46
"('k', ('ci', 'mk'))",1188315.44
"('an', ('k', ('ci', 'mk')))",1212125.89
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('ci', 'mk')",1140334.46
"('k', ('ci', 'mk'))",1188315.44
"('an', ('k', ('ci', 'mk')))",1212125.89
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('ci', 'an')",757947.5
"(('ci', 'an'), ('mk', 'k'))",603770.44
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('ci', 'an')",757947.5
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('k', 'mk')",3802.56
"(('k', 'mk'), 'ci')",3852.59
"('an', (('k', 'mk'), 'ci'))",21439.64
"('an', (('mk', 'ci'), 'k'))",620708.08
"(('an', 'ci'), ('k', 'mk'))",784339.49
"(('k', 'mk'), ('an', 'ci'))",875847.87
"('k', ('mk', 'ci'))",907760.86
"(('k', ('mk', 'ci')), 'an')",907775.51
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('mk', 'k')",51966.45
"(('ci', 'an'), ('mk', 'k'))",603770.44
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"('ci', 'mk')",1140334.46
"('k', ('ci', 'mk'))",1188315.44
"('an', ('k', ('ci', 'mk')))",1212125.89
"('an', (('mk', 'ci'), 'k'))",620708.08
"('ci', ('mk', 'k'))",533220.74
"(('ci', ('mk', 'k')), 'an')",533230.51
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"(('an', ('mk', 'ci')), 'k')",1727868.6
"('an', 'ci')",772720.72
"(('k', 'mk'), ('an', 'ci'))",875847.87
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('an', ('mk', 'ci'))",1702266.16
"(('an', ('mk', 'ci')), 'k')",1727868.6
"('ci', ('mk', 'k'))",533220.74
"('an', ('ci', ('mk', 'k')))",549804.73
"(('ci', 'mk'), 'an')",1847705.43
"((('ci', 'mk'), 'an'), 'k')",986933.05
"(('an', 'ci'), ('k', 'mk'))",784339.49
"(('k', 'mk'), ('ci', 'an'))",861074.65
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('k', 'mk')",3802.56
"('k', ('mk', 'ci'))",907760.86
"(('k', 'mk'), ('an', 'ci'))",875847.87
"(('k', ('mk', 'ci')), 'an')",907775.51
"('ci', 'an')",757947.5
"(('k', 'mk'), ('ci', 'an'))",861074.65
"(('an', 'ci'), ('k', 'mk'))",784339.49
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('ci', 'an')",757947.5
"(('ci', 'an'), ('k', 'mk'))",556610.36
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('ci', 'an')",757947.5
"(('k', 'mk'), ('ci', 'an'))",861074.65
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('k', ('mk', 'ci'))",907760.86
"('an', ('k', ('mk', 'ci')))",931571.32
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('ci', 'an')",757947.5
"(('k', 'mk'), ('ci', 'an'))",861074.65
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('k', 'mk')",3802.56
"(('k', 'mk'), ('an', 'ci'))",875847.87
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"('an', 'ci')",772720.72
"(('k', 'mk'), ('an', 'ci'))",875847.87
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('ci', 'an')",757947.5
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('ci', 'an')",757947.5
"(('ci', 'an'), 'mk')",2033303.15
"((('ci', 'an'), 'mk'), 'k')",1172530.86
"('ci', ('k', 'mk'))",486060.56
"(('ci', ('k', 'mk')), 'an')",486070.33
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'an')",1847705.43
"('k', (('ci', 'mk'), 'an'))",1959517.17
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'an')",1847705.43
"((('ci', 'mk'), 'an'), 'k')",986933.05
"(('mk', 'ci'), 'k')",604124.09
"((('mk', 'ci'), 'k'), 'an')",604133.86
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'an')",1847705.43
"((('ci', 'mk'), 'an'), 'k')",986933.05
"(('mk', 'ci'), 'an')",1667210.52
"('k', (('mk', 'ci'), 'an'))",1779022.25
"('k', ('mk', 'ci'))",907760.86
"('an', ('k', ('mk', 'ci')))",931571.32
"('an', ('mk', 'ci'))",1702266.16
"('k', ('an', ('mk', 'ci')))",1814077.88
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"((('mk', 'ci'), 'an'), 'k')",806438.13
"(('mk', 'k'), 'ci')",51986.35
"('an', (('mk', 'k'), 'ci'))",68570.34
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'an')",1847705.43
"((('ci', 'mk'), 'an'), 'k')",986933.05
"(('ci', 'an'), 'mk')",2033303.15
"((('ci', 'an'), 'mk'), 'k')",1172530.86
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"((('mk', 'ci'), 'an'), 'k')",806438.13
"(('mk', 'k'), ('an', 'ci'))",924011.76
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"(('mk', 'k'), 'ci')",51986.35
"((('mk', 'k'), 'ci'), 'an')",51996.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('ci', 'an'))",1493219.45
"(('mk', ('ci', 'an')), 'k')",764885.04
"(('mk', 'k'), ('ci', 'an'))",641898.93
"('ci', ('k', 'mk'))",486060.56
"('an', ('ci', ('k', 'mk')))",502644.55
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"(('k', 'mk'), 'ci')",3852.59
"(('mk', 'ci'), 'an')",1667210.52
"((('mk', 'ci'), 'an'), 'k')",806438.13
"('ci', ('k', 'mk'))",486060.56
"(('ci', ('k', 'mk')), 'an')",486070.33
"((('mk', 'ci'), 'an'), 'k')",806438.13
"(('k', 'mk'), ('an', 'ci'))",875847.87
"(('an', 'ci'), ('mk', 'k'))",832503.38
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('mk', ('an', 'ci'))",1507992.67
"(('mk', ('an', 'ci')), 'k')",1533595.12
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('mk', 'k')",51966.45
"('an', 'ci')",772720.72
"(('mk', 'k'), ('an', 'ci'))",924011.76
"('ci', ('mk', 'k'))",533220.74
