order,costs
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"('mk', ('an', ('mi', 'ci')))",1904302.95
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'ci')",810313.95
"('an', ('mi', 'ci'))",996777.65
"(('an', ('mi', 'ci')), 'mk')",2519079.25
"('mi', 'mk')",820213.37
"('an', 'ci')",772720.72
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"('mk', 'ci')",859779.89
"('an', ('mk', 'ci'))",1702266.16
"(('an', ('mk', 'ci')), 'mi')",4962834.6
"('mi', 'mk')",820213.37
"('mk', 'ci')",859779.89
"('an', ('mk', 'ci'))",1702266.16
"('an', 'ci')",772720.72
"(('an', ('mk', 'ci')), 'mi')",4962834.6
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"('mi', 'mk')",820213.37
"('an', 'ci')",772720.72
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"('mi', 'mk')",820213.37
"('an', 'ci')",772720.72
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"('mi', 'mk')",820213.37
"('an', 'ci')",772720.72
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"('mk', ('an', ('mi', 'ci')))",1904302.95
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"('mk', ('an', ('mi', 'ci')))",1904302.95
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'an')",1208588.48
"('mk', (('ci', 'mi'), 'an'))",1824011.65
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'mk')",1424135.03
"((('mi', 'ci'), 'mk'), 'an')",4545028.41
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"('mk', ('an', ('mi', 'ci')))",1904302.95
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'mi')",1765445.03
"((('ci', 'mk'), 'mi'), 'an')",2196837.16
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"('mi', 'mk')",820213.37
"('ci', 'an')",757947.5
"(('mi', 'mk'), ('ci', 'an'))",2537390.79
"('mi', 'mk')",820213.37
"('ci', 'an')",757947.5
"(('mi', 'mk'), ('ci', 'an'))",2537390.79
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"('ci', 'an')",757947.5
"(('mi', 'mk'), ('ci', 'an'))",2537390.79
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'an')",935277.7
"('mk', (('mi', 'ci'), 'an'))",1842803.0
"('ci', 'an')",757947.5
"(('mi', 'mk'), ('ci', 'an'))",2537390.79
"(('mi', 'mk'), 'ci')",1722526.15
"((('mi', 'mk'), 'ci'), 'an')",4843418.68
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'mk')",1388188.24
"('an', (('ci', 'mi'), 'mk'))",3814548.14
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"('ci', 'an')",757947.5
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('mk', ('ci', 'an'))",1493219.45
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('an', 'ci')",772720.72
"('mi', 'mk')",820213.37
"(('an', 'ci'), ('mi', 'mk'))",2519259.9
"(('mi', 'ci'), 'mk')",1424135.03
"('an', (('mi', 'ci'), 'mk'))",5770680.91
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'mk')",1388188.24
"('an', (('ci', 'mi'), 'mk'))",3814548.14
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"(('mk', ('ci', 'mi')), 'an')",1972241.3
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'mk')",1388188.24
"('an', (('ci', 'mi'), 'mk'))",3814548.14
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'mk')",1388188.24
"('an', (('ci', 'mi'), 'mk'))",3814548.14
"('ci', 'mi')",1083624.72
"('mk', ('ci', 'mi'))",1398263.54
"('an', ('mk', ('ci', 'mi')))",2023577.35
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('an', 'ci')",772720.72
"('mk', ('an', 'ci'))",1507992.67
"('mi', ('mk', ('an', 'ci')))",2037875.27
"('mk', ('an', 'ci'))",1507992.67
"('mi', ('mk', ('an', 'ci')))",2037875.27
"(('mk', 'ci'), 'mi')",1334730.9
"((('mk', 'ci'), 'mi'), 'an')",1908708.67
"('ci', 'mk')",1140334.46
"(('ci', 'mk'), 'mi')",1765445.03
"('an', (('ci', 'mk'), 'mi'))",2390758.84
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('ci', 'an')",757947.5
"('mk', ('ci', 'an'))",1493219.45
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'mk')",1388188.24
"((('ci', 'mi'), 'mk'), 'an')",3842493.15
"('mk', ('ci', 'an'))",1493219.45
"('mi', ('mk', ('ci', 'an')))",2023102.05
"('mk', 'ci')",859779.89
"('an', ('mk', 'ci'))",1702266.16
"(('an', ('mk', 'ci')), 'mi')",4962834.6
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",1711022.15
"((('an', 'ci'), 'mi'), 'mk')",2267748.91
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",1711022.15
"((('an', 'ci'), 'mi'), 'mk')",2267748.91
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",1711022.15
"((('an', 'ci'), 'mi'), 'mk')",2267748.91
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mk')",2125015.9
"((('an', 'ci'), 'mk'), 'mi')",2656438.77
"('mk', 'ci')",859779.89
"(('mk', 'ci'), 'mi')",1334730.9
