order,costs
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'cc')",86849.11
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'cc')",86849.11
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'cc')",86849.11
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'cc')",86849.11
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'cc')",86849.11
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('mc', 'ci')",772790.16
"('cc', ('mc', 'ci'))",865868.81
"(('cc', ('mc', 'ci')), 'cn')",889025.57
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', ('mc', 'cn'))",153520.34
"('cc', 'ci')",603993.02
"(('cc', ('mc', 'cn')), 'ci')",583216.88
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('cc', 'ci')",603993.02
"(('cc', 'ci'), ('mc', 'cn'))",754657.13
"('mc', 'ci')",772790.16
