order,costs
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 't')",377781.28
"((('mk', 'cc'), 't'), 'k')",218950.0
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('t', 'cc'), ('k', 'mk'))",76859.27
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 't')",377781.28
"((('mk', 'cc'), 't'), 'k')",218950.0
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 't')",377781.28
"('k', (('mk', 'cc'), 't'))",411386.3
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('mk', 'cc')",202242.54
"(('mk', 'cc'), 'k')",111840.78
"('t', (('mk', 'cc'), 'k'))",165350.38
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('cc', (('k', 'mk'), 't'))",6412.86
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('k', 'mk'), ('t', 'cc'))",84805.09
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('k', 'mk'), ('t', 'cc'))",84805.09
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('k', 'mk'), ('t', 'cc'))",84805.09
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('cc', (('k', 'mk'), 't'))",6412.86
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('t', 'cc'), ('k', 'mk'))",76859.27
"('cc', 't')",120902.34
"('mk', ('cc', 't'))",249444.64
"(('mk', ('cc', 't')), 'k')",199031.03
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('k', 'mk')",3802.56
"('t', 'cc')",78481.46
"(('t', 'cc'), ('k', 'mk'))",76859.27
"('k', 'mk')",3802.56
"(('k', 'mk'), 't')",3819.24
"('cc', 't')",120902.34
"('mk', ('cc', 't'))",249444.64
"(('mk', ('cc', 't')), 'k')",199031.03
"('cc', 't')",120902.34
"('cc', 't')",120902.34
"('mk', ('cc', 't'))",249444.64
"('mk', ('cc', 't'))",249444.64
"(('mk', ('cc', 't')), 'k')",199031.03
"(('mk', ('cc', 't')), 'k')",199031.03
"('cc', 't')",120902.34
"('k', 'mk')",3802.56
"(('k', 'mk'), ('cc', 't'))",127225.97
"('cc', 't')",120902.34
"('mk', ('cc', 't'))",249444.64
"(('mk', ('cc', 't')), 'k')",199031.03
"('cc', 't')",120902.34
"('k', 'mk')",3802.56
"(('k', 'mk'), ('cc', 't'))",127225.97
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"(('t', 'cc'), 'mk')",123811.74
"((('t', 'cc'), 'mk'), 'k')",116743.24
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 'k')",51966.45
"('t', ('mk', 'k'))",105478.37
"(('t', ('mk', 'k')), 'cc')",105479.95
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('t', 'cc')",78481.46
"(('t', 'cc'), 'mk')",123811.74
"((('t', 'cc'), 'mk'), 'k')",116743.24
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"(('t', 'cc'), 'mk')",123811.74
"((('t', 'cc'), 'mk'), 'k')",116743.24
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('mk', 'k')",51966.45
"('t', ('mk', 'k'))",105478.37
"(('t', ('mk', 'k')), 'cc')",105479.95
"(('t', 'cc'), 'mk')",123811.74
"((('t', 'cc'), 'mk'), 'k')",116743.24
"('mk', 't')",242915.52
"(('mk', 't'), 'k')",142259.68
"((('mk', 't'), 'k'), 'cc')",142261.26
"('t', 'mk')",259277.44
"('k', ('t', 'mk'))",285034.26
"(('k', ('t', 'mk')), 'cc')",285040.97
"('t', 'mk')",259277.44
"('k', ('t', 'mk'))",285034.26
"('cc', ('k', ('t', 'mk')))",287627.88
"('t', 'cc')",78481.46
"(('t', 'cc'), 'mk')",123811.74
"('k', (('t', 'cc'), 'mk'))",127729.57
"('mk', 'cc')",202242.54
"('t', ('mk', 'cc'))",365768.43
"(('t', ('mk', 'cc')), 'k')",358699.93
"('mk', 'cc')",202242.54
"('t', ('mk', 'cc'))",365768.43
"(('t', ('mk', 'cc')), 'k')",358699.93
"('mk', 'cc')",202242.54
"('t', ('mk', 'cc'))",365768.43
"('mk', 'cc')",202242.54
"(('t', ('mk', 'cc')), 'k')",358699.93
"('t', ('mk', 'cc'))",365768.43
"(('t', ('mk', 'cc')), 'k')",358699.93
"('mk', 'cc')",202242.54
"('t', ('mk', 'cc'))",365768.43
"(('t', ('mk', 'cc')), 'k')",358699.93
"('mk', 'cc')",202242.54
"('t', ('mk', 'cc'))",365768.43
"(('t', ('mk', 'cc')), 'k')",358699.93
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('t', (('mk', 'k'), 'cc'))",105483.81
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('t', (('mk', 'k'), 'cc'))",105483.81
"('mk', 'k')",51966.45
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"(('mk', 'k'), 'cc')",51974.31
"((('mk', 'k'), 'cc'), 't')",51980.93
"('t', (('mk', 'k'), 'cc'))",105483.81
"('mk', 'k')",51966.45
"('cc', 't')",120902.34
"(('mk', 'k'), ('cc', 't'))",175388.28
"('mk', 'k')",51966.45
"(('mk', 'k'), 'cc')",51974.31
"('t', (('mk', 'k'), 'cc'))",105483.81
"('mk', 'cc')",202242.54
"('k', ('mk', 'cc'))",280712.85
"('t', ('k', ('mk', 'cc')))",335227.33
"('mk', 'k')",51966.45
