order,costs
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 'chn')",564335.98
"((('ci', 'n'), 'chn'), 't')",564544.34
"('ci', 'n')",563886.98
"(('ci', 'n'), 'chn')",564335.98
"((('ci', 'n'), 'chn'), 't')",564544.34
"('ci', 'n')",563886.98
"(('ci', 'n'), 'chn')",564335.98
"((('ci', 'n'), 'chn'), 't')",564544.34
"('ci', 'n')",563886.98
"(('ci', 'n'), 'chn')",564335.98
"((('ci', 'n'), 'chn'), 't')",564544.34
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 't')",599652.37
"((('ci', 'chn'), 't'), 'n')",637037.76
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
"('chn', (('ci', 'n'), 't'))",690271.14
"('ci', 'n')",563886.98
"(('ci', 'n'), 't')",564316.39
