order,costs
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'rt')",765800.62
"('it', (('mi', 'ci'), 'rt'))",766317.19
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('it', 'mi')",327024.95
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('it', 'mi'))",819463.49
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('mi', 'it')",258946.23
"('ci', 'rt')",489393.19
"(('ci', 'rt'), ('mi', 'it'))",740214.12
"('it', 'mi')",327024.95
"(('ci', 'rt'), ('it', 'mi'))",819463.49
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'mi')",580371.81
"((('ci', 'rt'), 'mi'), 'it')",576344.11
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'rt')",1039111.4
"((('ci', 'mi'), 'rt'), 'it')",1035083.7
"('it', 'mi')",327024.95
"(('ci', 'rt'), ('it', 'mi'))",819463.49
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"('rt', (('mi', 'ci'), 'it'))",762010.82
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('ci', ('mi', 'it'))",745534.92
"(('ci', ('mi', 'it')), 'rt')",745142.15
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"((('mi', 'ci'), 'it'), 'rt')",761562.3
"('mi', ('ci', 'rt'))",744406.73
"(('mi', ('ci', 'rt')), 'it')",740379.03
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"('it', (('ci', 'rt'), 'mi'))",580888.37
"(('ci', 'rt'), 'mi')",580371.81
"((('ci', 'rt'), 'mi'), 'it')",576344.11
"(('mi', 'it'), 'ci')",265874.4
"('rt', (('mi', 'it'), 'ci'))",265930.15
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'rt')",1039111.4
"('it', (('ci', 'mi'), 'rt'))",1039627.96
"(('ci', 'mi'), 'it')",1035265.85
"('rt', (('ci', 'mi'), 'it'))",1035321.6
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'rt')",1039111.4
"((('ci', 'mi'), 'rt'), 'it')",1035083.7
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"(('ci', 'rt'), 'mi')",580371.81
"('it', (('ci', 'rt'), 'mi'))",580888.37
"(('ci', 'rt'), 'mi')",580371.81
"((('ci', 'rt'), 'mi'), 'it')",576344.11
"('ci', 'mi')",1083624.72
"('it', ('ci', 'mi'))",1089796.91
"('rt', ('it', ('ci', 'mi')))",1089852.66
"('it', 'mi')",327024.95
"(('it', 'mi'), ('ci', 'rt'))",817356.94
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'it')",761955.07
"('rt', (('mi', 'ci'), 'it'))",762010.82
"('ci', 'mi')",1083624.72
"(('ci', 'mi'), 'it')",1035265.85
"('rt', (('ci', 'mi'), 'it'))",1035321.6
"('it', 'mi')",327024.95
"(('it', 'mi'), ('ci', 'rt'))",817356.94
"('it', 'mi')",327024.95
"(('it', 'mi'), 'ci')",343913.59
"('rt', (('it', 'mi'), 'ci'))",343969.34
"(('ci', 'rt'), 'mi')",580371.81
"((('ci', 'rt'), 'mi'), 'it')",576344.11
"('it', 'mi')",327024.95
"(('it', 'mi'), 'ci')",343913.59
"('rt', (('it', 'mi'), 'ci'))",343969.34
"('mi', 'ci')",810313.95
"(('mi', 'ci'), 'rt')",765800.62
"((('mi', 'ci'), 'rt'), 'it')",761772.93
"('mi', ('ci', 'rt'))",744406.73
"(('mi', ('ci', 'rt')), 'it')",740379.03
"('rt', 'ci')",109114.13
