order,costs
"('cn', 'mc')",134918.42
"(('cn', 'mc'), 'mi')",802662.09
"((('cn', 'mc'), 'mi'), 't')",927297.26
"('mi', 'mc')",491214.23
"(('mi', 'mc'), 't')",585390.92
"((('mi', 'mc'), 't'), 'cn')",507589.11
"('mi', 'mc')",491214.23
"(('mi', 'mc'), 'cn')",458497.48
"('t', (('mi', 'mc'), 'cn'))",857649.39
"('mi', 'mc')",491214.23
"(('mi', 'mc'), 'cn')",458497.48
"((('mi', 'mc'), 'cn'), 't')",485688.08
"('mi', 'mc')",491214.23
"('cn', ('mi', 'mc'))",1293014.12
"('t', ('cn', ('mi', 'mc')))",1760690.49
"('t', 'mi')",557337.7
"('mc', ('t', 'mi'))",670328.29
"(('mc', ('t', 'mi')), 'cn')",672982.71
"('mc', 't')",209673.14
"(('mc', 't'), 'cn')",165581.51
"((('mc', 't'), 'cn'), 'mi')",550701.73
"(('t', 'mi'), 'mc')",690830.93
"((('t', 'mi'), 'mc'), 'cn')",681709.51
"('mc', 'mi')",614117.2
"('t', ('mc', 'mi'))",760544.03
"('cn', ('t', ('mc', 'mi')))",825216.29
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"('mi', ('cn', ('t', 'mc')))",806720.19
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"('mi', ('cn', ('t', 'mc')))",806720.19
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"(('cn', 'mc'), ('t', 'mi'))",744951.31
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"(('t', 'mi'), ('cn', 'mc'))",751347.65
"('t', 'mc')",236216.58
"('cn', ('t', 'mc'))",512909.34
"(('cn', ('t', 'mc')), 'mi')",1068771.79
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"('mi', 't')",359902.66
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('t', 'mc')",236216.58
"('mi', ('t', 'mc'))",443212.99
"(('mi', ('t', 'mc')), 'cn')",432358.81
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mi', 't')",359902.66
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('cn', ('mc', ('mi', 't')))",898864.24
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('mi', 't')",359902.66
"('mc', 'cn')",101741.45
"('t', 'mc')",236216.58
"(('mi', 't'), ('mc', 'cn'))",406381.41
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"(('mc', 'cn'), ('t', 'mi'))",669545.85
"(('cn', ('mi', 'mc')), 't')",1475543.47
"('cn', ('mc', ('mi', 't')))",898864.24
"('mc', 'cn')",101741.45
"(('t', 'mi'), ('mc', 'cn'))",672080.06
"('mc', 'cn')",101741.45
"('mc', 'cn')",101741.45
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"('mi', (('t', 'mc'), 'cn'))",421521.31
"('cn', ('mc', ('mi', 't')))",898864.24
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mc', 'cn')",101741.45
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('cn', ('mc', ('mi', 't')))",898864.24
"('mc', ('mi', 't'))",472893.25
"(('mc', ('mi', 't')), 'cn')",447230.95
"('mc', 'cn')",101741.45
"('cn', ('mi', ('t', 'mc')))",507885.26
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('mi', ('t', 'mc'))",443212.99
"('cn', ('mi', ('t', 'mc')))",507885.26
"('mc', 'cn')",101741.45
"('mc', 'cn')",101741.45
"(('t', 'mi'), 'mc')",690830.93
"((('t', 'mi'), 'mc'), 'cn')",681709.51
"('mi', (('t', 'mc'), 'cn'))",421521.31
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'mi'))",669545.85
"('mi', (('t', 'mc'), 'cn'))",421521.31
"('mc', 'mi')",614117.2
"('cn', ('mc', 'mi'))",1415917.08
"('t', ('cn', ('mc', 'mi')))",1883593.46
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"('mi', (('mc', 't'), 'cn'))",450938.98
"('mi', (('mc', 't'), 'cn'))",450938.98
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"('mi', (('mc', 't'), 'cn'))",450938.98
"('mi', (('mc', 't'), 'cn'))",450938.98
"('mi', (('mc', 't'), 'cn'))",450938.98
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 't')",752404.26
"((('mc', 'mi'), 't'), 'cn')",794477.55
"('mi', (('mc', 't'), 'cn'))",450938.98
"(('mc', 't'), 'mi')",700853.78
"('cn', (('mc', 't'), 'mi'))",765526.05
"('cn', (('mc', 't'), 'mi'))",765526.05
"('cn', ('mc', 't'))",486365.91
"(('cn', ('mc', 't')), 'mi')",1042228.36
"('t', ('mi', 'mc'))",798115.47
"('cn', ('t', ('mi', 'mc')))",862787.74
"('cn', ('mc', ('mi', 't')))",898864.24
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"(('mc', 't'), 'mi')",700853.78
"('cn', (('mc', 't'), 'mi'))",765526.05
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"('t', 'mc')",236216.58
"(('t', 'mc'), 'cn')",174941.55
"((('t', 'mc'), 'cn'), 'mi')",560061.77
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 't')",752404.26
"('cn', (('mc', 'mi'), 't'))",1178375.25
"(('mc', 't'), 'mi')",700853.78
"('cn', (('mc', 't'), 'mi'))",765526.05
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 'cn')",704378.3
"('t', (('mc', 'mi'), 'cn'))",831966.3
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 't')",752404.26
"('cn', (('mc', 'mi'), 't'))",1178375.25
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"('mi', 't')",359902.66
"(('mi', 't'), ('mc', 'cn'))",406381.41
"(('mc', 't'), 'mi')",700853.78
"((('mc', 't'), 'mi'), 'cn')",716203.49
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"(('t', 'mc'), 'mi')",700853.78
"((('t', 'mc'), 'mi'), 'cn')",716203.49
"('t', ('mi', 'mc'))",798115.47
"(('t', ('mi', 'mc')), 'cn')",813465.18
"('cn', ('mc', 't'))",486365.91
"(('cn', ('mc', 't')), 'mi')",1042228.36
"(('mc', 't'), 'mi')",700853.78
"('cn', (('mc', 't'), 'mi'))",765526.05
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"('cn', ('mc', 't'))",486365.91
"(('cn', ('mc', 't')), 'mi')",1042228.36
"(('t', ('mc', 'mi')), 'cn')",775893.74
"('cn', ('mc', ('mi', 't')))",898864.24
"('mc', 'mi')",614117.2
"(('mc', 'mi'), 't')",752404.26
"('cn', (('mc', 'mi'), 't'))",1178375.25
"(('mi', 't'), 'mc')",426865.05
"((('mi', 't'), 'mc'), 'cn')",416010.86
"('mc', 'cn')",101741.45
"('t', ('mc', 'cn'))",163134.57
"(('t', ('mc', 'cn')), 'mi')",548254.79
"(('mc', 'mi'), 't')",752404.26
