order,costs
"('ci', 'mi')",934575.25
"('it1', ('ci', 'mi'))",935708.42
"(('it1', ('ci', 'mi')), 'mk')",938518.73
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'mi')",1651028.66
"('it1', (('ci', 'mk'), 'mi'))",1655767.91
"('ci', 'mk')",1379723.43
"(('ci', 'mk'), 'mi')",1651028.66
"((('ci', 'mk'), 'mi'), 'it1')",1613901.8
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"(('ci', ('mk', 'mi')), 'it1')",1269667.43
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"('mk', 'ci')",1023150.06
"('mi', 'it1')",242412.59
"(('mk', 'ci'), ('mi', 'it1'))",903799.2
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'ci')",1023150.06
"('mi', 'it1')",242412.59
"(('mk', 'ci'), ('mi', 'it1'))",903799.2
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('it1', ('mk', 'mi'))",440344.69
"(('it1', ('mk', 'mi')), 'ci')",467419.39
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"('mk', 'mi')",415118.3
"('ci', ('mk', 'mi'))",1268632.95
"('mk', 'ci')",1023150.06
"('it1', 'mi')",251427.34
"('it1', ('ci', ('mk', 'mi')))",1273372.2
"(('mk', 'ci'), ('it1', 'mi'))",1280259.34
"('mk', 'ci')",1023150.06
"('mi', 'it1')",242412.59
"(('mk', 'ci'), ('mi', 'it1'))",903799.2
"('mk', 'ci')",1023150.06
"('it1', 'mi')",251427.34
"(('mk', 'ci'), ('it1', 'mi'))",1280259.34
"('mk', 'ci')",1023150.06
"('it1', 'mi')",251427.34
"(('mk', 'ci'), ('it1', 'mi'))",1280259.34
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mk', ('it1', ('ci', 'mi')))",1023831.34
"('mk', ('ci', 'mi'))",1014951.24
"('it1', ('mk', ('ci', 'mi')))",1019690.49
"('mk', ('it1', ('ci', 'mi')))",1023831.34
"(('ci', 'mi'), 'mk')",1030088.87
"('it1', (('ci', 'mi'), 'mk'))",1034828.11
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('it1', 'mi')",251427.34
"(('it1', 'mi'), ('ci', 'mk'))",1791986.35
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"('mk', ('it1', ('ci', 'mi')))",1023831.34
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"(('ci', 'mi'), 'mk')",1030088.87
"('it1', (('ci', 'mi'), 'mk'))",1034828.11
"('mk', ('it1', ('ci', 'mi')))",1023831.34
"('mi', ('ci', 'mk'))",1228371.73
"(('mi', ('ci', 'mk')), 'it1')",1191244.96
"(('ci', 'mi'), 'mk')",1030088.87
"('it1', (('ci', 'mi'), 'mk'))",1034828.11
"(('mk', 'ci'), 'mi')",1295323.02
"('it1', (('mk', 'ci'), 'mi'))",1300062.27
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), 'mi')",1295323.02
