order,costs
"('mi_idx', 'mi')",365220.78
"('cc', 'cct2')",2818.24
"('mi_idx', 'cc')",55753.38
"(('cc', 'cct2'), ('mi_idx', 'mi'))",377194.15
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'cc')",55753.38
"('mi', ('mi_idx', 'cc'))",357278.56
"('cct2', ('mi', ('mi_idx', 'cc')))",362355.54
"('mi_idx', 'cc')",55753.38
"('mi', ('mi_idx', 'cc'))",357278.56
"('cct2', ('mi', ('mi_idx', 'cc')))",362355.54
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'cc')",55753.38
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'cc')",55753.38
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'mi')",365220.78
"('cc', 'cct2')",2818.24
"(('cc', 'cct2'), ('mi_idx', 'mi'))",377194.15
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'cc')",55753.38
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'cc')",55753.38
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'cc')",55753.38
"('cct2', ('mi_idx', 'cc'))",61103.79
"(('cct2', ('mi_idx', 'cc')), 'mi')",382003.92
"('mi_idx', 'mi')",365220.78
"('cc', ('mi_idx', 'mi'))",378501.68
"(('cc', ('mi_idx', 'mi')), 'cct2')",379424.62
"('mi_idx', 'cc')",55753.38
"('mi_idx', 'cc')",55753.38
"('mi', ('mi_idx', 'cc'))",357278.56
