order,costs
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('t', 'ci')",735159.89
"('cn', 'mc')",10385.9
"(('cn', 'mc'), ('t', 'ci'))",651509.85
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 't')",259591.28
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"('cn', ('mc', 't'))",202487.95
"('ci', ('cn', ('mc', 't')))",703144.07
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 'cn')",38342.76
"('ci', ('mc', 'cn'))",538998.52
"(('ci', ('mc', 'cn')), 't')",539060.58
"('mc', 'cn')",38342.76
"('ci', ('mc', 'cn'))",538998.52
"(('ci', ('mc', 'cn')), 't')",539060.58
"('mc', 't')",259591.28
"('ci', ('mc', 't'))",998087.63
"(('ci', ('mc', 't')), 'cn')",716787.66
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'cn')",596194.42
"((('mc', 'ci'), 'cn'), 't')",596256.49
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 't')",1004283.1
"('cn', (('mc', 'ci'), 't'))",796570.89
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 't')",1004283.1
"('cn', (('mc', 'ci'), 't'))",796570.89
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'cn')",596194.42
"((('mc', 'ci'), 'cn'), 't')",596256.49
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 't')",720254.05
"(('ci', 't'), 'mc')",809455.09
"((('ci', 't'), 'mc'), 'cn')",692032.38
"('cn', 'mc')",10385.9
"(('cn', 'mc'), 'ci')",10644.01
"((('cn', 'mc'), 'ci'), 't')",10731.32
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('cn', 'mc')",10385.9
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('cn', 'mc')",10385.9
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('cn', 'mc')",10385.9
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('cn', 'mc')",10385.9
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('cn', 'mc')",10385.9
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 't')",720254.05
"(('ci', 't'), 'mc')",809455.09
"((('ci', 't'), 'mc'), 'cn')",692032.38
"(('cn', 'mc'), 'ci')",10644.01
"((('cn', 'mc'), 'ci'), 't')",10731.32
"('ci', 't')",720254.05
"('cn', 'mc')",10385.9
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 't')",720254.05
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 't')",720254.05
"(('ci', 't'), 'mc')",809455.09
"((('ci', 't'), 'mc'), 'cn')",692032.38
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 't')",1004283.1
"('cn', (('mc', 'ci'), 't'))",796570.89
"('ci', 't')",720254.05
"('cn', 'mc')",10385.9
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 'mc')",798253.17
"(('ci', 'mc'), 't')",992388.1
"((('ci', 'mc'), 't'), 'cn')",711088.13
"('ci', 't')",720254.05
"('cn', 'mc')",10385.9
"(('ci', 't'), ('cn', 'mc'))",611772.26
"('ci', 't')",720254.05
"(('ci', 't'), 'mc')",809455.09
"((('ci', 't'), 'mc'), 'cn')",692032.38
"('ci', 'mc')",798253.17
"(('ci', 'mc'), 't')",992388.1
"((('ci', 'mc'), 't'), 'cn')",711088.13
"('ci', 't')",720254.05
"('cn', 'mc')",10385.9
"(('ci', 't'), ('cn', 'mc'))",611772.26
"(('mc', 'ci'), 't')",1004283.1
"((('mc', 'ci'), 't'), 'cn')",722983.13
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 't')",259591.28
"(('mc', 't'), 'ci')",844900.31
"((('mc', 't'), 'ci'), 'cn')",727477.6
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 'ci')",38525.97
"((('mc', 'cn'), 'ci'), 't')",38588.03
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', ('t', 'ci'))",818589.96
"('cn', ('mc', ('t', 'ci')))",732601.05
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 't')",1004283.1
"((('mc', 'ci'), 't'), 'cn')",722983.13
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 't')",1004283.1
"('cn', (('mc', 'ci'), 't'))",796570.89
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 'ci')",38525.97
"((('mc', 'cn'), 'ci'), 't')",38588.03
"('mc', 't')",259591.28
"('cn', ('mc', 't'))",202487.95
"('ci', ('cn', ('mc', 't')))",703144.07
"('mc', 'cn')",38342.76
"(('mc', 'cn'), 't')",38397.18
"((('mc', 'cn'), 't'), 'ci')",38564.46
"('mc', 't')",259591.28
"('cn', ('mc', 't'))",202487.95
"(('cn', ('mc', 't')), 'ci')",202730.22
"(('t', 'ci'), 'mc')",824360.93
"((('t', 'ci'), 'mc'), 'cn')",706938.22
"('mc', 't')",259591.28
"('cn', ('mc', 't'))",202487.95
"(('cn', ('mc', 't')), 'ci')",202730.22
"('mc', ('t', 'ci'))",818589.96
"('cn', ('mc', ('t', 'ci')))",732601.05
"('ci', 'mc')",798253.17
"(('ci', 'mc'), 't')",992388.1
"((('ci', 'mc'), 't'), 'cn')",711088.13
"('t', ('cn', 'mc'))",60973.52
"(('t', ('cn', 'mc')), 'ci')",61140.8
