order,costs
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mi')",397760.02
"('mk', ('mc', 'mi'))",681587.4
"(('mk', ('mc', 'mi')), 'cn')",715346.82
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"('mc', 'mk')",601578.58
"('mc', 'cn')",38342.76
"('mi', ('mc', 'mk'))",1088813.98
"('mk', 'mi')",415118.3
"('cn', ('mi', ('mc', 'mk')))",4496435.08
"(('mc', 'cn'), ('mk', 'mi'))",463494.18
"('mc', 'cn')",38342.76
"('mk', 'mi')",415118.3
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mc', 'mk')",601578.58
"('mi', ('mc', 'mk'))",1088813.98
"(('mi', ('mc', 'mk')), 'cn')",1027030.34
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'mi')",1082162.45
"((('mc', 'mk'), 'mi'), 'cn')",842380.15
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('cn', 'mc')",10385.9
"(('mk', 'mi'), ('cn', 'mc'))",430498.87
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"(('mc', 'mk'), 'mi')",1082162.45
"((('mc', 'mk'), 'mi'), 'cn')",842380.15
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('cn', 'mc')",10385.9
"(('mk', 'mi'), ('cn', 'mc'))",430498.87
"('mk', 'mi')",415118.3
"('cn', 'mc')",10385.9
"(('mk', 'mi'), ('cn', 'mc'))",430498.87
"('mk', 'mi')",415118.3
"('cn', 'mc')",10385.9
"(('mk', 'mi'), ('cn', 'mc'))",430498.87
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('cn', 'mc')",10385.9
"(('cn', 'mc'), 'mk')",10823.3
"('mi', (('cn', 'mc'), 'mk'))",252411.67
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('mk', 'mi')",415118.3
"('mc', 'cn')",38342.76
"(('mk', 'mi'), ('mc', 'cn'))",458455.73
"('cn', 'mc')",10385.9
"('mi', 'mk')",504818.3
"(('mi', 'mk'), ('cn', 'mc'))",360872.11
"('mi', 'mk')",504818.3
"('mc', ('mi', 'mk'))",834724.5
"('cn', ('mc', ('mi', 'mk')))",4242345.6
"('mc', ('mk', 'mi'))",705375.32
"(('mc', ('mk', 'mi')), 'cn')",739134.74
"('mk', 'mc')",510815.94
"('cn', ('mk', 'mc'))",6083144.98
"('mi', ('cn', ('mk', 'mc')))",6318173.4
"('mk', 'mc')",510815.94
"('cn', ('mk', 'mc'))",6083144.98
"('mi', ('cn', ('mk', 'mc')))",6318173.4
