order,costs
"('cn', 'mc')",10347.09
"(('cn', 'mc'), 'mi_idx')",10351.68
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"('mi_idx', ('cn', ('t', 'mc')))",82088.21
"('t', 'mi_idx')",59499.19
"('cn', 'mc')",10347.09
"(('cn', 'mc'), ('t', 'mi_idx'))",68826.28
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"('mi_idx', ('cn', ('t', 'mc')))",82088.21
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mi_idx')",59499.19
"('cn', 'mc')",10347.09
"(('cn', 'mc'), ('t', 'mi_idx'))",68826.28
"('mi_idx', 't')",73419.73
"('mc', 'cn')",38212.24
"(('mi_idx', 't'), ('mc', 'cn'))",111641.38
"('t', 'mi_idx')",59499.19
"('mc', 'cn')",38212.24
"(('t', 'mi_idx'), ('mc', 'cn'))",96690.68
"('t', 'mi_idx')",59499.19
"('mc', 'cn')",38212.24
"(('t', 'mi_idx'), ('mc', 'cn'))",96690.68
"('t', 'mi_idx')",59499.19
"('cn', 'mc')",10347.09
"(('cn', 'mc'), ('t', 'mi_idx'))",68826.28
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"('mi_idx', ('cn', ('t', 'mc')))",82088.21
"('t', 'mi_idx')",59499.19
"('mc', 'cn')",38212.24
"(('t', 'mi_idx'), ('mc', 'cn'))",96690.68
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mi_idx')",59499.19
"('mc', 'cn')",38212.24
"(('t', 'mi_idx'), ('mc', 'cn'))",96690.68
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"(('cn', ('t', 'mc')), 'mi_idx')",66215.78
"('t', 'mi_idx')",59499.19
"('mc', 'cn')",38212.24
"(('t', 'mi_idx'), ('mc', 'cn'))",96690.68
"('mi_idx', 't')",73419.73
"('mc', 'cn')",38212.24
"('t', 'mc')",61446.01
"(('mc', 'cn'), ('mi_idx', 't'))",111641.89
"('mi_idx', ('t', 'mc'))",77320.29
"(('mi_idx', ('t', 'mc')), 'cn')",77321.21
"('t', 'mc')",61446.01
"('mi_idx', ('t', 'mc'))",77320.29
"(('mi_idx', ('t', 'mc')), 'cn')",77321.21
"('t', 'mc')",61446.01
"('mi_idx', ('t', 'mc'))",77320.29
"(('mi_idx', ('t', 'mc')), 'cn')",77321.21
"('t', 'mc')",61446.01
"('cn', ('t', 'mc'))",66213.73
"('mi_idx', ('cn', ('t', 'mc')))",82088.21
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"((('mc', 'mi_idx'), 'cn'), 't')",62111.86
"('mc', 't')",83938.68
"('mi_idx', ('mc', 't'))",99813.97
"('cn', ('mi_idx', ('mc', 't')))",104580.98
"('mc', 't')",83938.68
"('mi_idx', ('mc', 't'))",99813.97
"('cn', ('mi_idx', ('mc', 't')))",104580.98
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"((('mc', 'mi_idx'), 'cn'), 't')",62111.86
"('mc', 't')",83938.68
"('mi_idx', ('mc', 't'))",99813.97
"('cn', ('mi_idx', ('mc', 't')))",104580.98
"('mc', 'mi_idx')",65082.13
"(('mc', 'mi_idx'), 'cn')",62110.82
"((('mc', 'mi_idx'), 'cn'), 't')",62111.86
"('mi_idx', 'mc')",58113.95
"('t', ('mi_idx', 'mc'))",107865.84
"(('t', ('mi_idx', 'mc')), 'cn')",107866.76
"('mc', 't')",83938.68
