order,costs
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"((('mi_idx', 'mi'), 'mk'), 'it1')",710103.84
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"((('mi_idx', 'mi'), 'mk'), 'it1')",710103.84
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"('it1', (('mi_idx', 'mi'), 'mk'))",853197.17
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"((('mi_idx', 'mi'), 'mk'), 'it1')",710103.84
"('mi_idx', 'mk')",370800.49
"(('mi_idx', 'mk'), 'mi')",806052.95
"((('mi_idx', 'mk'), 'mi'), 'it1')",745346.23
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"('it1', (('mi_idx', 'mi'), 'mk'))",853197.17
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"(('mk', ('mi_idx', 'mi')), 'it1')",708695.31
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"((('mi_idx', 'mi'), 'mk'), 'it1')",710103.84
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"('it1', (('mi_idx', 'mi'), 'mk'))",853197.17
"('mi_idx', 'mk')",370800.49
"('mi', ('mi_idx', 'mk'))",813763.24
"(('mi', ('mi_idx', 'mk')), 'it1')",752096.51
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"('it1', ('mk', ('mi_idx', 'mi')))",764525.43
"('mi', 'mk')",609135.38
"(('mi', 'mk'), 'mi_idx')",863282.81
"((('mi', 'mk'), 'mi_idx'), 'it1')",546534.21
"('mi', 'mk')",609135.38
"(('mi', 'mk'), 'mi_idx')",863282.81
"((('mi', 'mk'), 'mi_idx'), 'it1')",546534.21
"('mk', 'mi')",502112.58
"(('mk', 'mi'), 'mi_idx')",756483.2
"((('mk', 'mi'), 'mi_idx'), 'it1')",704486.41
"('mk', 'mi')",502112.58
"('mi_idx', 'mi')",365220.78
"(('mk', 'mi'), 'mi_idx')",756483.2
"(('mi_idx', 'mi'), 'mk')",683205.84
"('it1', (('mk', 'mi'), 'mi_idx'))",926474.58
"((('mi_idx', 'mi'), 'mk'), 'it1')",710103.84
"('mi_idx', 'mi')",365220.78
"('mk', ('mi_idx', 'mi'))",693140.3
"(('mk', ('mi_idx', 'mi')), 'it1')",708695.31
"('mi_idx', 'mk')",370800.49
"('mi', ('mi_idx', 'mk'))",813763.24
"(('mi', ('mi_idx', 'mk')), 'it1')",752096.51
"('mi_idx', 'mi')",365220.78
"(('mi_idx', 'mi'), 'mk')",683205.84
"('it1', (('mi_idx', 'mi'), 'mk'))",853197.17
"('mi_idx', 'mk')",370800.49
"('mi', 'it1')",273506.12
"(('mi_idx', 'mk'), ('mi', 'it1'))",625803.7
"('mi_idx', 'mk')",370800.49
"('mi', 'it1')",273506.12
"(('mi_idx', 'mk'), ('mi', 'it1'))",625803.7
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('mi', 'it1')",273506.12
"(('mi_idx', 'mk'), ('mi', 'it1'))",625803.7
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"(('mi_idx', 'mi'), 'it1')",366720.8
"('mk', (('mi_idx', 'mi'), 'it1'))",492781.99
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('mi', 'it1')",273506.12
"(('mi', 'it1'), ('mi_idx', 'mk'))",716559.32
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"(('mi_idx', 'mi'), 'it1')",366720.8
"('mk', (('mi_idx', 'mi'), 'it1'))",492781.99
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('mi_idx', 'mi')",365220.78
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"('mi_idx', 'mi')",365220.78
"('it1', ('mi_idx', 'mi'))",372096.82
"(('it1', ('mi_idx', 'mi')), 'mk')",381187.06
"(('mk', 'mi'), 'it1')",513805.93
"((('mk', 'mi'), 'it1'), 'mi_idx')",533825.29
"('mi_idx', 'mk')",370800.49
"('mi', 'it1')",273506.12
"(('mi_idx', 'mk'), ('mi', 'it1'))",625803.7
"('mi_idx', ('mk', 'mi'))",749195.86
"(('mi_idx', ('mk', 'mi')), 'it1')",764750.86
"('mi_idx', 'mk')",370800.49
"('mi', 'it1')",273506.12
"(('mi', 'it1'), ('mi_idx', 'mk'))",716559.32
"('mi_idx', 'mk')",370800.49
"('mi', 'it1')",273506.12
"(('mi', 'it1'), ('mi_idx', 'mk'))",716559.32
