order,costs
"('mc1', 't1')",259591.28
"('it1', 'mi_idx1')",19579.36
"(('it1', 'mi_idx1'), ('mc1', 't1'))",414195.12
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 'mc1')",252013.18
"('it1', ('mi_idx1', 'mc1'))",343163.24
"(('it1', ('mi_idx1', 'mc1')), 't1')",377104.9
"('mi_idx1', 'it1')",17507.9
"('mc1', ('mi_idx1', 'it1'))",56687.29
"(('mc1', ('mi_idx1', 'it1')), 't1')",70829.16
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 't1')",164975.98
"('it1', ('mi_idx1', 't1'))",182228.83
"(('it1', ('mi_idx1', 't1')), 'mc1')",189622.74
"('mi_idx1', 'it1')",17507.9
