order,costs
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mc2')",6405.33
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"(('lt', ('ml', 'mc2')), 'mc1')",87936.33
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"(('lt', ('ml', 'mc2')), 'mc1')",87936.33
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"(('lt', ('ml', 'mc2')), 'mc1')",87936.33
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc1')",7598.63
"('lt', ('ml', 'mc1'))",9581.08
"('mc2', ('lt', ('ml', 'mc1')))",99589.54
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mc1', ('lt', ('ml', 'mc2')))",70246.76
