order,costs
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('ml', 'mi_idx1')",3917.83
"('lt', ('ml', 'mi_idx1'))",5106.93
"(('lt', ('ml', 'mi_idx1')), 'mc2')",24673.22
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"(('lt', ('ml', 'mc2')), 'mi_idx1')",76524.32
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"(('lt', ('ml', 'mc2')), 'mi_idx1')",76524.32
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('ml', 'mc2')",61846.74
"('lt', ('ml', 'mc2'))",63829.19
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('ml', 'mc2')",61846.74
"('mi_idx1', ('ml', 'mc2'))",71808.06
"(('mi_idx1', ('ml', 'mc2')), 'lt')",71395.52
"('ml', 'mi_idx1')",3917.83
"('mc2', ('ml', 'mi_idx1'))",152982.77
"('lt', ('mc2', ('ml', 'mi_idx1')))",159260.45
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'mi_idx1')",3917.83
"('mc2', ('ml', 'mi_idx1'))",152982.77
"('lt', ('mc2', ('ml', 'mi_idx1')))",159260.45
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"('mi_idx1', (('ml', 'mc2'), 'lt'))",65454.32
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'mc2')",61846.74
"('mi_idx1', ('ml', 'mc2'))",71808.06
"('lt', ('mi_idx1', ('ml', 'mc2')))",78085.76
"('ml', 'mc2')",61846.74
"('mi_idx1', ('ml', 'mc2'))",71808.06
"('lt', ('mi_idx1', ('ml', 'mc2')))",78085.76
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"('mi_idx1', (('ml', 'mc2'), 'lt'))",65454.32
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"('mi_idx1', (('ml', 'mc2'), 'lt'))",65454.32
"('ml', 'lt')",561.48
"('mi_idx1', ('ml', 'lt'))",2826.83
"('mc2', ('mi_idx1', ('ml', 'lt')))",64390.53
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"('mi_idx1', ('lt', ('ml', 'mc2')))",66921.28
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'mi_idx1')",69693.72
"((('ml', 'mc2'), 'mi_idx1'), 'lt')",71323.35
"('ml', 'mc2')",61846.74
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"(('ml', 'mc2'), 'mi_idx1')",69693.72
"((('ml', 'mc2'), 'mi_idx1'), 'lt')",71323.35
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"(('ml', 'mc2'), 'lt')",62361.99
"((('ml', 'mc2'), 'lt'), 'mi_idx1')",66955.96
"('ml', 'lt')",561.48
"('mi_idx1', ('ml', 'lt'))",2826.83
"('mc2', ('mi_idx1', ('ml', 'lt')))",64390.53
"(('mi_idx1', ('ml', 'lt')), 'mc2')",14237.4
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'mc2')",6737.58
"((('ml', 'lt'), 'mc2'), 'mi_idx1')",9820.71
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mi_idx1')",3463.73
"('mc2', (('lt', 'ml'), 'mi_idx1'))",100999.98
"('mc2', 'ml')",130520.06
"(('mc2', 'ml'), 'mi_idx1')",150701.26
"('lt', (('mc2', 'ml'), 'mi_idx1'))",156978.94
