order,costs
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx1', 'ml')",4317.99
"('lt', ('mi_idx1', 'ml'))",5507.09
"(('lt', ('mi_idx1', 'ml')), 'mi_idx2')",15741.01
"('mi_idx1', 'ml')",4317.99
"('lt', ('mi_idx1', 'ml'))",5507.09
"(('lt', ('mi_idx1', 'ml')), 'mi_idx2')",15741.01
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx1', 'ml')",4317.99
"(('mi_idx1', 'ml'), 'lt')",4627.41
"((('mi_idx1', 'ml'), 'lt'), 'mi_idx2')",9189.72
"('mi_idx1', 'ml')",4317.99
"('lt', ('mi_idx1', 'ml'))",5507.09
"(('lt', ('mi_idx1', 'ml')), 'mi_idx2')",15741.01
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('lt', 'ml')",229.23
"(('lt', 'ml'), 'mi_idx2')",3459.57
"((('lt', 'ml'), 'mi_idx2'), 'mi_idx1')",8336.55
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx1', 'ml')",4317.99
"('lt', ('mi_idx1', 'ml'))",5507.09
"(('lt', ('mi_idx1', 'ml')), 'mi_idx2')",15741.01
"('mi_idx1', 'ml')",4317.99
"('lt', ('mi_idx1', 'ml'))",5507.09
"(('lt', ('mi_idx1', 'ml')), 'mi_idx2')",15741.01
"('mi_idx2', 'ml')",40954.89
"('mi_idx1', ('mi_idx2', 'ml'))",50671.01
"('lt', ('mi_idx1', ('mi_idx2', 'ml')))",52463.59
"('mi_idx1', 'ml')",4317.99
"(('mi_idx1', 'ml'), 'lt')",4627.41
"((('mi_idx1', 'ml'), 'lt'), 'mi_idx2')",9189.72
"('ml', 'lt')",561.48
"('mi_idx2', ('ml', 'lt'))",35730.81
"('mi_idx1', ('mi_idx2', ('ml', 'lt')))",38089.17
"('mi_idx2', 'ml')",40954.89
"('mi_idx1', ('mi_idx2', 'ml'))",50671.01
"('lt', ('mi_idx1', ('mi_idx2', 'ml')))",52463.59
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx2', 'ml')",40954.89
"('mi_idx1', ('mi_idx2', 'ml'))",50671.01
"('lt', ('mi_idx1', ('mi_idx2', 'ml')))",52463.59
"('mi_idx2', 'ml')",40954.89
"('mi_idx1', ('mi_idx2', 'ml'))",50671.01
"('lt', ('mi_idx1', ('mi_idx2', 'ml')))",52463.59
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('mi_idx2', 'ml')",40954.89
"('mi_idx1', ('mi_idx2', 'ml'))",50671.01
"('lt', ('mi_idx1', ('mi_idx2', 'ml')))",52463.59
"('mi_idx2', 'ml')",40954.89
"('lt', ('mi_idx2', 'ml'))",41521.56
"(('lt', ('mi_idx2', 'ml')), 'mi_idx1')",46398.55
"('ml', 'lt')",561.48
"('mi_idx2', ('ml', 'lt'))",35730.81
"(('mi_idx2', ('ml', 'lt')), 'mi_idx1')",38308.34
"('ml', 'mi_idx1')",3917.83
"('lt', ('ml', 'mi_idx1'))",5106.93
"('mi_idx2', ('lt', ('ml', 'mi_idx1')))",38238.9
"('ml', 'mi_idx1')",3917.83
"('mi_idx2', ('ml', 'mi_idx1'))",62087.51
"(('mi_idx2', ('ml', 'mi_idx1')), 'lt')",51986.88
"('ml', 'mi_idx1')",3917.83
"('mi_idx2', ('ml', 'mi_idx1'))",62087.51
"(('mi_idx2', ('ml', 'mi_idx1')), 'lt')",51986.88
"('ml', 'mi_idx2')",32616.67
"('lt', ('ml', 'mi_idx2'))",33183.34
"(('lt', ('ml', 'mi_idx2')), 'mi_idx1')",38060.33
"('ml', 'lt')",561.48
"('mi_idx2', ('ml', 'lt'))",35730.81
"(('mi_idx2', ('ml', 'lt')), 'mi_idx1')",38308.34
"('ml', 'mi_idx1')",3917.83
"('lt', ('ml', 'mi_idx1'))",5106.93
"('mi_idx2', ('lt', ('ml', 'mi_idx1')))",38238.9
"('ml', 'mi_idx1')",3917.83
"('lt', ('ml', 'mi_idx1'))",5106.93
