order,costs
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('n', 'ci')",211615.09
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"('mk', (('t', 'ci'), 'n'))",210855.1
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"('mk', (('t', 'ci'), 'n'))",210855.1
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"('mk', (('t', 'ci'), 'n'))",210855.1
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('t', 'ci')",157847.27
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('t', 'ci')",157847.27
"(('t', 'ci'), 'mk')",181549.58
"('n', 'ci')",211615.09
"('n', (('t', 'ci'), 'mk'))",254112.23
"(('n', 'ci'), 't')",211939.82
"('mk', (('n', 'ci'), 't'))",262339.09
"('n', 'ci')",211615.09
"('t', 'mk')",58076.54
"(('n', 'ci'), ('t', 'mk'))",267994.34
"('n', 'ci')",211615.09
"('t', 'mk')",58076.54
"(('n', 'ci'), ('t', 'mk'))",267994.34
"('mk', 't')",98916.02
"(('mk', 't'), 'ci')",105086.36
"((('mk', 't'), 'ci'), 'n')",110950.18
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('t', 'ci')",157847.27
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('mk', ('t', 'ci'))",222539.75
"(('mk', ('t', 'ci')), 'n')",227208.69
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"('mk', ('n', ('t', 'ci')))",282963.3
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('ci', 'n')",522845.81
"('t', 'mk')",58076.54
"(('t', 'mk'), ('ci', 'n'))",579225.17
"('n', 'ci')",211615.09
"(('n', 'ci'), 'mk')",215300.09
"('t', (('n', 'ci'), 'mk'))",263140.15
"('t', 'mk')",58076.54
"('n', 'ci')",211615.09
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('t', 'ci')",157847.27
"('n', ('t', 'ci'))",232564.73
"(('n', ('t', 'ci')), 'mk')",232566.71
"('t', 'ci')",157847.27
"('n', ('t', 'ci'))",232564.73
"('mk', ('n', ('t', 'ci')))",282963.3
"('t', 'mk')",58076.54
"('t', 'ci')",157847.27
"('ci', ('t', 'mk'))",524004.33
"('n', ('t', 'ci'))",232564.73
"('n', ('ci', ('t', 'mk')))",596566.98
"('mk', ('n', ('t', 'ci')))",282963.3
"('t', 'ci')",157847.27
"('n', ('t', 'ci'))",232564.73
"('mk', ('n', ('t', 'ci')))",282963.3
"('mk', ('t', 'ci'))",222539.75
"('n', ('mk', ('t', 'ci')))",295102.71
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('mk', ('n', ('t', 'ci')))",282963.3
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('mk', 't')",98916.02
"('ci', 'n')",522845.81
"(('ci', 'n'), ('mk', 't'))",620065.24
"('mk', 'ci')",3553063.88
"('t', ('mk', 'ci'))",3321491.54
"(('t', ('mk', 'ci')), 'n')",3326160.47
"('n', 'ci')",211615.09
"(('n', 'ci'), 'mk')",215300.09
"((('n', 'ci'), 'mk'), 't')",216740.04
"('mk', ('n', ('t', 'ci')))",282963.3
"(('t', 'ci'), 'mk')",181549.58
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('n', ('t', 'ci'))",232564.73
"('mk', ('n', ('t', 'ci')))",282963.3
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('t', 'ci'), 'mk')",181549.58
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('n', 'ci')",211615.09
"(('n', 'ci'), 't')",211939.82
"('mk', (('n', 'ci'), 't'))",262339.09
"((('t', 'ci'), 'mk'), 'n')",186218.46
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('n', 'ci')",211615.09
"(('n', 'ci'), 'mk')",215300.09
"('t', (('n', 'ci'), 'mk'))",263140.15
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"('mk', (('ci', 't'), 'n'))",550203.7
"('ci', 't')",497195.17
"('n', ('ci', 't'))",571912.63
"('mk', ('n', ('ci', 't')))",622311.91
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('mk', 'ci')",3553063.88
"('t', ('mk', 'ci'))",3321491.54
"(('t', ('mk', 'ci')), 'n')",3326160.47
"('mk', 'ci')",3553063.88
"('n', ('mk', 'ci'))",3335889.06
"(('n', ('mk', 'ci')), 't')",3337329.02
"('n', 'ci')",211615.09
"(('n', 'ci'), ('t', 'mk'))",267994.34
"(('t', 'ci'), 'mk')",181549.58
"('n', (('t', 'ci'), 'mk'))",254112.23
"('mk', 'ci')",3553063.88
"('n', ('mk', 'ci'))",3335889.06
"('t', ('n', ('mk', 'ci')))",3383729.12
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"('mk', 'ci')",3553063.88
"('n', ('mk', 'ci'))",3335889.06
"('t', ('n', ('mk', 'ci')))",3383729.12
"('n', 'ci')",211615.09
"(('n', 'ci'), 't')",211939.82
"((('n', 'ci'), 't'), 'mk')",211941.8
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"('t', 'mk')",58076.54
"(('t', 'mk'), 'ci')",64246.88
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('mk', ('ci', 't'))",568798.46
"(('mk', ('ci', 't')), 'n')",579728.51
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('mk', 'ci')",3553063.88
"(('mk', 'ci'), 't')",1452422.25
"((('mk', 'ci'), 't'), 'n')",1463352.31
"('mk', 'ci')",3553063.88
"('n', ('mk', 'ci'))",3335889.06
"('t', ('n', ('mk', 'ci')))",3383729.12
"('mk', 'ci')",3553063.88
"('t', ('mk', 'ci'))",3321491.54
"(('t', ('mk', 'ci')), 'n')",3326160.47
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 't')",2819566.38
"((('ci', 'mk'), 't'), 'n')",2830496.44
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"(('t', 'mk'), 'ci')",64246.88
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('ci', 'n')",522845.81
"(('ci', 'n'), 't')",523170.54
"((('ci', 'n'), 't'), 'mk')",523172.52
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('ci', 'n')",522845.81
"('t', ('ci', 'n'))",571773.74
"(('t', ('ci', 'n')), 'mk')",571775.73
"('mk', 'ci')",3553063.88
"('n', ('mk', 'ci'))",3335889.06
"('t', ('n', ('mk', 'ci')))",3383729.12
"('ci', 't')",497195.17
"('mk', ('ci', 't'))",568798.46
"(('mk', ('ci', 't')), 'n')",579728.51
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('n', 'ci')",211615.09
"('t', 'mk')",58076.54
"(('n', 'ci'), ('t', 'mk'))",267994.34
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"('ci', 't')",497195.17
"(('ci', 't'), 'n')",499804.43
"((('ci', 't'), 'n'), 'mk')",499806.42
"('n', ('mk', 'ci'))",3335889.06
"(('n', ('mk', 'ci')), 't')",3337329.02
"('n', ('mk', 'ci'))",3335889.06
"(('n', ('mk', 'ci')), 't')",3337329.02
"('n', 'ci')",211615.09
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('mk', 'ci')",3553063.88
"('t', ('mk', 'ci'))",3321491.54
"('n', ('t', ('mk', 'ci')))",3394053.79
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('n', 'ci')",211615.09
"('t', ('n', 'ci'))",260543.02
"(('t', ('n', 'ci')), 'mk')",260545.01
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('n', 'ci'), ('t', 'mk'))",267994.34
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('mk', 't')",98916.02
"(('mk', 't'), 'ci')",105086.36
"((('mk', 't'), 'ci'), 'n')",110950.18
"((('t', 'ci'), 'n'), 'mk')",160458.51
"((('t', 'ci'), 'mk'), 'n')",186218.46
"('t', 'mk')",58076.54
"(('t', 'mk'), 'ci')",64246.88
"('t', 'mk')",58076.54
"(('t', 'mk'), 'ci')",64246.88
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('t', 'mk')",58076.54
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('n', 'ci')",211615.09
"('t', ('n', 'ci'))",260543.02
"(('t', ('n', 'ci')), 'mk')",260545.01
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('ci', 'n')",522845.81
"(('t', 'mk'), ('ci', 'n'))",579225.17
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('n', 'ci')",211615.09
"(('t', 'mk'), ('n', 'ci'))",267994.45
"('ci', 'n')",522845.81
"(('t', 'mk'), ('ci', 'n'))",579225.17
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"('t', 'mk')",58076.54
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'mk'), 'ci')",64246.88
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('t', 'ci'), 'n')",160456.53
"((('t', 'ci'), 'n'), 'mk')",160458.51
"(('n', 'ci'), 't')",211939.82
"((('n', 'ci'), 't'), 'mk')",211941.8
"('t', 'mk')",58076.54
"('n', 'ci')",211615.09
"(('t', 'mk'), ('n', 'ci'))",267994.45
