order,costs
"('ml', 'lt')",561.57
"(('ml', 'lt'), 'ci')",255345.6
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('ci', 'ml')",1638187.82
"('lt', ('ci', 'ml'))",1744370.53
"(('lt', ('ci', 'ml')), 'an')",1830041.68
"('ci', 'ml')",1638187.82
"('lt', ('ci', 'ml'))",1744370.53
"(('lt', ('ci', 'ml')), 'an')",1830041.68
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"('an', (('lt', 'ml'), 'ci'))",352920.45
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"('an', (('lt', 'ml'), 'ci'))",352920.45
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"('an', (('lt', 'ml'), 'ci'))",352920.45
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"((('lt', 'ml'), 'ci'), 'an')",339587.91
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"('an', (('lt', 'ml'), 'ci'))",352920.45
"('ci', 'ml')",1638187.82
"('lt', ('ci', 'ml'))",1744370.53
"('an', ('lt', ('ci', 'ml')))",1843374.22
"('lt', 'ml')",666.54
"(('lt', 'ml'), 'ci')",253916.76
"('ci', 'ml')",1638187.82
"('an', (('lt', 'ml'), 'ci'))",352920.45
"('lt', ('ci', 'ml'))",1744370.53
"('an', ('lt', ('ci', 'ml')))",1843374.22
