order,costs
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 'mc')",567254.2
"('n1', (('an1', 'ci'), 'mc'))",650168.04
"('an1', 'n1')",98953.27
"(('an1', 'n1'), 'ci')",99405.2
"((('an1', 'n1'), 'ci'), 'mc')",99417.47
"('an1', 'n1')",98953.27
"('ci', ('an1', 'n1'))",541286.9
"('an1', 'ci')",526253.4
"(('ci', ('an1', 'n1')), 'mc')",541299.16
"(('an1', 'ci'), 'n1')",609632.95
"((('an1', 'ci'), 'n1'), 'mc')",609668.07
"('an1', 'n1')",98953.27
"(('an1', 'n1'), 'ci')",99405.2
"((('an1', 'n1'), 'ci'), 'mc')",99417.47
"('an1', 'ci')",526253.4
