order,costs
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"('rt', (('ci', 'mc'), 'n1'))",481464.12
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'mc')",478825.96
"(('ci', 'mc'), 'n1')",481462.96
"((('ci', 'mc'), 'n1'), 'rt')",481463.14
"('ci', 'n1')",525036.78
"(('ci', 'n1'), 'mc')",525042.36
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"('ci', 'n1')",525036.78
"(('ci', 'n1'), 'mc')",525042.36
"('ci', 'n1')",525036.78
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"(('ci', 'n1'), 'mc')",525042.36
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"('ci', 'n1')",525036.78
"(('ci', 'n1'), 'mc')",525042.36
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"('ci', 'n1')",525036.78
"(('ci', 'n1'), 'mc')",525042.36
"('ci', 'n1')",525036.78
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"(('ci', 'n1'), 'mc')",525042.36
"((('ci', 'n1'), 'mc'), 'rt')",525042.54
"('n1', 'ci')",214921.76
"('rt', ('n1', 'ci'))",214923.02
"(('rt', ('n1', 'ci')), 'mc')",214924.62
"('n1', 'ci')",214921.76
"('rt', ('n1', 'ci'))",214923.02
"(('rt', ('n1', 'ci')), 'mc')",214924.62
"('n1', 'ci')",214921.76
"('rt', ('n1', 'ci'))",214923.02
"('mc', ('rt', ('n1', 'ci')))",253999.81
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"('n1', ('rt', ('mc', 'ci')))",563180.28
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"('mc', ('n1', ('ci', 'rt')))",564296.91
"('n1', 'ci')",214921.76
"('rt', ('n1', 'ci'))",214923.02
"(('rt', ('n1', 'ci')), 'mc')",214924.62
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"(('rt', ('mc', 'ci')), 'n1')",479790.38
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"('mc', ('n1', ('ci', 'rt')))",564296.91
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"('n1', ('rt', ('mc', 'ci')))",563180.28
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"(('rt', ('mc', 'ci')), 'n1')",479790.38
"('n1', 'ci')",214921.76
"('rt', ('n1', 'ci'))",214923.02
"(('rt', ('n1', 'ci')), 'mc')",214924.62
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"('n1', ('rt', ('mc', 'ci')))",563180.28
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"('n1', ('rt', ('mc', 'ci')))",563180.28
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"('mc', ('n1', ('ci', 'rt')))",564296.91
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"('mc', ('n1', ('ci', 'rt')))",564296.91
"('mc', 'ci')",479192.95
"('rt', ('mc', 'ci'))",479221.32
"('n1', ('rt', ('mc', 'ci')))",563180.28
"('ci', 'rt')",444050.88
"('mc', ('ci', 'rt'))",478515.13
"(('mc', ('ci', 'rt')), 'n1')",478735.98
"('ci', 'rt')",444050.88
"('mc', ('ci', 'rt'))",478515.13
"(('mc', ('ci', 'rt')), 'n1')",478735.98
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"(('n1', ('ci', 'rt')), 'mc')",525221.73
"('ci', 'rt')",444050.88
"('mc', ('ci', 'rt'))",478515.13
"(('mc', ('ci', 'rt')), 'n1')",478735.98
"('ci', 'rt')",444050.88
"('mc', ('ci', 'rt'))",478515.13
"(('mc', ('ci', 'rt')), 'n1')",478735.98
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"(('n1', ('ci', 'rt')), 'mc')",525221.73
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"(('n1', ('ci', 'rt')), 'mc')",525221.73
"('ci', 'rt')",444050.88
"('n1', ('ci', 'rt'))",525220.13
"(('n1', ('ci', 'rt')), 'mc')",525221.73
"('mc', ('n1', 'ci'))",250092.1
"('rt', ('mc', ('n1', 'ci')))",250093.26
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"(('mc', ('rt', 'ci')), 'n1')",136707.08
"('n1', 'ci')",214921.76
"('mc', ('n1', 'ci'))",250092.1
"('rt', ('mc', ('n1', 'ci')))",250093.26
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"('n1', ('mc', ('rt', 'ci')))",218256.79
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"('n1', ('mc', ('rt', 'ci')))",218256.79
"(('ci', 'rt'), 'mc')",448393.32
"('n1', (('ci', 'rt'), 'mc'))",532352.28
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"(('mc', ('rt', 'ci')), 'n1')",136707.08
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"('n1', ('mc', ('rt', 'ci')))",218256.79
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"(('mc', ('rt', 'ci')), 'n1')",136707.08
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"(('mc', ('rt', 'ci')), 'n1')",136707.08
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"('n1', ('mc', ('rt', 'ci')))",218256.79
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",136486.23
"(('mc', ('rt', 'ci')), 'n1')",136707.08
"(('rt', 'ci'), 'n1')",124231.19
"((('rt', 'ci'), 'n1'), 'mc')",124232.79
"('rt', 'ci')",100173.86
