order,costs
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"('chn', ('mc', ('ci', 'an')))",978254.28
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"('chn', ('mc', ('ci', 'an')))",978254.28
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
"('an', ('mc', ('chn', 'ci')))",992974.03
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",906917.18
