order,costs
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'an')",678688.43
"(('ci', 'an'), 'chn')",623201.79
"((('ci', 'an'), 'chn'), 'rt')",547250.99
"('ci', 'an')",678688.43
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"(('ci', 'an'), 'chn')",623201.79
"('chn', (('ci', 'an'), 'rt'))",671649.13
"((('ci', 'an'), 'chn'), 'rt')",547250.99
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"((('ci', 'an'), 'rt'), 'chn')",532007.45
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"('chn', (('ci', 'an'), 'rt'))",671649.13
"('ci', 'an')",678688.43
"(('ci', 'an'), 'chn')",623201.79
"((('ci', 'an'), 'chn'), 'rt')",547250.99
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"(('chn', ('ci', 'rt')), 'an')",599825.44
"('rt', 'ci')",100744.98
"('chn', ('rt', 'ci'))",215029.02
"('an', ('chn', ('rt', 'ci')))",280683.37
"('ci', 'rt')",450215.89
"(('ci', 'rt'), 'an')",472551.31
"((('ci', 'rt'), 'an'), 'chn')",482320.66
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"(('chn', ('ci', 'rt')), 'an')",599825.44
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"('an', ('chn', ('ci', 'rt')))",649308.44
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"(('chn', ('ci', 'rt')), 'an')",599825.44
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"(('chn', ('ci', 'rt')), 'an')",599825.44
"('ci', 'rt')",450215.89
"(('ci', 'rt'), 'an')",472551.31
"((('ci', 'rt'), 'an'), 'chn')",482320.66
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'rt')",450215.89
"('chn', ('ci', 'rt'))",583654.09
"(('chn', ('ci', 'rt')), 'an')",599825.44
"('rt', (('ci', 'chn'), 'an'))",610053.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"('an', ('ci', 'chn'))",633266.6
"('rt', ('an', ('ci', 'chn')))",643794.8
"('ci', 'chn')",501307.18
"('an', ('ci', 'chn'))",633266.6
"('rt', ('an', ('ci', 'chn')))",643794.8
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'chn')",501307.18
"(('ci', 'chn'), 'an')",599525.71
"((('ci', 'chn'), 'an'), 'rt')",523574.91
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"('chn', (('ci', 'an'), 'rt'))",671649.13
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"((('ci', 'an'), 'rt'), 'chn')",532007.45
"('ci', 'an')",678688.43
"('rt', ('ci', 'an'))",700373.98
"('chn', ('rt', ('ci', 'an')))",849784.72
"('ci', 'an')",678688.43
"('rt', ('ci', 'an'))",700373.98
"('chn', ('rt', ('ci', 'an')))",849784.72
"('ci', 'an')",678688.43
"('rt', ('ci', 'an'))",700373.98
"(('rt', ('ci', 'an')), 'chn')",719689.76
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"('an', ('ci', 'chn'))",633266.6
"('rt', ('an', ('ci', 'chn')))",643794.8
"('ci', 'an')",678688.43
"('rt', ('ci', 'an'))",700373.98
"('chn', ('rt', ('ci', 'an')))",849784.72
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"('ci', 'an')",678688.43
"('rt', ('ci', 'an'))",700373.98
"('chn', ('rt', ('ci', 'an')))",849784.72
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"('rt', ('ci', 'chn'))",505677.86
"('an', ('rt', ('ci', 'chn')))",571332.21
"('an', ('ci', 'chn'))",633266.6
"('rt', ('an', ('ci', 'chn')))",643794.8
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"('an', ('rt', ('chn', 'ci')))",809409.77
"('an', 'ci')",695158.38
"('chn', ('an', 'ci'))",1229037.88
"(('chn', ('an', 'ci')), 'rt')",1232030.48
"('chn', 'ci')",739384.74
"(('chn', 'ci'), 'rt')",740627.57
"('an', (('chn', 'ci'), 'rt'))",806281.92
"(('ci', 'an'), 'rt')",522238.18
"('chn', (('ci', 'an'), 'rt'))",671649.13
"(('ci', 'chn'), 'rt')",469782.52
"('an', (('ci', 'chn'), 'rt'))",535436.87
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"(('rt', ('chn', 'ci')), 'an')",759926.77
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"('an', ('rt', ('chn', 'ci')))",809409.77
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"('an', ('rt', ('chn', 'ci')))",809409.77
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"(('rt', ('chn', 'ci')), 'an')",759926.77
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', ('ci', 'chn'))",633266.6
"('rt', ('an', ('ci', 'chn')))",643794.8
"('an', 'ci')",695158.38
"('chn', ('an', 'ci'))",1229037.88
"(('chn', ('an', 'ci')), 'rt')",1232030.48
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"('an', ('rt', ('chn', 'ci')))",809409.77
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"('chn', ('rt', ('an', 'ci')))",866254.68
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('rt', 'ci')",100744.98
"(('rt', 'ci'), 'chn')",117946.68
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"('chn', ('rt', ('an', 'ci')))",866254.68
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"('chn', ('rt', ('an', 'ci')))",866254.68
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', ('ci', 'rt'))",519532.27
"('chn', ('an', ('ci', 'rt')))",668943.22
"('an', 'ci')",695158.38
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"('an', 'ci')",695158.38
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('an', 'ci')",695158.38
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"('ci', 'rt')",450215.89
"('an', ('ci', 'rt'))",519532.27
"('chn', ('an', ('ci', 'rt')))",668943.22
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('chn', 'ci')",739384.74
"('rt', ('chn', 'ci'))",743755.42
"(('rt', ('chn', 'ci')), 'an')",759926.77
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('rt', ('an', 'ci'))",716843.93
"(('rt', ('an', 'ci')), 'chn')",736159.71
"('an', 'ci')",695158.38
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"(('an', 'ci'), 'chn')",754229.03
"('rt', (('an', 'ci'), 'chn'))",764757.23
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('rt', ('an', 'ci'))",716843.93
"('chn', ('rt', ('an', 'ci')))",866254.68
"('rt', ('an', 'ci'))",716843.93
"('chn', ('rt', ('an', 'ci')))",866254.68
"('chn', ('rt', ('an', 'ci')))",866254.68
"('an', ('rt', ('chn', 'ci')))",809409.77
"('chn', ('rt', ('an', 'ci')))",866254.68
"('chn', ('an', 'ci'))",1229037.88
"('rt', ('chn', ('an', 'ci')))",1239566.08
"('chn', ('rt', ('an', 'ci')))",866254.68
"('ci', 'an')",678688.43
"(('ci', 'an'), 'rt')",522238.18
"((('ci', 'an'), 'rt'), 'chn')",532007.45
"(('an', 'ci'), 'rt')",701321.53
"((('an', 'ci'), 'rt'), 'chn')",720637.36
"('chn', ('rt', ('an', 'ci')))",866254.68
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"(('rt', ('ci', 'chn')), 'an')",521849.22
"('an', 'ci')",695158.38
"(('an', 'ci'), 'chn')",754229.03
"('rt', (('an', 'ci'), 'chn'))",764757.23
"('chn', ('rt', ('an', 'ci')))",866254.68
"(('an', 'ci'), 'rt')",701321.53
"((('an', 'ci'), 'rt'), 'chn')",720637.36
"(('an', 'ci'), 'rt')",701321.53
"('chn', (('an', 'ci'), 'rt'))",850732.48
"((('ci', 'an'), 'rt'), 'chn')",532007.45
"('rt', (('ci', 'chn'), 'an'))",610053.91
