order,costs
"('an', 'ci')",772720.72
"('t', ('an', 'ci'))",1290646.93
"('chn', ('t', ('an', 'ci')))",2080381.87
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"('an', (('chn', 'ci'), 't'))",1211819.0
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"('an', (('chn', 'ci'), 't'))",1211819.0
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"('an', (('chn', 'ci'), 't'))",1211819.0
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"((('chn', 'ci'), 't'), 'an')",1161856.63
"('an', 'ci')",772720.72
"('t', ('an', 'ci'))",1290646.93
"('chn', ('t', ('an', 'ci')))",2080381.87
"('an', 'ci')",772720.72
"('chn', ('an', 'ci'))",1391501.66
"(('chn', ('an', 'ci')), 't')",1622474.47
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"('an', (('chn', 'ci'), 't'))",1211819.0
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"('an', (('chn', 'ci'), 't'))",1211819.0
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",998784.49
"((('chn', 'ci'), 't'), 'an')",1161856.63
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('an', 'ci')",772720.72
"('chn', ('an', 'ci'))",1391501.66
"(('chn', ('an', 'ci')), 't')",1622474.47
"('an', 'ci')",772720.72
"('chn', ('an', 'ci'))",1391501.66
"('an', 'ci')",772720.72
"(('chn', ('an', 'ci')), 't')",1622474.47
"(('an', 'ci'), 't')",1018518.34
"((('an', 'ci'), 't'), 'chn')",1085376.29
"('an', 'ci')",772720.72
"('chn', ('an', 'ci'))",1391501.66
"(('chn', ('an', 'ci')), 't')",1622474.47
"('an', 'ci')",772720.72
"('chn', ('an', 'ci'))",1391501.66
"(('chn', ('an', 'ci')), 't')",1622474.47
"('an', 'ci')",772720.72
"(('an', 'ci'), 't')",1018518.34
"((('an', 'ci'), 't'), 'chn')",1085376.29
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",646451.79
"('an', ('t', ('ci', 'chn')))",859486.31
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",646451.79
"('an', ('t', ('ci', 'chn')))",859486.31
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('chn', 'ci')",812577.11
"('t', ('chn', 'ci'))",1032413.99
"('an', ('t', ('chn', 'ci')))",1245448.51
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
"('ci', 'an')",757947.5
"('t', ('ci', 'an'))",927852.42
"(('t', ('ci', 'an')), 'chn')",857087.84
