aliases,cardinality
"('k', 'mk')",47403
"('k', 'mk', 'ml')",1460
"('k', 'mk', 'ml', 't')",1460
"('k', 'mc', 'mk', 'ml', 't')",15510
"('ct', 'k', 'mc', 'mk', 'ml', 't')",14916
"('cn', 'ct', 'k', 'mc', 'mk', 'ml', 't')",14899
"('cn', 'ct', 'k', 'lt', 'mc', 'mk', 'ml', 't')",14899
"('ml', 't')",29726
"('mk', 'ml', 't')",286392
"('mc', 'mk', 'ml', 't')",3405648
"('lt', 'mc', 'mk', 'ml', 't')",3405648
"('k', 'lt', 'mc', 'mk', 'ml', 't')",15510
"('ct', 'k', 'lt', 'mc', 'mk', 'ml', 't')",14916
"('mk', 't')",3961736
"('mk', 'ml')",288192
"('mc', 'ml', 't')",104935
"('mc', 't')",1139554
"('mc', 'ml')",105089
"('mc', 'mk', 't')",25153190
"('mc', 'mk')",28144418
"('mc', 'mk', 'ml')",3407594
"('lt', 'mk', 'ml', 't')",286392
"('lt', 'ml', 't')",29726
"('lt', 'ml')",29997
"('lt', 'mk', 'ml')",288192
"('lt', 'mc', 'ml', 't')",104935
"('lt', 'mc', 'ml')",105089
"('lt', 'mc', 'mk', 'ml')",3407594
"('k', 'mk', 't')",36063
"('k', 'mc', 'mk', 't')",143932
"('k', 'mc', 'mk')",169414
"('k', 'mc', 'mk', 'ml')",15510
"('k', 'lt', 'mk', 'ml', 't')",1460
"('k', 'lt', 'mk', 'ml')",1460
"('k', 'lt', 'mc', 'mk', 'ml')",15510
"('ct', 'lt', 'mc', 'mk', 'ml', 't')",3221910
"('ct', 'mc', 'mk', 'ml', 't')",3221910
"('ct', 'mc', 'ml', 't')",96891
"('ct', 'mc', 't')",1015221
"('ct', 'mc')",1196185
"('ct', 'mc', 'ml')",97035
"('ct', 'mc', 'mk', 't')",22848431
"('ct', 'mc', 'mk')",25699259
"('ct', 'mc', 'mk', 'ml')",3223836
"('ct', 'lt', 'mc', 'ml', 't')",96891
"('ct', 'lt', 'mc', 'ml')",97035
"('ct', 'lt', 'mc', 'mk', 'ml')",3223836
"('ct', 'k', 'mc', 'mk', 't')",130831
"('ct', 'k', 'mc', 'mk')",154786
"('ct', 'k', 'mc', 'mk', 'ml')",14916
"('ct', 'k', 'lt', 'mc', 'mk', 'ml')",14916
"('cn', 'k', 'lt', 'mc', 'mk', 'ml', 't')",15493
"('cn', 'lt', 'mc', 'mk', 'ml', 't')",3374506
"('cn', 'mc', 'mk', 'ml', 't')",3374506
"('cn', 'mc', 'ml', 't')",103282
"('cn', 'mc', 't')",1115946
"('cn', 'mc')",1309854
"('cn', 'mc', 'ml')",103436
"('cn', 'mc', 'mk')",27664875
"('cn', 'mc', 'mk', 'ml')",3376452
"('cn', 'lt', 'mc', 'ml', 't')",103282
"('cn', 'lt', 'mc', 'ml')",103436
"('cn', 'lt', 'mc', 'mk', 'ml')",3376452
"('cn', 'k', 'mc', 'mk', 'ml', 't')",15493
"('cn', 'k', 'mc', 'mk', 't')",140794
"('cn', 'k', 'mc', 'mk')",165846
"('cn', 'k', 'mc', 'mk', 'ml')",15493
"('cn', 'k', 'lt', 'mc', 'mk', 'ml')",15493
"('cn', 'ct', 'lt', 'mc', 'mk', 'ml', 't')",3200479
"('cn', 'ct', 'mc', 'mk', 'ml', 't')",3200479
"('cn', 'ct', 'mc', 'ml', 't')",95870
"('cn', 'ct', 'mc', 't')",996623
"('cn', 'ct', 'mc')",1174202
"('cn', 'ct', 'mc', 'ml')",96014
"('cn', 'ct', 'mc', 'mk', 't')",22500723
"('cn', 'ct', 'mc', 'mk')",25320459
"('cn', 'ct', 'mc', 'mk', 'ml')",3202405
"('cn', 'ct', 'lt', 'mc', 'ml', 't')",95870
"('cn', 'ct', 'lt', 'mc', 'ml')",96014
"('cn', 'ct', 'lt', 'mc', 'mk', 'ml')",3202405
"('cn', 'ct', 'k', 'mc', 'mk', 't')",128398
"('cn', 'ct', 'k', 'mc', 'mk')",151940
"('cn', 'ct', 'k', 'mc', 'mk', 'ml')",14899
"('cn', 'ct', 'k', 'lt', 'mc', 'mk', 'ml')",14899
"('cn', 'mc', 'mk', 't')",24707165
