aliases,cardinality
"('it2', 'mi_idx')",15849
"('it2', 'mi_idx', 't')",6152
"('it2', 'mi', 'mi_idx', 't')",358
"('it1', 'it2', 'mi', 'mi_idx', 't')",358
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 't')",268
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 'n', 't')",11
"('ci', 't')",405239
"('ci', 'n', 't')",37498
"('ci', 'mi_idx', 'n', 't')",1454
"('ci', 'mi', 'mi_idx', 'n', 't')",40
"('ci', 'it2', 'mi', 'mi_idx', 'n', 't')",11
"('ci', 'n')",98503
"('mi_idx', 't')",14911
"('ci', 'mi_idx', 't')",17270
"('ci', 'mi_idx')",49438
"('ci', 'mi_idx', 'n')",3979
"('ci', 'mi', 'n', 't')",1293
"('mi', 't')",34901
"('ci', 'mi', 't')",23112
"('ci', 'mi')",40193
"('ci', 'mi', 'n')",1918
"('mi', 'mi_idx', 't')",1378
"('ci', 'mi', 'mi_idx', 't')",930
"('mi', 'mi_idx')",4309
"('ci', 'mi', 'mi_idx')",2377
"('ci', 'mi', 'mi_idx', 'n')",86
"('ci', 'it2', 'mi_idx', 'n', 't')",798
"('ci', 'it2', 'mi_idx', 't')",8658
"('ci', 'it2', 'mi_idx')",21296
"('ci', 'it2', 'mi_idx', 'n')",1985
"('ci', 'it2', 'mi', 'mi_idx', 't')",268
"('it2', 'mi', 'mi_idx')",810
"('ci', 'it2', 'mi', 'mi_idx')",435
"('ci', 'it2', 'mi', 'mi_idx', 'n')",16
"('ci', 'it1', 'mi', 'mi_idx', 'n', 't')",40
"('ci', 'it1', 'mi', 'n', 't')",1293
"('it1', 'mi', 't')",34901
"('ci', 'it1', 'mi', 't')",23112
"('it1', 'mi')",72258
"('ci', 'it1', 'mi')",39664
"('ci', 'it1', 'mi', 'n')",1898
"('it1', 'mi', 'mi_idx', 't')",1378
"('ci', 'it1', 'mi', 'mi_idx', 't')",930
"('it1', 'mi', 'mi_idx')",4135
"('ci', 'it1', 'mi', 'mi_idx')",2288
"('ci', 'it1', 'mi', 'mi_idx', 'n')",81
"('it1', 'it2', 'mi', 'mi_idx')",732
"('ci', 'it1', 'it2', 'mi', 'mi_idx')",412
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 'n')",16
