aliases,cardinality
"('cc', 'cct1')",24592
"('cc', 'cct1', 't')",6424
"('cc', 'cct1', 'kt', 't')",5053
"('cc', 'cct1', 'kt', 'mi', 't')",6
"('cc', 'cct1', 'it1', 'kt', 'mi', 't')",6
"('cc', 'cct1', 'it1', 'kt', 'mc', 'mi', 't')",7
"('cc', 'cct1', 'cn', 'it1', 'kt', 'mc', 'mi', 't')",7
"('cc', 'cct1', 'cn', 'ct', 'it1', 'kt', 'mc', 'mi', 't')",7
"('cc', 'cct1', 'cn', 'ct', 'it1', 'kt', 'mc', 'mi', 'mk', 't')",628
"('cc', 'cct1', 'cn', 'ct', 'it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",628
"('mk', 't')",2742670
"('mi', 'mk', 't')",4453
"('mc', 'mi', 'mk', 't')",9187
"('kt', 'mc', 'mi', 'mk', 't')",7232
"('k', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('ct', 'it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('cn', 'ct', 'it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",6160
"('cc', 'cn', 'ct', 'it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",849
"('mi', 't')",1782
"('mi', 'mk')",4463
"('mc', 'mk', 't')",22579666
"('mc', 't')",1508127
"('mc', 'mk')",34863638
"('mc', 'mi', 't')",2884
"('mc', 'mi')",2884
"('mc', 'mi', 'mk')",9187
"('kt', 'mi', 'mk', 't')",3632
"('kt', 'mk', 't')",2133911
"('kt', 't')",519602
"('kt', 'mi', 't')",1258
"('kt', 'mc', 'mk', 't')",20632140
"('kt', 'mc', 't')",934274
"('kt', 'mc', 'mi', 't')",1915
"('k', 'mc', 'mi', 'mk', 't')",9187
"('k', 'mi', 'mk', 't')",4453
"('k', 'mk', 't')",2742670
"('k', 'mk')",4523930
"('k', 'mi', 'mk')",4463
"('k', 'mc', 'mk', 't')",22579666
"('k', 'mc', 'mk')",34863638
"('k', 'mc', 'mi', 'mk')",9187
"('k', 'kt', 'mi', 'mk', 't')",3632
"('k', 'kt', 'mk', 't')",2133911
"('k', 'kt', 'mc', 'mk', 't')",20632140
"('it1', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('it1', 'mc', 'mi', 'mk', 't')",9187
"('it1', 'mi', 'mk', 't')",4453
"('it1', 'mi', 't')",1782
"('it1', 'mi')",1783
"('it1', 'mi', 'mk')",4463
"('it1', 'mc', 'mi', 't')",2884
"('it1', 'mc', 'mi')",2884
"('it1', 'mc', 'mi', 'mk')",9187
"('it1', 'kt', 'mi', 'mk', 't')",3632
"('it1', 'kt', 'mi', 't')",1258
"('it1', 'kt', 'mc', 'mi', 't')",1915
"('it1', 'k', 'mc', 'mi', 'mk', 't')",9187
"('it1', 'k', 'mi', 'mk', 't')",4453
"('it1', 'k', 'mi', 'mk')",4463
"('it1', 'k', 'mc', 'mi', 'mk')",9187
"('it1', 'k', 'kt', 'mi', 'mk', 't')",3632
"('ct', 'k', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('ct', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('ct', 'mc', 'mi', 'mk', 't')",9187
"('ct', 'mc', 'mk', 't')",22579666
"('ct', 'mc', 't')",1508127
"('ct', 'mc')",2609129
"('ct', 'mc', 'mk')",34863638
"('ct', 'mc', 'mi', 't')",2884
"('ct', 'mc', 'mi')",2884
"('ct', 'mc', 'mi', 'mk')",9187
"('ct', 'kt', 'mc', 'mk', 't')",20632140
"('ct', 'kt', 'mc', 't')",934274
"('ct', 'kt', 'mc', 'mi', 't')",1915
"('ct', 'k', 'mc', 'mi', 'mk', 't')",9187
"('ct', 'k', 'mc', 'mk', 't')",22579666
"('ct', 'k', 'mc', 'mk')",34863638
"('ct', 'k', 'mc', 'mi', 'mk')",9187
"('ct', 'k', 'kt', 'mc', 'mk', 't')",20632140
"('ct', 'it1', 'kt', 'mc', 'mi', 'mk', 't')",7232
"('ct', 'it1', 'mc', 'mi', 'mk', 't')",9187
"('ct', 'it1', 'mc', 'mi', 't')",2884
"('ct', 'it1', 'mc', 'mi')",2884
"('ct', 'it1', 'mc', 'mi', 'mk')",9187
"('ct', 'it1', 'kt', 'mc', 'mi', 't')",1915
"('ct', 'it1', 'k', 'mc', 'mi', 'mk', 't')",9187
"('ct', 'it1', 'k', 'mc', 'mi', 'mk')",9187
"('cn', 'it1', 'k', 'kt', 'mc', 'mi', 'mk', 't')",6160
"('cn', 'k', 'kt', 'mc', 'mi', 'mk', 't')",6160
"('cn', 'kt', 'mc', 'mi', 'mk', 't')",6160
"('cn', 'mc', 'mi', 'mk', 't')",7964
"('cn', 'mc', 'mk', 't')",6329892
"('cn', 'mc', 't')",596250
"('cn', 'mc')",1153798
"('cn', 'mc', 'mk')",12177631
"('cn', 'mc', 'mi', 't')",2647
"('cn', 'mc', 'mi')",2647
"('cn', 'mc', 'mi', 'mk')",7964
"('cn', 'kt', 'mc', 'mk', 't')",5482847
"('cn', 'kt', 'mc', 't')",344652
"('cn', 'kt', 'mc', 'mi', 't')",1734
"('cn', 'k', 'mc', 'mi', 'mk', 't')",7964
"('cn', 'k', 'mc', 'mk', 't')",6329892
"('cn', 'k', 'mc', 'mk')",12177631
"('cn', 'k', 'mc', 'mi', 'mk')",7964
"('cn', 'k', 'kt', 'mc', 'mk', 't')",5482847
"('cn', 'it1', 'kt', 'mc', 'mi', 'mk', 't')",6160
